noArch,Arch
/,/
/,New Feature
Bug,Bug
Improvement,Sub-task
/,Test
/,Improvement
Improvement,New Feature
New Feature,Bug
Improvement,/
Improvement,Improvement
New Feature,Improvement
New Feature,Test
Bug,Improvement
Bug,Bug
Task,Improvement
Bug,Improvement
Improvement,New Feature
Wish,Bug
Bug,Improvement
Bug,Improvement
Bug,Bug
Bug,New Feature
Improvement,New Feature
Bug,New Feature
Improvement,New Feature
Test,New Feature
Bug,/
Bug,/
Improvement,Improvement
Bug,Improvement
Improvement,Bug
Sub-task,Improvement
Improvement,Bug
/,Improvement
/,Sub-task
/,Sub-task
/,New Feature
/,New Feature
Bug,New Feature
Improvement,New Feature
Improvement,New Feature
Improvement,New Feature
Improvement,/
Improvement,/
/,/
New Feature,Improvement
Improvement,/
Bug,/
Bug,Improvement
Bug,Improvement
Improvement,Improvement
Bug,Bug
Bug,Bug
Bug,Improvement
Improvement,Improvement
Improvement,Improvement
Improvement,Improvement
Test,/
Test,Bug
Test,Bug
Bug,Bug
Improvement,Bug
Bug,Bug
New Feature,Bug
Improvement,Sub-task
Bug,/
Improvement,Improvement
Improvement,Improvement
Bug,New Feature
Improvement,/
Bug,New Feature
New Feature,Improvement
Improvement,Improvement
Bug,Improvement
Improvement,Task
Improvement,Improvement
New Feature,Improvement
New Feature,Task
Improvement,Improvement
Improvement,Bug
New Feature,Bug
Improvement,Bug
Improvement,Bug
Improvement,Bug
Improvement,Improvement
Sub-task,Improvement
Bug,Test
Bug,New Feature
Bug,/
Improvement,Improvement
Bug,Bug
Bug,Bug
Improvement,/
Bug,Bug
Improvement,Bug
Improvement,Improvement
Improvement,Improvement
Improvement,New Feature
Improvement,New Feature
Bug,New Feature
Bug,New Feature
Bug,Improvement
Improvement,Bug
Improvement,New Feature
Bug,Improvement
Bug,New Feature
Improvement,/
New Feature,/
Improvement,New Feature
Improvement,New Feature
Bug,Bug
Improvement,Improvement
Improvement,New Feature
Improvement,Improvement
Improvement,Bug
Improvement,New Feature
Test,Improvement
Task,Bug
Improvement,Improvement
Bug,Bug
Improvement,New Feature
Improvement,Improvement
Improvement,Improvement
Bug,Improvement
Improvement,New Feature
Bug,Improvement
Bug,Improvement
New Feature,Improvement
New Feature,Bug
Improvement,New Feature
Bug,New Feature
Improvement,Bug
Improvement,Bug
Bug,New Feature
Improvement,Improvement
Bug,Bug
Improvement,New Feature
Bug,Bug
Bug,New Feature
Improvement,New Feature
Bug,Bug
Improvement,New Feature
Bug,New Feature
Improvement,Bug
Improvement,Bug
Improvement,Bug
Bug,Improvement
New Feature,New Feature
Test,Bug
Improvement,/
Bug,New Feature
Improvement,Improvement
Improvement,Bug
Bug,Bug
Improvement,Improvement
Improvement,Improvement
Improvement,Improvement
Improvement,Task
Improvement,/
Bug,Sub-task
Test,New Feature
Bug,Improvement
Improvement,Improvement
Bug,/
New Feature,Bug
Test,/
Test,New Feature
Bug,/
Bug,Improvement
/,/
/,Improvement
/,Bug
Bug,Bug
New Feature,Improvement
Test,Improvement
New Feature,/
/,/
Improvement,New Feature
Improvement,Bug
Bug,New Feature
Improvement,New Feature
Bug,Bug
Bug,Bug
New Feature,Bug
Improvement,Improvement
Bug,New Feature
Improvement,Bug
