NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,a2a,Tag
1,17,0,17,17,0,0,0,2,0,1,1,0,114,2,21,5,2,0,2,641,0,641,2,0,2,100,NoArch
2,14,8,6,22,0,0,0,2,6,1,1,1,331,1,316,16,21,19,2,1966,1936,30,15,13,2,100,NoArch
7,3,274,271,277,0,3,3,5,11,1,2,2.195529186,1366,0,332,25,81,105,24,5716,6796,1080,36,46,10,99.53271028,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,19,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,7,0,0,0,0,0,0,0,0,0,100,NoArch
6,408,5,403,413,3,0,3,49,0,1,4,1.639100432,1269,1,212,8,304,239,65,11210,8850,2360,138,98,40,99.67302452,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,100,NoArch
4,18,7,11,25,0,0,0,13,19,1,3,1.681541933,1322,2,19,9,195,195,0,6227,6208,19,72,72,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,100,NoArch
2,33,0,33,33,0,0,0,29,16,1,2,0.745517843,1205,2,1,1,277,274,3,7758,7652,106,147,145,2,100,NoArch
4,108,72,36,180,0,0,0,11,8,1,3,1.486663164,1369,2,10,8,216,211,5,6819,6604,215,94,90,4,99.54614221,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,4,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,12,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,0,0,0,0,0,0,0,0,0,100,NoArch
1,6,2,4,8,0,0,0,4,144,1,1,0,266,3,37,7,30,29,1,1276,1256,20,23,22,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,30,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,100,NoArch
2,62,11,51,73,0,0,0,77,110,1,2,0.30642473,2506,5,418,2,514,508,6,16076,15630,446,249,244,5,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,0,0,0,0,0,0,0,0,0,100,NoArch
