@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-9,11-26,28'

@attribute ' AGE' numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
854,100
129,100
0,100
0,100
218,100
205,99.837662
0,100
1185,100
0,100
0,100
0,100
0,98.959136
0,100
0,100
407,100
0,100
0,100
131,100
2617,100
0,100
39,99.53271
262,100
0,100
208,100
0,100
0,100
45,100
0,100
67,100
0,100
99,100
0,100
54,99.919549
407,100
0,100
225,99.83165
0,100
39,99.53271
0,100
0,100
0,100
176,100
2623,100
0,100
39,99.53271
0,100
31,100
0,100
0,100
0,100
458,91.011236
0,91.105354
0,87.116837
0,87.872683
309,90.664557
361,89.303691
527,94.835854
150,94.835854
1572,94.835854
373,94.835854
911,90.995671
8,90.995671
911,90.995671
1,91.046061
0,91.046061
415,91.011236
0,91.105354
245,90.795699
1219,90.795699
18,87.116837
29,87.872683
705,87.891101
458,91.011236
0,91.105354
0,87.116837
0,87.872683
327,90.664557
1117,90.664557
309,90.664557
700,86.443515
2993,86.443515
115,89.303691
138,88.337574
60,88.337574
375,87.483981
361,89.303691
1402,97.371715
1052,97.371715
992,97.290538
0,97.373906
832,96.890547
1200,96.890547
77,96.973466
40,90.368509
112,90.463725
424,95.401869
114,95.064541
730,95.490057
102,90.270889
585,90.296181
363,93.598312
85,92.571429
1085,97.378178
10,89.338235
0,92.232683
83,95.834925
2156,95.611771
215,94.194249
0,99.575822
0,100
4,99.704579
16,100
0,100
237,100
2,100
0,100
188,100
144,100
79,100
0,100
2,100
559,99.966544
1084,100
0,100
108,100
57,100
0,100
326,100
9,100
28,100
204,100
4,100
18,100
80,85.660906
89,88.236986
94,89.352458
117,95.184968
11,93.647881
41,87.435665
153,88.239882
200,93.975904
63,93.992864
105,87.061069
0,87.061069
162,94.886332
132,95.986931
25,93.067763
215,97.953578
311,95.41279
169,92.426273
166,80.917176
76,89.852929
72,95.157923
153,92.563231
75,96.053363
587,92.983103
182,87.77149
214,91.01982
736,96.577624
660,99.853819
145,99.919933
321,100
36,99.927618
152,100
7,100
125,100
0,100
0,100
268,100
353,100
9,99.960618
489,100
0,99.946102
381,100
426,100
129,100
0,100
144,100
10,100
0,100
0,100
0,100
1,100
88,100
1,100
24,99.990227
0,100
0,100
231,100
33,100
1007,100
0,100
901,100
300,100
2,100
13,100
0,100
682,100
186,99.976775
167,100
98,99.983407
0,99.984857
318,100
500,100
357,100
211,100
0,100
0,100
14,100
0,100
205,100
32,100
234,99.967567
338,100
204,99.972313
373,100
0,100
0,100
261,99.773658
0,100
173,100
20,100
2138,100
180,99.979638
654,100
0,100
447,99.865108
36,100
1200,100
377,99.990888
0,100
90,99.973421
68,99.825592
265,100
110,100
22,100
3693,99.987064
0,100
0,100
268,99.853819
606,99.977351
38,100
0,100
145,100
83,99.955725
3,100
1622,100
905,100
0,100
696,100
701,99.853819
929,100
108,100
307,100
2289,99.997271
0,100
124,99.786491
0,100
0,100
0,100
10,100
0,100
296,100
252,93.98392
89,95.063045
431,91.243116
251,91.243116
427,91.227068
257,91.227068
83,92.592109
425,91.244962
253,91.244962
425,91.230651
253,91.230651
425,91.229642
253,91.229642
425,91.229642
251,91.227284
424,91.227284
251,91.227284
424,91.227284
1,94.413027
248,90.542367
423,90.542367
248,90.542367
422,90.534368
246,90.534368
424,90.534368
244,90.522134
418,90.522134
240,90.522134
405,90.512626
246,90.512626
404,90.512626
245,90.512626
405,90.512626
246,90.505799
405,90.505799
247,90.497946
403,90.497946
245,90.493053
400,90.469621
242,90.481214
399,90.484555
240,90.484555
399,90.484555
240,90.484555
399,90.485584
238,90.485584
394,90.154451
242,90.154451
394,90.154451
241,90.154451
394,90.161295
241,90.156374
394,90.156374
241,90.156374
76,97.431328
257,93.854905
393,92.631579
245,92.631579
393,92.631579
547,92.631579
25,94.918299
442,91.389414
524,91.283615
424,91.987772
532,91.987772
420,91.987772
532,91.987772
0,96.80161
134,95.999739
357,91.379014
467,91.379014
352,91.817528
471,91.455483
3823,94.500116
352,92.45525
482,92.44998
357,92.443634
498,92.443634
357,92.443634
498,92.443634
566,93.635539
0,95.532834
435,97.471555
593,93.200985
378,96.380523
862,92.912257
403,93.9703
1187,94.884479
3,95.786318
214,96.637168
296,91.065254
174,91.360691
245,91.360691
119,91.149416
230,91.180863
218,94.831839
1906,90.945867
1893,92.878367
873,92.448973
176,93.64814
2741,94.98981
44,94.979108
140,94.982811
1234,94.968168
0,100
22,100
0,99.850523
12,100
0,100
0,100
0,100
0,100
113,99.778024
98,100
42,99.607073
497,99.907236
0,100
795,100
7,100
0,100
200,99.857296
3,100
0,100
0,100
0,100
0,100
0,99.831081
0,100
0,100
0,100
0,99.872774
0,100
0,100
0,99.768161
0,100
22,100
478,100
25,100
0,99.43958
11,100
3,100
8,100
0,100
21,99.776885
0,100
0,100
26,100
3,100
122,100
2,100
0,100
0,100
90,100
0,100
0,99.84985
0,100
229,99.610558
0,100
5270,99.815055
0,100
0,100
200,99.857296
0,100
103,100
0,100
65,100
0,100
0,100
528,100
0,100
20,100
801,100
0,100
4,99.715909
0,100
0,100
4,100
6,100
0,99.776119
61,99.964552
0,100
0,100
295,100
0,100
1156,100
161,100
0,100
0,100
1134,100
39,100
236,100
0,100
0,100
75,99.686083
107,100
1,100
0,100
63,99.011299
0,100
0,100
3,100
0,100
0,100
14,100
14,99.830795
138,98.500914
1,100
0,100
4,100
0,100
74,100
591,99.889527
0,100
0,100
0,100
181,100
0,100
343,100
0,100
44,100
118,100
17,100
46,100
35,98.997326
29,99.543379
198,100
0,100
62,100
449,100
699,100
0,100
36,100
109,99.980119
16,98.968254
0,100
1,100
113,99.426386
158,100
19,100
51,100
0,100
0,100
0,99.86532
0,100
0,100
0,100
1702,100
936,100
4,100
0,100
363,100
0,100
0,100
7,100
26,99.623803
0,100
0,100
118,100
