@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-12,14-26,28'

@attribute ' Entropy ' numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0.998364,100
0,100
0,100
0,100
1,100
1.347349,99.837662
0,100
0,100
0,100
0,100
0,100
3.052986,98.959136
0,100
0,100
0,100
0,100
0,100
1.518193,100
0.749595,100
0,100
2.195529,99.53271
0.863121,100
0,100
0.79504,100
0,100
0,100
0.547247,100
0,100
0.753198,100
0,100
2.32156,100
0,100
1.576827,99.919549
0,100
0,100
2.388923,99.83165
0,100
2.195529,99.53271
0,100
0,100
0,100
0.485461,100
0.881291,100
0,100
2.195529,99.53271
0,100
0.907166,100
0,100
0,100
0,100
0.764205,91.011236
0,91.105354
0.930586,87.116837
1.950149,87.872683
3.227673,90.664557
2.100466,89.303691
1.465314,94.835854
1.465314,94.835854
2.64052,94.835854
1.686085,94.835854
0.85418,90.995671
0.85418,90.995671
0.85418,90.995671
1.449527,91.046061
0.907894,91.046061
0.764205,91.011236
0,91.105354
2.215483,90.795699
2.521167,90.795699
0.930586,87.116837
1.950149,87.872683
6.88724,87.891101
0.764205,91.011236
0,91.105354
0.930586,87.116837
1.950149,87.872683
3.227673,90.664557
3.227673,90.664557
3.227673,90.664557
6.831652,86.443515
6.831652,86.443515
2.100466,89.303691
3.768278,88.337574
3.758443,88.337574
4.568679,87.483981
2.100466,89.303691
2.959007,97.371715
2.959007,97.371715
3.501453,97.290538
2.060193,97.373906
3.956671,96.890547
3.991906,96.890547
2.959225,96.973466
4.833285,90.368509
3.621903,90.463725
1.481711,95.401869
3.12728,95.064541
5.533998,95.490057
1.556254,90.270889
2.537838,90.296181
2.377382,93.598312
3.918194,92.571429
4.389798,97.378178
5.28028,89.338235
3.19102,92.232683
3.588312,95.834925
1.834568,95.611771
0.995253,94.194249
3.624588,99.575822
0,100
3.909836,99.704579
0,100
0,100
3.531623,100
0.857559,100
0.995558,100
2.310056,100
0.574636,100
0.940566,100
0,100
0.918296,100
3.85725,99.966544
0.94566,100
0,100
2.754862,100
1.383638,100
0,100
3.398025,100
1.787714,100
2.464843,100
0,100
1.556364,100
0,100
3.768467,85.660906
1.391554,88.236986
1.499274,89.352458
0.846702,95.184968
2.127032,93.647881
1.438759,87.435665
1.608939,88.239882
3.45915,93.975904
1.003157,93.992864
0.870426,87.061069
0.997988,87.061069
0.671248,94.886332
2.894036,95.986931
1.369325,93.067763
3.023553,97.953578
5.767079,95.41279
3.426746,92.426273
8.879873,80.917176
0.881291,89.852929
2.954124,95.157923
2.31041,92.563231
0.991502,96.053363
2.134561,92.983103
1.796386,87.77149
3.881602,91.01982
1.669551,96.577624
5.550051,99.853819
3.499166,99.919933
1,100
2.57447,99.927618
0,100
0,100
0,100
2.900585,100
0,100
2.910975,100
2.505362,100
0,99.960618
1.251629,100
2.242411,99.946102
0.949452,100
0.672295,100
0.759276,100
0,100
0.99931,100
0.954965,100
0,100
0.918296,100
0,100
0,100
0,100
0,100
0.860733,99.990227
0,100
0,100
0.413817,100
1.090745,100
0,100
0,100
5.12664,100
0,100
0,100
0.937365,100
0,100
2.663533,100
0.228538,99.976775
0,100
0.970951,99.983407
0,99.984857
2.151163,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1.72402,100
0,100
0.758619,99.967567
0,100
3.132562,99.972313
0.989993,100
0,100
0,100
3.311703,99.773658
0,100
0.738064,100
0.56651,100
0.986787,100
1.960144,99.979638
0.918296,100
1.987773,100
0,99.865108
0,100
0,100
1.092781,99.990888
0,100
2.855081,99.973421
1.182138,99.825592
1.742749,100
0,100
2.965288,100
0.462298,99.987064
0.238685,100
0,100
5.525449,99.853819
2.416051,99.977351
0,100
0,100
0.413817,100
2.558297,99.955725
0,100
0.286397,100
2.268485,100
0,100
0,100
5.548361,99.853819
0.90117,100
2.622262,100
2.556921,100
0,99.997271
0,100
3.704167,99.786491
0,100
0,100
0,100
0.992267,100
0,100
0,100
8.098119,93.98392
0.988284,95.063045
8.11472,91.243116
8.111223,91.243116
8.134792,91.227068
8.135049,91.227068
0.56171,92.592109
8.145939,91.244962
8.141401,91.244962
8.146753,91.230651
8.141382,91.230651
8.148729,91.229642
8.142455,91.229642
8.148655,91.229642
8.152876,91.227284
8.156086,91.227284
8.151654,91.227284
8.156086,91.227284
0.993652,94.413027
8.154783,90.542367
8.160852,90.542367
8.154664,90.542367
8.139659,90.534368
8.133572,90.534368
8.153173,90.534368
8.166038,90.522134
8.172585,90.522134
8.150805,90.522134
8.167193,90.512626
8.160027,90.512626
8.166548,90.512626
8.161327,90.512626
8.104838,90.512626
8.116906,90.505799
8.105897,90.505799
8.093145,90.497946
8.102187,90.497946
8.100762,90.493053
8.128676,90.469621
8.114747,90.481214
8.127333,90.484555
8.121063,90.484555
8.127333,90.484555
8.121613,90.484555
8.127866,90.485584
8.122942,90.485584
8.144716,90.154451
8.138927,90.154451
8.144995,90.154451
8.147807,90.154451
8.150513,90.161295
8.146867,90.156374
8.153026,90.156374
8.148381,90.156374
2.738517,97.431328
0.721928,93.854905
8.175831,92.631579
8.168929,92.631579
8.175383,92.631579
8.224906,92.631579
3.143323,94.918299
8.233514,91.389414
8.284342,91.283615
8.243122,91.987772
8.235153,91.987772
8.240732,91.987772
8.23483,91.987772
6.457396,96.80161
1.142829,95.999739
8.629356,91.379014
8.632293,91.379014
8.627491,91.817528
8.63,91.455483
1.933967,94.500116
8.640877,92.45525
8.644259,92.44998
8.652436,92.443634
8.654292,92.443634
8.654422,92.443634
8.654412,92.443634
7.448454,93.635539
4.578725,95.532834
1.44033,97.471555
3.240671,93.200985
3.48789,96.380523
4.679848,92.912257
2.052843,93.9703
1.375611,94.884479
0,95.786318
1.740821,96.637168
3.600971,91.065254
4.630127,91.360691
4.640951,91.360691
2.806183,91.149416
3.80512,91.180863
