@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-3,5-26,28'

@attribute LC numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
21,100
1,100
0,100
0,100
86,100
104,99.837662
0,100
0,100
1,100
0,100
0,100
1149,98.959136
0,100
0,100
7,100
0,100
0,100
78,100
10,100
0,100
271,99.53271
1,100
0,100
21,100
0,100
0,100
76,100
0,100
74,100
0,100
89,100
0,100
390,99.919549
1,100
0,100
271,99.83165
0,100
271,99.53271
0,100
0,100
0,100
11,100
22,100
0,100
271,99.53271
0,100
27,100
0,100
0,100
0,100
37,91.011236
2,91.105354
18,87.116837
1543,87.872683
423,90.664557
195,89.303691
343,94.835854
343,94.835854
448,94.835854
331,94.835854
33,90.995671
33,90.995671
33,90.995671
334,91.046061
331,91.046061
37,91.011236
2,91.105354
125,90.795699
116,90.795699
18,87.116837
1543,87.872683
1938,87.891101
37,91.011236
2,91.105354
18,87.116837
1543,87.872683
423,90.664557
423,90.664557
423,90.664557
1889,86.443515
1889,86.443515
195,89.303691
1446,88.337574
1446,88.337574
2028,87.483981
195,89.303691
613,97.371715
613,97.371715
1013,97.290538
714,97.373906
1360,96.890547
1343,96.890547
1049,96.973466
173,90.368509
901,90.463725
184,95.401869
130,95.064541
340,95.490057
32,90.270889
84,90.296181
225,93.598312
674,92.571429
53,97.378178
5112,89.338235
20,92.232683
17,95.834925
31,95.611771
174,94.194249
1859,99.575822
0,100
1381,99.704579
1,100
0,100
253,100
55,100
28,100
3,100
22,100
62,100
0,100
10,100
182,99.966544
1,100
0,100
287,100
120,100
0,100
214,100
34,100
139,100
4,100
48,100
26,100
14,85.660906
15,88.236986
193,89.352458
19,95.184968
324,93.647881
64,87.435665
43,88.239882
202,93.975904
332,93.992864
83,87.061069
44,87.061069
125,94.886332
254,95.986931
5,93.067763
253,97.953578
80,95.41279
89,92.426273
5155,80.917176
32,89.852929
170,95.157923
1309,92.563231
69,96.053363
62,92.983103
140,87.77149
481,91.01982
139,96.577624
335,99.853819
1220,99.919933
2,100
126,99.927618
10,100
5,100
9,100
74,100
1,100
54,100
36,100
2,99.960618
8,100
300,99.946102
5,100
11,100
7,100
0,100
47,100
276,100
1,100
1,100
1,100
1,100
0,100
1,100
223,99.990227
0,100
0,100
6,100
92,100
35,100
0,100
515,100
18,100
0,100
55,100
0,100
9,100
81,99.976775
13,100
3,99.983407
19,99.984857
39,100
6,100
14,100
11,100
0,100
4,100
29,100
0,100
77,100
1,100
101,99.967567
9,100
78,99.972313
24,100
0,100
0,100
468,99.773658
6,100
12,100
8,100
31,100
185,99.979638
3,100
5,100
3,99.865108
0,100
1,100
239,99.990888
0,100
176,99.973421
49,99.825592
28,100
3,100
135,100
229,99.987064
37,100
0,100
318,99.853819
193,99.977351
3,100
0,100
22,100
183,99.955725
8,100
34,100
9,100
0,100
1,100
330,99.853819
39,100
155,100
5,100
61,99.997271
1,100
1628,99.786491
0,100
0,100
0,100
9,100
0,100
9,100
10579,93.98392
51,95.063045
11188,91.243116
10689,91.243116
11164,91.227068
10764,91.227068
220,92.592109
11185,91.244962
10697,91.244962
11338,91.230651
10827,91.230651
11136,91.229642
10622,91.229642
11144,91.229642
10308,91.227284
10795,91.227284
10279,91.227284
10795,91.227284
548,94.413027
9762,90.542367
10276,90.542367
9769,90.542367
9262,90.534368
8749,90.534368
9287,90.534368
8967,90.522134
9481,90.522134
8998,90.522134
9366,90.512626
8854,90.512626
9406,90.512626
8863,90.512626
8384,90.512626
7751,90.505799
8069,90.505799
7265,90.497946
7899,90.497946
7333,90.493053
8088,90.469621
7479,90.481214
7235,90.484555
6683,90.484555
7235,90.484555
6732,90.484555
7284,90.485584
6735,90.485584
7489,90.154451
6938,90.154451
7484,90.154451
7085,90.154451
8048,90.161295
7240,90.156374
7792,90.156374
7256,90.156374
23,97.431328
90,93.854905
8196,92.631579
7660,92.631579
8194,92.631579
7290,92.631579
84,94.918299
7934,91.389414
6980,91.283615
6834,91.987772
5793,91.987772
6342,91.987772
5790,91.987772
9115,96.80161
233,95.999739
15521,91.379014
15582,91.379014
14703,91.817528
14733,91.455483
51,94.500116
14682,92.45525
14791,92.44998
14820,92.443634
14592,92.443634
14593,92.443634
14592,92.443634
1131,93.635539
5481,95.532834
160,97.471555
940,93.200985
360,96.380523
99,92.912257
63,93.9703
402,94.884479
0,95.786318
81,96.637168
460,91.065254
649,91.360691
648,91.360691
816,91.149416
4632,91.180863
67,94.831839
111,90.945867
34,92.878367
1410,92.448973
479,93.64814
3,94.98981
168,94.979108
201,94.982811
713,94.968168
0,100
2,100
349,99.850523
1,100
0,100
0,100
0,100
0,100
450,99.778024
109,100
1005,99.607073
11,99.907236
43,100
3,100
22,100
0,100
122,99.857296
60,100
0,100
15,100
0,100
0,100
0,99.831081
0,100
0,100
1,100
31,99.872774
2,100
0,100
9971,99.768161
0,100
43,100
91,100
3,100
0,99.43958
6,100
13,100
12,100
0,100
48,99.776885
0,100
20,100
225,100
0,100
3,100
0,100
0,100
0,100
4,100
0,100
68,99.84985
0,100
329,99.610558
16,100
18,99.815055
0,100
0,100
122,99.857296
0,100
25,100
0,100
16,100
0,100
0,100
44,100
0,100
7,100
6,100
0,100
67,99.715909
0,100
0,100
0,100
54,100
97,99.776119
203,99.964552
0,100
0,100
50,100
0,100
10,100
7,100
0,100
0,100
34,100
5,100
138,100
0,100
0,100
501,99.686083
5,100
1,100
0,100
13,99.011299
17,100
4,100
60,100
0,100
0,100
4,100
136,99.830795
752,98.500914
1,100
0,100
43,100
0,100
10,100
262,99.889527
5,100
0,100
0,100
25,100
10,100
0,100
0,100
4,100
29,100
3,100
13,100
423,98.997326
228,99.543379
9,100
0,100
0,100
0,100
0,100
0,100
0,100
8,99.980119
95,98.968254
0,100
1,100
59,99.426386
20,100
62,100
0,100
0,100
25,100
0,99.86532
