@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-7,9-26,28'

@attribute NAD numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.837662
0,100
0,100
0,100
0,100
0,100
9,98.959136
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
3,99.53271
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.919549
0,100
0,100
1,99.83165
0,100
3,99.53271
0,100
0,100
0,100
0,100
0,100
0,100
3,99.53271
0,100
0,100
0,100
0,100
0,100
1,91.011236
0,91.105354
0,87.116837
3,87.872683
0,90.664557
1,89.303691
2,94.835854
2,94.835854
2,94.835854
2,94.835854
1,90.995671
1,90.995671
1,90.995671
2,91.046061
2,91.046061
1,91.011236
0,91.105354
3,90.795699
3,90.795699
0,87.116837
3,87.872683
7,87.891101
1,91.011236
0,91.105354
0,87.116837
3,87.872683
0,90.664557
0,90.664557
0,90.664557
8,86.443515
8,86.443515
1,89.303691
13,88.337574
13,88.337574
15,87.483981
1,89.303691
6,97.371715
6,97.371715
5,97.290538
5,97.373906
9,96.890547
9,96.890547
9,96.973466
0,90.368509
10,90.463725
2,95.401869
1,95.064541
1,95.490057
3,90.270889
3,90.296181
2,93.598312
7,92.571429
0,97.378178
40,89.338235
4,92.232683
0,95.834925
0,95.611771
1,94.194249
15,99.575822
0,100
16,99.704579
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,99.966544
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,85.660906
0,88.236986
1,89.352458
0,95.184968
11,93.647881
0,87.435665
0,88.239882
0,93.975904
1,93.992864
0,87.061069
1,87.061069
1,94.886332
2,95.986931
0,93.067763
0,97.953578
1,95.41279
0,92.426273
3,80.917176
0,89.852929
0,95.157923
4,92.563231
0,96.053363
0,92.983103
0,87.77149
2,91.01982
0,96.577624
18,99.853819
5,99.919933
0,100
1,99.927618
0,100
0,100
1,100
0,100
0,100
0,100
0,100
1,99.960618
1,100
5,99.946102
0,100
0,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.990227
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
0,100
1,99.976775
0,100
0,99.983407
1,99.984857
0,100
0,100
0,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
2,99.967567
0,100
1,99.972313
0,100
0,100
0,100
7,99.773658
0,100
0,100
0,100
0,100
2,99.979638
2,100
0,100
0,99.865108
0,100
0,100
1,99.990888
0,100
2,99.973421
0,99.825592
0,100
1,100
0,100
2,99.987064
0,100
0,100
12,99.853819
5,99.977351
0,100
0,100
1,100
3,99.955725
0,100
0,100
0,100
0,100
0,100
15,99.853819
0,100
0,100
0,100
0,99.997271
0,100
9,99.786491
0,100
0,100
0,100
0,100
0,100
1,100
139,93.98392
1,95.063045
118,91.243116
139,91.243116
121,91.227068
143,91.227068
1,92.592109
123,91.244962
146,91.244962
123,91.230651
145,91.230651
124,91.229642
146,91.229642
124,91.229642
147,91.227284
126,91.227284
148,91.227284
126,91.227284
3,94.413027
146,90.542367
128,90.542367
150,90.542367
130,90.534368
152,90.534368
130,90.534368
154,90.522134
132,90.522134
155,90.522134
134,90.512626
157,90.512626
134,90.512626
158,90.512626
136,90.512626
164,90.505799
138,90.505799
161,90.497946
137,90.497946
165,90.493053
139,90.469621
166,90.481214
142,90.484555
169,90.484555
142,90.484555
168,90.484555
142,90.485584
168,90.485584
143,90.154451
171,90.154451
144,90.154451
172,90.154451
142,90.161295
169,90.156374
143,90.156374
171,90.156374
1,97.431328
2,93.854905
141,92.631579
173,92.631579
143,92.631579
172,92.631579
3,94.918299
257,91.389414
187,91.283615
262,91.987772
176,91.987772
263,91.987772
180,91.987772
113,96.80161
2,95.999739
380,91.379014
314,91.379014
398,91.817528
317,91.455483
2,94.500116
400,92.45525
320,92.44998
401,92.443634
319,92.443634
401,92.443634
320,92.443634
127,93.635539
37,95.532834
1,97.471555
6,93.200985
5,96.380523
44,92.912257
1,93.9703
3,94.884479
0,95.786318
2,96.637168
7,91.065254
9,91.360691
17,91.360691
5,91.149416
9,91.180863
2,94.831839
0,90.945867
1,92.878367
4,92.448973
13,93.64814
1,94.98981
1,94.979108
4,94.982811
7,94.968168
0,100
0,100
1,99.850523
0,100
0,100
0,100
0,100
0,100
8,99.778024
4,100
4,99.607073
1,99.907236
1,100
0,100
1,100
0,100
1,99.857296
0,100
0,100
1,100
0,100
0,100
0,99.831081
0,100
0,100
1,100
2,99.872774
1,100
0,100
3,99.768161
0,100
1,100
0,100
0,100
8,99.43958
0,100
0,100
0,100
0,100
2,99.776885
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,99.84985
0,100
3,99.610558
1,100
0,99.815055
0,100
0,100
1,99.857296
0,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,100
0,100
2,99.715909
0,100
0,100
0,100
0,100
1,99.776119
2,99.964552
0,100
0,100
2,100
0,100
0,100
1,100
0,100
0,100
0,100
1,100
0,100
0,100
0,100
8,99.686083
0,100
0,100
0,100
1,99.011299
0,100
0,100
0,100
0,100
0,100
0,100
1,99.830795
3,98.500914
1,100
0,100
1,100
0,100
1,100
8,99.889527
1,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,100
1,100
1,100
15,98.997326
1,99.543379
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,99.980119
2,98.968254
0,100
0,100
0,99.426386
0,100
1,100
0,100
0,100
0,100
0,99.86532
0,100
0,100
0,100
1,100
0,100
1,100
0,100
0,100
0,100
0,100
1,100
9,99.623803
0,100
0,100
1,100
1,100
0,100
0,100
0,100
1,98.944989
1,100
0,99.885123
