@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-11,13-26,28'

@attribute ' NMD' numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
2,100
1,100
0,100
0,100
2,100
5,99.837662
0,100
1,100
1,100
0,100
0,100
2,98.959136
0,100
0,100
1,100
0,100
0,100
2,100
2,100
0,100
2,99.53271
2,100
0,100
2,100
0,100
0,100
2,100
0,100
2,100
0,100
4,100
0,100
4,99.919549
1,100
0,100
8,99.83165
0,100
2,99.53271
0,100
0,100
0,100
2,100
2,100
0,100
2,99.53271
0,100
2,100
0,100
0,100
0,100
2,91.011236
1,91.105354
2,87.116837
5,87.872683
8,90.664557
4,89.303691
3,94.835854
3,94.835854
9,94.835854
5,94.835854
2,90.995671
2,90.995671
2,90.995671
3,91.046061
2,91.046061
2,91.011236
1,91.105354
7,90.795699
9,90.795699
2,87.116837
5,87.872683
64,87.891101
2,91.011236
1,91.105354
2,87.116837
5,87.872683
8,90.664557
8,90.664557
8,90.664557
65,86.443515
65,86.443515
4,89.303691
10,88.337574
9,88.337574
20,87.483981
4,89.303691
10,97.371715
10,97.371715
18,97.290538
4,97.373906
19,96.890547
19,96.890547
4,96.973466
15,90.368509
6,90.463725
4,95.401869
12,95.064541
21,95.490057
1,90.270889
3,90.296181
8,93.598312
11,92.571429
10,97.378178
7,89.338235
6,92.232683
13,95.834925
3,95.611771
2,94.194249
2,99.575822
0,100
3,99.704579
1,100
0,100
13,100
2,100
2,100
5,100
2,100
3,100
0,100
2,100
12,99.966544
1,100
0,100
4,100
2,100
0,100
2,100
5,100
4,100
1,100
3,100
1,100
10,85.660906
4,88.236986
3,89.352458
2,95.184968
4,93.647881
1,87.435665
3,88.239882
13,93.975904
3,93.992864
2,87.061069
1,87.061069
2,94.886332
5,95.986931
1,93.067763
7,97.953578
4,95.41279
10,92.426273
83,80.917176
2,89.852929
7,95.157923
7,92.563231
2,96.053363
2,92.983103
6,87.77149
13,91.01982
3,96.577624
41,99.853819
7,99.919933
2,100
5,99.927618
1,100
1,100
1,100
4,100
1,100
8,100
7,100
1,99.960618
3,100
1,99.946102
2,100
1,100
2,100
0,100
2,100
2,100
1,100
1,100
1,100
1,100
1,100
1,100
3,99.990227
0,100
0,100
2,100
3,100
1,100
0,100
32,100
1,100
1,100
1,100
0,100
7,100
2,99.976775
1,100
2,99.983407
1,99.984857
8,100
1,100
1,100
1,100
0,100
1,100
1,100
0,100
5,100
1,100
3,99.967567
1,100
6,99.972313
2,100
1,100
0,100
7,99.773658
1,100
2,100
2,100
2,100
1,99.979638
2,100
1,100
1,99.865108
1,100
1,100
5,99.990888
0,100
5,99.973421
3,99.825592
5,100
1,100
9,100
2,99.987064
2,100
0,100
38,99.853819
2,99.977351
1,100
0,100
2,100
6,99.955725
1,100
1,100
3,100
0,100
1,100
39,99.853819
2,100
4,100
4,100
1,99.997271
1,100
10,99.786491
0,100
0,100
0,100
2,100
1,100
1,100
190,93.98392
2,95.063045
193,91.243116
192,91.243116
197,91.227068
197,91.227068
1,92.592109
198,91.244962
197,91.244962
198,91.230651
197,91.230651
198,91.229642
197,91.229642
198,91.229642
198,91.227284
198,91.227284
197,91.227284
198,91.227284
2,94.413027
197,90.542367
198,90.542367
197,90.542367
198,90.534368
197,90.534368
198,90.534368
197,90.522134
198,90.522134
198,90.522134
203,90.512626
202,90.512626
203,90.512626
202,90.512626
204,90.512626
204,90.505799
205,90.505799
205,90.497946
206,90.497946
205,90.493053
207,90.469621
206,90.481214
208,90.484555
207,90.484555
208,90.484555
207,90.484555
208,90.485584
208,90.485584
211,90.154451
210,90.154451
211,90.154451
210,90.154451
211,90.161295
210,90.156374
211,90.156374
210,90.156374
5,97.431328
2,93.854905
211,92.631579
210,92.631579
211,92.631579
248,92.631579
7,94.918299
251,91.389414
251,91.283615
253,91.987772
252,91.987772
253,91.987772
252,91.987772
36,96.80161
2,95.999739
300,91.379014
301,91.379014
301,91.817528
301,91.455483
1,94.500116
303,92.45525
303,92.44998
315,92.443634
316,92.443634
316,92.443634
316,92.443634
101,93.635539
10,95.532834
2,97.471555
8,93.200985
7,96.380523
81,92.912257
4,93.9703
1,94.884479
1,95.786318
6,96.637168
13,91.065254
37,91.360691
37,91.360691
5,91.149416
11,91.180863
1,94.831839
2,90.945867
2,92.878367
8,92.448973
14,93.64814
1,94.98981
2,94.979108
4,94.982811
5,94.968168
0,100
2,100
1,99.850523
1,100
0,100
0,100
0,100
0,100
6,99.778024
4,100
8,99.607073
2,99.907236
2,100
1,100
2,100
0,100
2,99.857296
1,100
0,100
1,100
0,100
1,100
2,99.831081
0,100
0,100
1,100
1,99.872774
1,100
0,100
1,99.768161
0,100
2,100
8,100
1,100
1,99.43958
1,100
1,100
1,100
0,100
3,99.776885
0,100
1,100
1,100
1,100
1,100
1,100
0,100
0,100
1,100
0,100
1,99.84985
0,100
9,99.610558
1,100
1,99.815055
0,100
0,100
2,99.857296
0,100
2,100
1,100
1,100
0,100
0,100
1,100
0,100
1,100
2,100
0,100
5,99.715909
0,100
0,100
1,100
2,100
1,99.776119
2,99.964552
0,100
0,100
2,100
0,100
1,100
1,100
0,100
0,100
1,100
2,100
1,100
0,100
0,100
5,99.686083
1,100
1,100
0,100
1,99.011299
1,100
1,100
1,100
0,100
0,100
1,100
3,99.830795
3,98.500914
1,100
0,100
1,100
0,100
2,100
11,99.889527
1,100
0,100
0,100
1,100
1,100
2,100
0,100
1,100
3,100
1,100
1,100
2,98.997326
6,99.543379
1,100
0,100
1,100
1,100
1,100
0,100
1,100
1,99.980119
4,98.968254
1,100
1,100
3,99.426386
1,100
2,100
1,100
1,100
1,100
1,99.86532
0,100
0,100
0,100
1,100
1,100
2,100
0,100
4,100
1,100
0,100
2,100
7,99.623803
1,100
0,100
1,100
1,100
1,100
0,100
0,100
2,98.944989
1,100
