@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R2-26,28'

@attribute NMF numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
2,100
1,100
0,100
0,100
2,100
8,99.837662
0,100
1,100
1,100
0,100
0,100
9,98.959136
0,100
0,100
1,100
0,100
0,100
4,100
2,100
0,100
7,99.53271
2,100
0,100
2,100
0,100
0,100
2,100
0,100
2,100
0,100
5,100
0,100
6,99.919549
1,100
0,100
11,99.83165
0,100
7,99.53271
0,100
0,100
0,100
2,100
2,100
0,100
7,99.53271
0,100
2,100
0,100
0,100
0,100
2,91.011236
1,91.105354
2,87.116837
9,87.872683
15,90.664557
6,89.303691
3,94.835854
3,94.835854
15,94.835854
5,94.835854
2,90.995671
2,90.995671
2,90.995671
3,91.046061
2,91.046061
2,91.011236
1,91.105354
7,90.795699
10,90.795699
2,87.116837
9,87.872683
327,87.891101
2,91.011236
1,91.105354
2,87.116837
9,87.872683
15,90.664557
15,90.664557
15,90.664557
331,86.443515
331,86.443515
6,89.303691
21,88.337574
20,88.337574
39,87.483981
6,89.303691
18,97.371715
18,97.371715
26,97.290538
6,97.373906
30,96.890547
30,96.890547
9,96.973466
45,90.368509
18,90.463725
6,95.401869
16,95.064541
97,95.490057
3,90.270889
8,90.296181
14,93.598312
23,92.571429
27,97.378178
41,89.338235
13,92.232683
22,95.834925
4,95.611771
2,94.194249
15,99.575822
0,100
17,99.704579
1,100
0,100
19,100
2,100
2,100
8,100
2,100
3,100
0,100
2,100
25,99.966544
2,100
0,100
9,100
3,100
0,100
18,100
5,100
8,100
1,100
3,100
1,100
21,85.660906
5,88.236986
4,89.352458
2,95.184968
13,93.647881
3,87.435665
4,88.239882
33,93.975904
4,93.992864
3,87.061069
2,87.061069
2,94.886332
11,95.986931
3,93.067763
12,97.953578
91,95.41279
16,92.426273
1015,80.917176
2,89.852929
11,95.157923
10,92.563231
2,96.053363
7,92.983103
7,87.77149
26,91.01982
4,96.577624
81,99.853819
13,99.919933
2,100
9,99.927618
1,100
1,100
1,100
14,100
1,100
12,100
7,100
1,99.960618
3,100
5,99.946102
2,100
2,100
2,100
0,100
2,100
2,100
1,100
2,100
1,100
1,100
1,100
1,100
3,99.990227
0,100
0,100
2,100
3,100
1,100
0,100
57,100
1,100
1,100
2,100
0,100
7,100
2,99.976775
1,100
2,99.983407
1,99.984857
11,100
1,100
1,100
1,100
0,100
1,100
1,100
0,100
6,100
1,100
4,99.967567
1,100
15,99.972313
2,100
1,100
0,100
14,99.773658
1,100
3,100
2,100
2,100
7,99.979638
2,100
4,100
1,99.865108
1,100
1,100
7,99.990888
0,100
9,99.973421
3,99.825592
5,100
1,100
13,100
3,99.987064
2,100
0,100
76,99.853819
7,99.977351
1,100
0,100
2,100
10,99.955725
1,100
2,100
5,100
0,100
1,100
77,99.853819
2,100
11,100
7,100
1,99.997271
1,100
30,99.786491
0,100
0,100
0,100
2,100
1,100
1,100
600,93.98392
2,95.063045
604,91.243116
604,91.243116
610,91.227068
612,91.227068
3,92.592109
616,91.244962
616,91.244962
616,91.230651
616,91.230651
617,91.229642
617,91.229642
617,91.229642
620,91.227284
619,91.227284
619,91.227284
619,91.227284
3,94.413027
621,90.542367
621,90.542367
621,90.542367
623,90.534368
623,90.534368
628,90.534368
635,90.522134
636,90.522134
639,90.522134
647,90.512626
647,90.512626
647,90.512626
648,90.512626
655,90.512626
659,90.505799
659,90.505799
663,90.497946
664,90.497946
665,90.493053
670,90.469621
669,90.481214
673,90.484555
673,90.484555
673,90.484555
674,90.484555
674,90.485584
675,90.485584
679,90.154451
679,90.154451
679,90.154451
681,90.154451
679,90.161295
680,90.156374
680,90.156374
680,90.156374
8,97.431328
2,93.854905
690,92.631579
690,92.631579
690,92.631579
806,92.631579
11,94.918299
811,91.389414
833,91.283615
821,91.987772
822,91.987772
822,91.987772
822,91.987772
113,96.80161
4,95.999739
957,91.379014
958,91.379014
960,91.817528
962,91.455483
4,94.500116
968,92.45525
969,92.44998
989,92.443634
991,92.443634
991,92.443634
991,92.443634
425,93.635539
37,95.532834
3,97.471555
17,93.200985
13,96.380523
171,92.912257
8,93.9703
3,94.884479
1,95.786318
6,96.637168
32,91.065254
64,91.360691
64,91.360691
9,91.149416
20,91.180863
2,94.831839
2,90.945867
3,92.878367
23,92.448973
14,93.64814
5,94.98981
3,94.979108
6,94.982811
10,94.968168
0,100
2,100
1,99.850523
1,100
0,100
0,100
0,100
0,100
14,99.778024
7,100
13,99.607073
2,99.907236
3,100
1,100
2,100
0,100
5,99.857296
1,100
0,100
1,100
0,100
1,100
2,99.831081
0,100
0,100
1,100
2,99.872774
1,100
0,100
3,99.768161
0,100
2,100
9,100
1,100
8,99.43958
1,100
1,100
1,100
0,100
3,99.776885
0,100
1,100
1,100
1,100
1,100
1,100
0,100
0,100
1,100
0,100
1,99.84985
0,100
18,99.610558
1,100
2,99.815055
0,100
0,100
5,99.857296
0,100
2,100
1,100
1,100
0,100
0,100
1,100
0,100
1,100
4,100
0,100
7,99.715909
0,100
0,100
1,100
2,100
2,99.776119
2,99.964552
0,100
0,100
2,100
0,100
1,100
2,100
0,100
0,100
2,100
3,100
1,100
0,100
0,100
11,99.686083
2,100
1,100
0,100
1,99.011299
1,100
1,100
1,100
0,100
0,100
1,100
3,99.830795
7,98.500914
1,100
0,100
2,100
0,100
2,100
25,99.889527
1,100
0,100
0,100
1,100
1,100
2,100
0,100
1,100
3,100
1,100
2,100
16,98.997326
8,99.543379
1,100
0,100
2,100
1,100
1,100
0,100
6,100
1,99.980119
5,98.968254
1,100
1,100
4,99.426386
1,100
2,100
1,100
1,100
1,100
2,99.86532
0,100
0,100
0,100
1,100
1,100
2,100
0,100
4,100
1,100
0,100
3,100
12,99.623803
1,100
0,100
2,100
1,100
1,100
0,100
0,100
2,98.944989
1,100
1,99.885123
1,100
