@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R2-26,28_predicted'

@attribute NMF numeric
@attribute predicteda2a numeric
@attribute a2a numeric

@data
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
8,97.575077,99.837662
0,99.79615,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
9,96.743116,98.959136
0,99.79615,100
0,99.79615,100
1,99.822455,100
0,99.79615,100
0,99.79615,100
4,97.540903,100
2,99.057258,100
0,99.79615,100
7,97.103814,99.53271
2,99.057258,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
2,99.057258,100
0,99.79615,100
5,97.069877,100
0,99.79615,100
6,96.846014,99.919549
1,99.822455,100
0,99.79615,100
11,95.47549,99.83165
0,99.79615,100
7,97.103814,99.53271
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,100
2,99.057258,100
0,99.79615,100
7,97.103814,99.53271
0,99.79615,100
2,99.057258,100
0,99.79615,100
0,99.79615,100
0,99.79615,100
2,99.057258,91.011236
1,99.822455,91.105354
2,99.057258,87.116837
9,96.743116,87.872683
15,96.258704,90.664557
6,96.846014,89.303691
3,98.756871,94.835854
3,98.756871,94.835854
15,96.258704,94.835854
5,97.069877,94.835854
2,99.057258,90.995671
2,99.057258,90.995671
2,99.057258,90.995671
3,98.756871,91.046061
2,99.057258,91.046061
2,99.057258,91.011236
1,99.822455,91.105354
7,97.103814,90.795699
10,96.898505,90.795699
2,99.057258,87.116837
9,96.743116,87.872683
327,87.311519,87.891101
2,99.057258,91.011236
1,99.822455,91.105354
2,99.057258,87.116837
9,96.743116,87.872683
15,96.258704,90.664557
15,96.258704,90.664557
15,96.258704,90.664557
331,78.741197,86.443515
331,78.741197,86.443515
6,96.846014,89.303691
21,94.47387,88.337574
20,94.637569,88.337574
39,95.679956,87.483981
6,96.846014,89.303691
18,95.181581,97.371715
18,95.181581,97.371715
26,91.162364,97.290538
6,96.846014,97.373906
30,95.523573,96.890547
30,95.523573,96.890547
9,96.743116,96.973466
45,94.356892,90.368509
18,95.181581,90.463725
6,96.846014,95.401869
16,95.494816,95.064541
97,90.340392,95.490057
3,98.756871,90.270889
8,97.575077,90.296181
14,94.474316,93.598312
23,97.258654,92.571429
27,94.613046,97.378178
41,94.884991,89.338235
13,96.282289,92.232683
22,97.315724,95.834925
4,97.540903,95.611771
2,99.057258,94.194249
15,96.258704,99.575822
0,99.79615,100
17,95.880206,99.704579
1,99.822455,100
0,99.79615,100
19,97.6118,100
2,99.057258,100
2,99.057258,100
8,97.575077,100
2,99.057258,100
3,98.756871,100
0,99.79615,100
2,99.057258,100
25,96.564144,99.966544
2,99.057258,100
0,99.79615,100
9,96.743116,100
3,98.756871,100
0,99.79615,100
18,95.181581,100
5,97.069877,100
8,97.575077,100
1,99.822455,100
3,98.756871,100
1,99.822455,100
21,94.47387,85.660906
5,97.069877,88.236986
4,97.540903,89.352458
2,99.057258,95.184968
13,96.282289,93.647881
3,98.756871,87.435665
4,97.540903,88.239882
33,95.75696,93.975904
4,97.540903,93.992864
3,98.756871,87.061069
2,99.057258,87.061069
2,99.057258,94.886332
11,95.47549,95.986931
3,98.756871,93.067763
12,95.61896,97.953578
91,90.64391,95.41279
16,95.494816,92.426273
1015,16.035813,80.917176
2,99.057258,89.852929
11,95.47549,95.157923
10,96.898505,92.563231
2,99.057258,96.053363
7,97.103814,92.983103
7,97.103814,87.77149
26,91.162364,91.01982
4,97.540903,96.577624
81,93.866812,99.853819
13,96.282289,99.919933
2,99.057258,100
9,96.743116,99.927618
1,99.822455,100
1,99.822455,100
1,99.822455,100
14,94.474316,100
1,99.822455,100
12,95.61896,100
7,97.103814,100
1,99.822455,99.960618
3,98.756871,100
5,97.069877,99.946102
2,99.057258,100
2,99.057258,100
2,99.057258,100
0,99.79615,100
2,99.057258,100
2,99.057258,100
1,99.822455,100
2,99.057258,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
3,98.756871,99.990227
0,99.79615,100
0,99.79615,100
2,99.057258,100
3,98.756871,100
1,99.822455,100
0,99.79615,100
57,93.472866,100
1,99.822455,100
1,99.822455,100
2,99.057258,100
0,99.79615,100
7,97.103814,100
2,99.057258,99.976775
1,99.822455,100
2,99.057258,99.983407
1,99.822455,99.984857
11,95.47549,100
1,99.822455,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
1,99.822455,100
1,99.822455,100
0,99.79615,100
6,96.846014,100
1,99.822455,100
4,97.540903,99.967567
1,99.822455,100
15,96.258704,99.972313
2,99.057258,100
1,99.822455,100
0,99.79615,100
14,94.474316,99.773658
1,99.822455,100
3,98.756871,100
2,99.057258,100
2,99.057258,100
7,97.103814,99.979638
2,99.057258,100
4,97.540903,100
1,99.822455,99.865108
1,99.822455,100
1,99.822455,100
7,97.103814,99.990888
0,99.79615,100
9,96.743116,99.973421
3,98.756871,99.825592
5,97.069877,100
1,99.822455,100
13,96.282289,100
3,98.756871,99.987064
2,99.057258,100
0,99.79615,100
76,99.696931,99.853819
7,97.103814,99.977351
1,99.822455,100
0,99.79615,100
