@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-10,12-26,28'

@attribute ' NMS' numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1,100
1,100
0,100
0,100
1,100
1,99.837662
0,100
1,100
1,100
0,100
0,100
1,98.959136
0,100
0,100
1,100
0,100
0,100
1,100
1,100
0,100
1,99.53271
1,100
0,100
1,100
0,100
0,100
1,100
0,100
1,100
0,100
1,100
0,100
1,99.919549
1,100
0,100
1,99.83165
0,100
1,99.53271
0,100
0,100
0,100
1,100
1,100
0,100
1,99.53271
0,100
1,100
0,100
0,100
0,100
1,91.011236
1,91.105354
1,87.116837
1,87.872683
1,90.664557
1,89.303691
1,94.835854
1,94.835854
2,94.835854
1,94.835854
1,90.995671
1,90.995671
1,90.995671
1,91.046061
1,91.046061
1,91.011236
1,91.105354
1,90.795699
1,90.795699
1,87.116837
1,87.872683
2,87.891101
1,91.011236
1,91.105354
1,87.116837
1,87.872683
1,90.664557
1,90.664557
1,90.664557
2,86.443515
2,86.443515
1,89.303691
1,88.337574
1,88.337574
1,87.483981
1,89.303691
1,97.371715
1,97.371715
1,97.290538
1,97.373906
1,96.890547
1,96.890547
1,96.973466
1,90.368509
1,90.463725
1,95.401869
1,95.064541
1,95.490057
1,90.270889
1,90.296181
1,93.598312
1,92.571429
1,97.378178
1,89.338235
1,92.232683
1,95.834925
1,95.611771
1,94.194249
1,99.575822
0,100
2,99.704579
1,100
0,100
2,100
1,100
1,100
1,100
1,100
1,100
0,100
1,100
2,99.966544
1,100
0,100
2,100
1,100
0,100
1,100
1,100
1,100
1,100
2,100
1,100
2,85.660906
1,88.236986
1,89.352458
1,95.184968
1,93.647881
1,87.435665
1,88.239882
1,93.975904
1,93.992864
1,87.061069
1,87.061069
1,94.886332
1,95.986931
1,93.067763
1,97.953578
1,95.41279
1,92.426273
17,80.917176
1,89.852929
1,95.157923
2,92.563231
1,96.053363
1,92.983103
2,87.77149
3,91.01982
1,96.577624
5,99.853819
1,99.919933
1,100
2,99.927618
1,100
1,100
1,100
1,100
1,100
1,100
2,100
1,99.960618
1,100
1,99.946102
1,100
1,100
1,100
0,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,100
1,99.990227
0,100
0,100
2,100
2,100
1,100
0,100
5,100
1,100
1,100
1,100
0,100
2,100
1,99.976775
1,100
2,99.983407
1,99.984857
3,100
1,100
1,100
1,100
0,100
1,100
1,100
0,100
2,100
1,100
1,99.967567
1,100
2,99.972313
2,100
1,100
0,100
3,99.773658
1,100
1,100
2,100
2,100
1,99.979638
1,100
1,100
1,99.865108
1,100
1,100
2,99.990888
0,100
2,99.973421
2,99.825592
2,100
1,100
2,100
1,99.987064
1,100
0,100
5,99.853819
2,99.977351
1,100
0,100
1,100
2,99.955725
1,100
1,100
1,100
0,100
1,100
5,99.853819
1,100
2,100
1,100
1,99.997271
1,100
2,99.786491
0,100
0,100
0,100
1,100
1,100
1,100
7,93.98392
2,95.063045
7,91.243116
7,91.243116
7,91.227068
7,91.227068
1,92.592109
7,91.244962
7,91.244962
7,91.230651
7,91.230651
7,91.229642
7,91.229642
7,91.229642
7,91.227284
7,91.227284
7,91.227284
7,91.227284
1,94.413027
7,90.542367
7,90.542367
7,90.542367
7,90.534368
7,90.534368
7,90.534368
7,90.522134
7,90.522134
7,90.522134
7,90.512626
7,90.512626
7,90.512626
7,90.512626
7,90.512626
7,90.505799
7,90.505799
7,90.497946
7,90.497946
7,90.493053
7,90.469621
7,90.481214
7,90.484555
7,90.484555
7,90.484555
7,90.484555
7,90.485584
7,90.485584
7,90.154451
7,90.154451
7,90.154451
7,90.154451
7,90.161295
7,90.156374
7,90.156374
7,90.156374
1,97.431328
1,93.854905
7,92.631579
7,92.631579
7,92.631579
7,92.631579
1,94.918299
7,91.389414
7,91.283615
7,91.987772
7,91.987772
7,91.987772
7,91.987772
3,96.80161
2,95.999739
9,91.379014
9,91.379014
9,91.817528
9,91.455483
1,94.500116
9,92.45525
9,92.44998
9,92.443634
9,92.443634
9,92.443634
9,92.443634
4,93.635539
1,95.532834
1,97.471555
1,93.200985
1,96.380523
7,92.912257
1,93.9703
1,94.884479
1,95.786318
1,96.637168
3,91.065254
4,91.360691
4,91.360691
1,91.149416
1,91.180863
1,94.831839
1,90.945867
1,92.878367
2,92.448973
2,93.64814
1,94.98981
1,94.979108
1,94.982811
1,94.968168
0,100
1,100
1,99.850523
1,100
0,100
0,100
0,100
0,100
1,99.778024
1,100
1,99.607073
1,99.907236
1,100
1,100
1,100
0,100
1,99.857296
1,100
0,100
1,100
0,100
1,100
1,99.831081
0,100
0,100
1,100
1,99.872774
1,100
0,100
1,99.768161
0,100
1,100
1,100
1,100
1,99.43958
1,100
1,100
1,100
0,100
1,99.776885
0,100
1,100
1,100
1,100
1,100
1,100
0,100
0,100
1,100
0,100
1,99.84985
0,100
1,99.610558
1,100
1,99.815055
0,100
0,100
1,99.857296
0,100
1,100
1,100
1,100
0,100
0,100
1,100
0,100
1,100
1,100
0,100
1,99.715909
0,100
0,100
1,100
1,100
1,99.776119
1,99.964552
0,100
0,100
1,100
0,100
1,100
1,100
0,100
0,100
1,100
1,100
1,100
0,100
0,100
1,99.686083
1,100
1,100
0,100
1,99.011299
1,100
1,100
1,100
0,100
0,100
1,100
1,99.830795
1,98.500914
1,100
0,100
1,100
0,100
1,100
1,99.889527
1,100
0,100
0,100
1,100
1,100
1,100
0,100
1,100
1,100
1,100
1,100
1,98.997326
1,99.543379
1,100
0,100
1,100
1,100
1,100
0,100
1,100
1,99.980119
1,98.968254
1,100
1,100
1,99.426386
1,100
1,100
1,100
1,100
1,100
1,99.86532
0,100
0,100
0,100
1,100
1,100
1,100
0,100
1,100
1,100
0,100
1,100
1,99.623803
1,100
0,100
1,100
1,100
1,100
0,100
0,100
1,98.944989
1,100
