@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-8,10-26,28'

@attribute ' NUC' numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
81,100
17,100
0,100
0,100
14,100
29,99.837662
0,100
22,100
22,100
0,100
0,100
1,98.959136
0,100
0,100
7,100
0,100
0,100
13,100
11,100
0,100
8,99.53271
68,100
0,100
34,100
0,100
0,100
28,100
0,100
38,100
0,100
2,100
0,100
41,99.919549
4,100
0,100
55,99.83165
0,100
8,99.53271
0,100
0,100
0,100
112,100
86,100
0,100
8,99.53271
0,100
25,100
0,100
0,100
0,100
71,91.011236
72,91.105354
19,87.116837
64,87.872683
65,90.664557
20,89.303691
20,94.835854
19,94.835854
85,94.835854
77,94.835854
6,90.995671
3,90.995671
6,90.995671
21,91.046061
0,91.046061
71,91.011236
72,91.105354
70,90.795699
87,90.795699
19,87.116837
64,87.872683
85,87.891101
71,91.011236
72,91.105354
19,87.116837
64,87.872683
65,90.664557
64,90.664557
65,90.664557
86,86.443515
88,86.443515
22,89.303691
81,88.337574
22,88.337574
88,87.483981
20,89.303691
89,97.371715
90,97.371715
90,97.290538
3,97.373906
90,96.890547
89,96.890547
7,96.973466
77,90.368509
98,90.463725
42,95.401869
100,95.064541
78,95.490057
6,90.270889
26,90.296181
79,93.598312
99,92.571429
21,97.378178
28,89.338235
90,92.232683
94,95.834925
22,95.611771
78,94.194249
1,99.575822
0,100
11,99.704579
4,100
0,100
188,100
213,100
83,100
78,100
216,100
18,100
0,100
93,100
57,99.966544
9,100
0,100
13,100
75,100
0,100
69,100
178,100
250,100
6,100
93,100
91,100
215,85.660906
167,88.236986
125,89.352458
140,95.184968
48,93.647881
72,87.435665
168,88.239882
186,93.975904
136,93.992864
25,87.061069
80,87.061069
11,94.886332
190,95.986931
84,93.067763
86,97.953578
226,95.41279
162,92.426273
234,80.917176
176,89.852929
222,95.157923
121,92.563231
161,96.053363
32,92.983103
236,87.77149
138,91.01982
27,96.577624
51,99.853819
15,99.919933
13,100
35,99.927618
25,100
6,100
4,100
10,100
16,100
156,100
11,100
4,99.960618
194,100
1,99.946102
6,100
2,100
53,100
0,100
32,100
7,100
6,100
15,100
3,100
23,100
24,100
2,100
8,99.990227
0,100
0,100
11,100
11,100
10,100
0,100
51,100
13,100
3,100
13,100
0,100
42,100
2,99.976775
3,100
14,99.983407
4,99.984857
31,100
5,100
48,100
30,100
0,100
4,100
12,100
0,100
91,100
10,100
77,99.967567
10,100
18,99.972313
6,100
6,100
0,100
19,99.773658
3,100
5,100
171,100
8,100
4,99.979638
3,100
3,100
6,99.865108
30,100
13,100
15,99.990888
0,100
32,99.973421
14,99.825592
6,100
6,100
13,100
12,99.987064
9,100
0,100
48,99.853819
22,99.977351
21,100
0,100
22,100
15,99.955725
2,100
8,100
33,100
0,100
2,100
51,99.853819
3,100
14,100
11,100
5,99.997271
2,100
24,99.786491
0,100
0,100
0,100
27,100
18,100
12,100
141,93.98392
11,95.063045
126,91.243116
142,91.243116
126,91.227068
143,91.227068
14,92.592109
126,91.244962
143,91.244962
126,91.230651
143,91.230651
126,91.229642
144,91.229642
126,91.229642
144,91.227284
126,91.227284
144,91.227284
126,91.227284
3,94.413027
144,90.542367
126,90.542367
146,90.542367
126,90.534368
146,90.534368
126,90.534368
147,90.522134
126,90.522134
147,90.522134
126,90.512626
147,90.512626
126,90.512626
147,90.512626
126,90.512626
148,90.505799
126,90.505799
148,90.497946
126,90.497946
148,90.493053
126,90.469621
150,90.481214
126,90.484555
150,90.484555
126,90.484555
151,90.484555
126,90.485584
153,90.485584
126,90.154451
154,90.154451
126,90.154451
154,90.154451
126,90.161295
154,90.156374
126,90.156374
154,90.156374
155,97.431328
11,93.854905
126,92.631579
157,92.631579
126,92.631579
157,92.631579
158,94.918299
126,91.389414
158,91.283615
126,91.987772
158,91.987772
126,91.987772
158,91.987772
2,96.80161
18,95.999739
126,91.379014
159,91.379014
126,91.817528
159,91.455483
4,94.500116
126,92.45525
159,92.44998
126,92.443634
159,92.443634
126,92.443634
159,92.443634
103,93.635539
1,95.532834
7,97.471555
32,93.200985
14,96.380523
69,92.912257
33,93.9703
7,94.884479
17,95.786318
75,96.637168
120,91.065254
170,91.360691
171,91.360691
16,91.149416
42,91.180863
9,94.831839
2,90.945867
8,92.878367
99,92.448973
14,93.64814
7,94.98981
15,94.979108
4,94.982811
10,94.968168
0,100
9,100
1,99.850523
71,100
0,100
0,100
0,100
0,100
98,99.778024
182,100
91,99.607073
2,99.907236
8,100
5,100
42,100
0,100
98,99.857296
93,100
0,100
65,100
0,100
8,100
2,99.831081
0,100
0,100
18,100
30,99.872774
9,100
0,100
1,99.768161
0,100
50,100
43,100
2,100
1,99.43958
5,100
139,100
25,100
0,100
12,99.776885
0,100
126,100
13,100
51,100
12,100
2,100
0,100
0,100
14,100
0,100
1,99.84985
0,100
175,99.610558
124,100
5,99.815055
0,100
0,100
98,99.857296
0,100
217,100
5,100
139,100
0,100
0,100
16,100
0,100
19,100
252,100
0,100
35,99.715909
0,100
0,100
36,100
10,100
10,99.776119
731,99.964552
0,100
0,100
3,100
0,100
13,100
71,100
0,100
0,100
10,100
70,100
8,100
0,100
0,100
185,99.686083
12,100
232,100
0,100
12,99.011299
3,100
6,100
93,100
0,100
0,100
153,100
70,99.830795
116,98.500914
21,100
0,100
8,100
0,100
53,100
55,99.889527
27,100
0,100
0,100
42,100
383,100
22,100
0,100
55,100
159,100
58,100
118,100
34,98.997326
64,99.543379
7,100
0,100
62,100
4,100
6,100
0,100
9,100
7,99.980119
127,98.968254
138,100
232,100
27,99.426386
15,100
60,100
13,100
3,100
20,100
2,99.86532
0,100
0,100
0,100
15,100
21,100
15,100
0,100
76,100
5,100
0,100
169,100
68,99.623803
27,100
0,100
8,100
6,100
4,100
0,100
0,100
27,98.944989
22,100
