@relation 'FinalSampleData-weka.filters.unsupervised.attribute.Remove-R2-3,6-7,14,16-19,21-22,24-25,28_predicted'

@attribute NMF numeric
@attribute LC numeric
@attribute LC_1 numeric
@attribute NAD numeric
@attribute ' NUC' numeric
@attribute ' AGE' numeric
@attribute ' NMS' numeric
@attribute ' NMD' numeric
@attribute ' Entropy ' numeric
@attribute NDVE numeric
@attribute CFC numeric
@attribute NCC numeric
@attribute NFC numeric
@attribute predicteda2a numeric
@attribute a2a numeric

@data
1,17,17,0,2,0,1,1,0,2,2,641,2,99.81356,100
2,6,22,0,2,6,1,1,1,1,2,30,2,99.773552,100
7,271,277,3,5,11,1,2,2.195529,0,24,1080,10,99.339871,99.53271
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
6,403,413,3,49,0,1,4,1.6391,1,65,2360,40,98.252233,99.673025
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
4,11,25,0,13,19,1,3,1.681542,2,0,19,0,99.709324,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,33,33,0,29,16,1,2,0.745518,2,3,106,2,99.373347,100
4,36,180,0,11,8,1,3,1.486663,2,5,215,4,99.247024,99.546142
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,4,8,0,4,144,1,1,0,3,1,20,1,99.959101,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,51,73,0,77,110,1,2,0.306425,5,6,446,5,99.892682,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
3,95,121,1,39,348,1,2,1.451083,3,9,430,8,99.088322,98.931624
1,1,1,0,19,0,1,1,0,4,0,6,0,99.97621,100
2,11,85,0,23,170,1,2,0.450067,9,11,286,6,99.875525,100
8,629,653,2,3,16,1,2,1.835681,1,72,3141,22,98.191441,98.969889
1,7,25,0,40,161,1,1,0,4,2,13,0,99.967175,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,56,64,1,50,241,1,2,0.757878,1,1,244,1,99.112051,99.783198
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,15,17,0,4,548,1,1,0,2,1,91,0,99.952356,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
4,19,73,0,30,82,1,4,1.515272,2,1,140,1,99.741627,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
18,210,524,0,40,37,1,8,2.6167,2,31,353,27,98.848399,100
1,3,9,0,19,199,1,1,0,3,0,21,0,99.963832,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,22,30,0,86,2374,1,2,0.881291,2,19,892,14,99.884254,100
5,67,117,0,19,158,1,2,0.64261,3,14,320,11,99.631046,100
14,3,53,0,25,312,1,6,3.211678,1,0,26,0,99.456806,100
1,0,2,0,17,73,1,1,0,5,0,0,0,99.972609,100
5,67,117,0,17,80,1,2,0.64261,2,14,320,11,99.805263,100
2,70,74,0,67,194,1,2,0.821813,1,4,371,1,99.269348,99.85627
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
3,95,121,1,39,362,1,2,1.451083,3,9,430,8,99.059305,98.931624
10,396,904,1,8,6,1,2,2.200533,1,20,2658,10,98.504771,99.834506
1,0,2,0,46,0,1,1,0,9,0,6,0,99.981232,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,9,21,0,7,17,1,1,0,2,1,18,1,99.960272,100
1,0,6,0,78,103,1,1,0,8,0,5,0,99.979073,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
13,316,418,1,55,134,1,9,2.821212,3,38,1930,12,99.856692,99.834437
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,0,2,0,17,73,1,1,0,5,0,0,0,99.972609,100
3,6,26,0,21,174,1,3,1.465536,4,0,104,0,99.737925,100
5,720,720,1,89,108,1,5,0.546515,4,415,11494,207,98.825621,99.90953
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
3,9,9,0,5,210,1,1,1.584963,3,3,33,3,99.85793,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,19,87,0,26,68,1,2,0.442959,1,3,193,0,99.914001,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,1,1,0,17,129,1,1,0,3,0,6,0,99.96937,100
13,316,418,1,55,134,1,9,2.821212,3,38,1930,12,99.856692,99.832215
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
3,132,132,2,24,412,1,2,0.954043,3,14,554,7,98.789109,99.834492
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,0,2,0,114,18,1,1,0,34,0,0,0,99.982889,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,7,7,0,7,407,1,1,0,4,0,47,0,99.961866,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
7,902,954,6,5,213,1,2,2.483065,1,73,3922,49,97.900245,98.538891
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
5,67,117,0,17,80,1,2,0.64261,2,14,320,11,99.805263,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,1,1,0,19,0,1,1,0,4,0,6,0,99.97621,100
1,10,96,0,10,182,1,1,0,3,2,24,1,99.948494,100
2,33,35,1,28,148,1,2,0.315997,1,1,92,1,99.248695,99.891304
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
4,42,46,0,40,144,1,4,1.328189,3,7,425,2,98.989786,100
3,170,200,0,103,30,1,3,1.336666,11,529,15435,237,99.052323,100
2,34,34,0,3,203,1,1,1,2,0,0,0,99.454893,100
7,271,277,3,5,11,1,2,2.195529,0,24,1080,10,99.339871,99.53271
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
3,22,26,0,28,30,1,2,0.892995,3,3,174,1,99.842473,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,28,36,0,10,880,1,2,0.764205,2,1,207,1,99.573023,99.832121
13,316,418,1,55,134,1,9,2.821212,3,38,1930,12,99.856692,99.834437
13,316,418,1,55,134,1,9,2.821212,3,38,1930,12,99.856692,99.834437
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,63,67,0,9,10,1,1,0.879459,4,11,280,0,99.5826,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
1,10,96,0,10,182,1,1,0,3,2,24,1,99.948494,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,15,23,0,22,20,1,2,0.828056,1,4,127,2,99.864035,99.848485
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
2,4,8,0,8,0,1,1,0.954434,4,0,22,0,99.733135,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
7,89,151,0,21,246,1,2,2.494649,1,9,392,6,98.852799,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
0,0,0,0,0,0,0,0,0,0,0,0,0,99.84862,100
