NMF,LC,NAD, NUC, NMS, NMD, Entropy ,MLMF,CFC,NCC,NMC,a2a
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
4,51,0,10,1,2,1.53554765,485,11,303,4,93.77682403
0,0,0,0,0,0,0,0,0,0,0,100
1,0,0,16,1,1,0,462,0,1,0,100
24,378,14,17,1,6,4.080698285,4615,60,289,32,93.46642468
61,66,0,18,1,9,5.29439242,9223,0,6,0,92.90187891
0,0,0,0,0,0,0,0,0,0,0,100
15,24,4,18,1,3,3.201329052,2777,2,135,3,97.59358289
0,0,0,0,0,0,0,0,0,0,0,100
12,641,6,14,1,4,3.017296424,871,56,2544,38,96.40102828
0,0,0,0,0,0,0,0,0,0,0,100
8,9,0,12,1,3,2.846301808,445,0,0,0,100
1,11,0,14,1,1,0,270,6,62,1,100
6,23,0,19,1,4,2.022012759,2090,3,164,5,100
6,229,3,13,1,4,1.802370874,515,21,1116,17,93.99538106
2,168,1,4,1,2,0.193196413,623,4,948,4,98.72881356
3,85,1,5,1,2,0.309461189,581,6,381,2,99.59016393
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
1,7,0,15,1,1,0,281,3,82,0,100
2,28,0,2,1,1,1,68,0,0,0,100
8,163,0,14,1,3,2.517193933,904,21,932,17,100
2,3,0,19,1,1,0.721928095,1046,2,29,0,100
0,0,0,0,0,0,0,0,0,0,0,100
2,350,2,1,1,2,0.994693795,0,74,2409,23,96.7462039
23,243,2,20,1,6,3.433059815,3366,40,1514,22,98.39449541
0,0,0,0,0,0,0,0,0,0,0,100
5,43,0,20,1,5,1.494220774,1600,4,320,7,100
0,0,0,0,0,0,0,0,0,0,0,100
2,34,0,3,1,2,1,156,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
97,2508,33,16,1,12,5.434778564,14470,303,10953,159,79.76470588
2,10,0,15,1,2,0.286396957,499,6,91,0,100
24,22,0,22,1,7,4.074760941,5530,2,141,2,99.23954373
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
1,3,0,14,1,1,0,149,4,29,0,100
2,22,0,23,1,2,0.249882293,1623,4,71,2,100
3,127,1,23,1,3,0.86705026,602,12,660,9,99.62121212
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
3,118,2,21,1,2,1.501727227,359,10,392,4,98.88682746
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
4,78,0,13,1,2,1.518193186,613,13,543,7,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
7,59,0,24,1,5,2.513346984,2025,8,436,5,78.73303167
2,27,0,25,1,2,0.907165768,1102,4,138,1,100
16,17,0,22,1,4,3.036039894,1855,11,80,3,90.60402685
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
3,14,0,26,1,2,1.369471138,1317,0,151,1,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
2,61,1,2,1,2,0.208180946,58,6,309,1,99.23664122
0,0,0,0,0,0,0,0,0,0,0,100
2,97,0,23,1,2,0.971941752,457,6,556,5,98.87218045
2,1,0,24,1,1,0.634309555,668,0,0,0,100
3,1,0,11,1,3,1.456564762,559,0,27,0,100
14,592,1,21,1,5,2.778364912,2238,114,3432,65,74.56359102
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
4,54,0,25,1,3,1.967788463,564,6,220,4,100
4,18,0,27,1,3,1.866196857,1283,5,86,2,94.83101392
0,0,0,0,0,0,0,0,0,0,0,100
8,79,0,19,1,5,1.744240214,1365,19,549,7,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
2,76,0,28,1,2,0.547246947,1129,20,640,6,100
0,0,0,0,0,0,0,0,0,0,0,100
5,71,2,20,1,3,1.850495335,985,9,176,14,92.91666667
6,24,0,22,1,4,2.406669265,1708,7,207,3,100
8,104,1,23,1,3,2.733285855,1847,15,501,7,99.59183673
2,33,0,29,1,2,0.745517843,1205,3,106,2,100
5,56,0,23,1,3,2.112063347,1192,10,545,2,100
2,19,0,26,1,2,0.442958679,566,3,193,0,100
2,21,0,30,1,2,0.81792525,1238,1,131,1,100
0,0,0,0,0,0,0,0,0,0,0,100
2,2,0,24,1,2,0.764204507,459,0,14,0,100
4,5,0,27,1,3,1.874444455,602,0,21,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
11,706,9,5,1,4,3.198549137,472,50,3027,30,92.63565891
10,51,1,15,1,4,2.431137363,1418,13,271,7,97.61029412
4,14,0,15,1,2,1.610577243,764,2,76,2,100
3,51,0,28,1,3,0.929398973,909,4,228,0,99.81751825
4,234,2,31,1,3,1.017979253,976,30,1018,12,96.92585895
1,0,0,32,1,1,0,898,0,1,0,100
1,2,0,2,1,1,0,155,0,6,0,100
6,334,3,7,1,3,2.010706158,524,24,1664,17,96.58703072
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
2,116,2,1,1,2,0.992266639,0,8,421,8,98.14814815
2,1,0,8,1,1,0.970950594,208,0,17,0,100
0,0,0,0,0,0,0,0,0,0,0,100
0,0,0,0,0,0,0,0,0,0,0,100
10,1053,10,5,1,2,3.16305332,0,94,4550,68,95.93908629
0,0,0,0,0,0,0,0,0,0,0,100
9,182,1,33,1,6,2.827344862,3314,21,1046,14,99.67213115
4,19,0,30,1,4,1.515272249,1125,1,140,1,100
7,10,0,25,1,4,1.769104212,1613,4,95,5,100
2,37,1,20,1,2,0.534943699,488,4,102,2,96.32587859
