NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,147,9,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,10,7,3,17,0,0,0,2,4,1,1,0.322756959,175,1,32,2,18,17,1,707,682,25,15,15,0,1,100.0,NoArch
2,4,4,0,8,0,0,0,3,316,1,2,1.0,1099,2,277,5,104,104,0,3407,3407,0,43,43,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,35,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,47,1,46,48,0,0,0,58,834,1,3,1.109534908,1060,4,421,5,197,193,4,5773,5444,329,64,62,2,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,106,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,52,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,0,1,1,1,0,0,0,17,129,1,1,0.0,145,3,65,5,16,16,0,629,635,6,8,8,0,1,100.0,NoArch
1,21,0,21,21,0,0,0,22,0,1,1,0.0,142,4,15,13,30,0,30,793,0,793,19,0,19,0,100.0,NoArch
3,101,29,72,130,0,0,0,101,12,1,1,1.114729977,2524,11,10,8,614,605,9,14625,14303,322,268,263,5,1,99.8982706,NoArch
3,101,29,72,130,0,0,0,101,12,1,1,1.114729977,2524,11,10,8,614,605,9,14625,14303,322,268,263,5,1,99.8982706,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,13,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
