CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
106,95,11,3294,2991,303,30,26,4
0,0,0,0,0,0,0,0,0
129,129,0,2864,2863,1,30,30,0
793,733,60,23546,23257,289,310,278,32
1517,1517,0,44391,44397,6,660,660,0
0,0,0,0,0,0,0,0,0
334,336,2,15831,15966,135,132,135,3
0,0,0,0,0,0,0,0,0
138,82,56,7688,5144,2544,85,47,38
0,0,0,0,0,0,0,0,0
45,45,0,1651,1651,0,35,35,0
72,66,6,1882,1820,62,16,15,1
435,438,3,11982,11818,164,194,199,5
111,90,21,3720,2604,1116,66,49,17
92,88,4,3682,2734,948,37,33,4
57,51,6,1808,1427,381,32,30,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
75,72,3,1964,1882,82,16,16,0
12,12,0,238,238,0,10,10,0
167,146,21,6056,5124,932,71,54,17
267,265,2,6445,6416,29,131,131,0
0,0,0,0,0,0,0,0,0
74,0,74,2409,0,2409,23,0,23
725,685,40,21578,20064,1514,254,232,22
0,0,0,0,0,0,0,0,0
434,430,4,10975,10655,320,178,171,7
0,0,0,0,0,0,0,0,0
12,12,0,708,708,0,9,9,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1873,2176,303,62115,73068,10953,793,952,159
118,112,6,3275,3184,91,27,27,0
805,807,2,31496,31637,141,371,373,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
27,23,4,839,810,29,11,11,0
369,365,4,9400,9329,71,137,135,2
127,115,12,4325,3665,660,50,41,9
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
105,95,10,2682,2290,392,24,20,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
97,84,13,3844,3301,543,54,47,7
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
530,522,8,13709,13273,436,204,199,5
254,250,4,7039,6901,138,138,137,1
304,315,11,10050,9970,80,129,126,3
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
325,325,0,8183,8032,151,158,157,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
12,6,6,521,212,309,4,3,1
0,0,0,0,0,0,0,0,0
111,105,6,3334,2778,556,32,27,5
175,175,0,4365,4365,0,36,36,0
31,31,0,1785,1758,27,24,24,0
630,516,114,16708,13276,3432,240,175,65
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
119,113,6,3412,3192,220,30,26,4
310,305,5,7649,7563,86,151,149,2
0,0,0,0,0,0,0,0,0
270,251,19,8516,7967,549,101,94,7
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
274,254,20,7652,7012,640,145,139,6
0,0,0,0,0,0,0,0,0
170,179,9,5595,5771,176,72,86,14
396,389,7,10836,10629,207,130,127,3
397,382,15,11731,11230,501,153,146,7
277,274,3,7758,7652,106,147,145,2
262,252,10,8111,7566,545,92,90,2
110,113,3,3188,3381,193,34,34,0
278,277,1,7889,7758,131,148,147,1
0,0,0,0,0,0,0,0,0
102,102,0,3103,3117,14,26,26,0
117,117,0,3272,3251,21,30,30,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
131,81,50,5516,2489,3027,65,35,30
175,162,13,7549,7820,271,89,82,7
79,77,2,3886,3810,76,38,36,2
147,143,4,5570,5342,228,63,63,0
283,253,30,7117,6099,1018,134,122,12
245,245,0,5740,5741,1,119,119,0
19,19,0,675,669,6,9,9,0
110,86,24,4271,2607,1664,54,37,17
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
8,0,8,421,0,421,8,0,8
26,26,0,902,885,17,14,14,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
94,0,94,4550,0,4550,68,0,68
0,0,0,0,0,0,0,0,0
759,738,21,21917,20871,1046,307,293,14
206,207,1,6725,6585,140,86,87,1
385,381,4,9971,9876,95,134,129,5
168,164,4,3519,3417,102,51,49,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
279,279,0,12943,12764,179,169,169,0
0,0,0,0,0,0,0,0,0
2782,2782,0,98473,98473,0,1297,1297,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
247,247,0,5850,5850,0,122,122,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
24,24,0,1150,1149,1,9,9,0
53,52,1,2456,2418,38,30,29,1
38,38,0,2919,2604,315,32,32,0
137,135,2,4448,4320,128,42,41,1
0,0,0,0,0,0,0,0,0
79,50,29,2425,1149,1276,45,29,16
182,179,3,6393,6202,191,112,111,1
437,432,5,12982,12909,73,204,200,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
433,441,8,13311,13575,264,203,208,5
0,0,0,0,0,0,0,0,0
144,137,7,4572,4404,168,86,84,2
443,436,7,13148,12978,170,206,201,5
0,0,0,0,0,0,0,0,0
35,35,0,2171,2129,42,21,21,0
105,81,24,3922,2996,926,72,57,15
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
172,168,4,3646,3519,127,53,51,2
216,211,5,6819,6604,215,94,90,4
22,19,3,969,877,92,8,7,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
419,414,5,11800,11692,108,190,186,4
0,0,0,0,0,0,0,0,0
149,101,48,7002,4465,2537,88,54,34
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
48,47,1,1667,1649,18,29,28,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
49,48,1,1329,1288,41,29,29,0
104,101,3,3631,3609,22,79,78,1
3,0,3,174,0,174,3,0,3
79,79,0,2254,2246,8,36,36,0
68,64,4,3494,3175,319,49,45,4
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
187,185,2,4586,4553,33,65,64,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
93,91,2,2921,2883,38,37,36,1
249,217,32,7992,6837,1155,103,95,8
133,124,9,5949,5732,217,75,74,1
195,195,0,6227,6208,19,72,72,0
102,102,0,3081,2929,152,15,15,0
247,246,1,7365,7301,64,41,41,0
296,289,7,9611,8845,766,161,158,3
533,543,10,12743,12941,198,161,158,3
175,173,2,3824,3730,94,55,54,1
654,684,30,18499,18860,361,293,280,13
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
21,18,3,539,404,135,11,9,2
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
57,57,0,2201,2191,10,33,33,0
298,297,1,9661,9643,18,162,162,0
29,23,6,2097,1662,435,16,15,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
31,32,1,931,942,11,13,13,0
0,0,0,0,0,0,0,0,0
1234,1203,31,35331,34978,353,491,464,27
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,233,0,233,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
986,796,190,38787,32118,6669,445,354,91
0,0,0,0,0,0,0,0,0
166,116,50,5866,4040,1826,88,69,19
0,0,0,0,0,0,0,0,0
28,28,0,1436,1436,0,12,12,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2281,3225,944,76779,116845,40066,1012,1563,551
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
104,0,104,5198,0,5198,64,0,64
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
116,115,1,3686,3602,84,46,45,1
18,18,0,1047,985,62,10,10,0
48,48,0,1818,1839,21,29,29,0
0,0,0,0,0,0,0,0,0
