@relation 'SampleData-weka.filters.unsupervised.attribute.Remove-R1-6,9-10,12-13,15-16,18-19,22'

@attribute JavaFileNum numeric
@attribute TotalChangedLines numeric
@attribute FileChangedNum numeric
@attribute changedComplexity numeric
@attribute changedToken numeric
@attribute ChangedMethodNum numeric
@attribute A2A numeric

@data
0,0,0,0,0,0,100
11,31,1,2,31,2,99.839936
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
3,24,1,3,209,1,99.913867
19,325,2,34,1872,27,99.79992
3,54,0,0,0,0,100
1,7,0,0,23,0,100
0,0,0,0,0,0,100
7,45,0,0,3,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
13,794,4,95,3926,55,98.012719
1,0,0,0,0,0,100
0,0,0,0,0,0,100
3,534,1,79,2672,43,99.89197
7,669,4,87,3551,32,99.310345
0,0,0,0,0,0,100
0,0,0,0,0,0,100
3,6,0,0,104,0,100
0,0,0,0,0,0,100
25,395,2,41,2354,33,99.79992
1,0,0,0,2,0,100
0,0,0,0,0,0,100
8,12,0,0,48,1,99.92224
2,15,0,2,82,1,100
0,0,0,0,0,0,100
21,282,0,37,1923,14,99.913941
11,31,1,2,31,2,99.839936
0,0,0,0,0,0,100
15,454,2,73,2550,23,99.853501
7,26,0,0,205,0,100
0,0,0,0,0,0,100
2,16,0,2,28,2,100
4,121,1,8,538,5,99.91942
0,0,0,0,0,0,100
2,67,0,4,603,1,99.957519
6,108,0,6,385,6,100
1,18,0,2,107,1,100
0,0,0,0,0,0,100
2,39,0,7,287,3,100
11,31,1,2,31,2,99.839936
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
22,325,2,34,1872,27,99.79992
0,0,0,0,0,0,100
0,0,0,0,0,0,100
6,0,0,0,8,0,100
0,0,0,0,0,0,100
3,168,0,14,599,8,99.964003
0,0,0,0,0,0,100
0,0,0,0,0,0,100
1,2,0,0,46,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
3,488,2,56,2790,44,99.79018
0,0,0,0,0,0,100
517,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
1,1,0,0,0,0,100
0,0,0,0,0,0,100
4,3,0,0,15,0,99.599359
22,325,2,34,1872,27,99.79992
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
2,38,0,4,291,1,100
0,0,0,0,0,0,100
5,25,0,4,137,2,99.586093
1,0,0,0,1,0,100
0,0,0,0,0,0,100
20,299,0,37,1923,14,99.913941
0,0,0,0,0,0,100
19,325,2,34,1872,27,99.79992
0,0,0,0,0,0,100
4,111,1,8,515,8,99.830293
0,0,0,0,0,0,100
0,0,0,0,0,0,100
18,1637,3,189,8907,131,99.37719
4,45,0,6,306,3,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
2,20,0,1,201,1,100
4,0,0,0,41,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
37,1817,10,123,10415,65,98.552523
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
2,18,0,2,89,1,100
628,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
8,50,0,6,198,0,100
0,0,0,0,0,0,100
1,0,0,0,12,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
9,1149,9,121,5766,72,98.959136
1,0,0,0,2,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
4,16,0,3,107,0,100
1,11,0,6,62,1,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
4,73,0,0,0,0,100
1,58,0,22,521,0,100
0,0,0,0,0,0,100
4,31,0,0,255,0,100
2,7,0,0,0,0,100
1,21,0,3,122,1,100
27,395,2,41,2358,33,99.845536
5,44,0,8,358,3,99.765442
2,73,0,11,413,11,99.92126
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
25,1,0,2,144,0,100
4,0,0,0,8,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
3,158,0,25,1672,15,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
2,25,0,0,146,1,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
3,2,0,0,20,0,100
25,395,2,41,2354,33,99.79992
0,0,0,0,0,0,100
0,0,0,0,0,0,100
2,4,0,0,0,0,100
2,184,2,3,1056,3,98.804632
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
9,2,0,3,176,4,99.760766
0,0,0,0,0,0,100
0,0,0,0,0,0,100
0,0,0,0,0,0,100
2,57,0,9,398,1,99.923839
0,0,0,0,0,0,100
11,274,4,32,1590,26,99.599359
1,15,0,0,32,0,100
0,0,0,0,0,0,100
3,16,0,2,110,2,100
