BeforeFilesDeps,AfterFilesDeps,ChangedFileDeps,BeforeCommitDeps,AfterCommitDeps,ChangedDeps,JavaFileNum,TotalChangedLines,FileAddNum,FileDeleteNum,FileChangedNum,CommitComplexity,LastCommitComplexity,changedComplexity,CommitTokenCount,LastCommitTokenCount,changedToken,CommitMethodNum,LastCommitMethodNum,ChangedMethodNum,A2A,Tag
0,0,0,3613,3613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
709,707,2,39732,39721,11,11,31,0,1,1,1555,1557,2,49597,49628,31,689,691,2,99.83993597,NoArchChanged
0,0,0,2864,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
0,0,0,3152,3152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
0,0,0,3571,3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
35,38,3,9003,9009,6,3,24,1,0,1,353,350,3,10305,10096,209,286,285,1,99.91386736,NoArchChanged
1059,1043,16,68742,68609,133,19,325,0,2,2,1813,1847,34,61267,63139,1872,845,872,27,99.79991997,NoArchChanged
29,29,0,5649,5649,0,3,54,0,0,0,39,39,0,1623,1623,0,26,26,0,100.0,NoArchChanged
13,13,0,1069,1069,0,1,7,0,0,0,107,107,0,2677,2654,23,25,25,0,100.0,NoArchChanged
0,0,0,2864,2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
451,451,0,25144,25144,0,7,45,0,0,0,896,896,0,25565,25562,3,304,304,0,100.0,NoArchChanged
0,0,0,3236,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
0,0,0,1884,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
92,152,60,13897,14248,351,13,794,4,0,4,263,168,95,11388,7462,3926,111,56,55,98.0127186,NoArchChanged
57,57,0,3631,3631,0,1,0,0,0,0,43,43,0,1289,1289,0,23,23,0,100.0,NoArchChanged
0,0,0,2995,2995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
8,30,22,10824,10890,66,3,534,1,0,1,113,34,79,4494,1822,2672,60,17,43,99.89196975,NoArchChanged
94,84,10,11018,10983,35,7,669,0,4,4,318,405,87,10436,13987,3551,106,138,32,99.31034483,NoArchChanged
0,0,0,3612,3612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
0,0,0,2842,2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
84,84,0,8982,8982,0,3,6,0,0,0,195,195,0,6775,6671,104,127,127,0,100.0,NoArchChanged
0,0,0,3101,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
1143,1161,18,90275,90500,225,25,395,2,0,2,2120,2079,41,72521,70167,2354,1005,972,33,99.79991997,NoArchChanged
141,141,0,2994,2994,0,1,0,0,0,0,315,315,0,7122,7120,2,96,96,0,100.0,NoArchChanged
0,0,0,450,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
217,209,8,8848,8816,32,8,12,0,0,0,587,587,0,17389,17437,48,212,211,1,99.9222395,NoArchChanged
31,31,0,1660,1660,0,2,15,0,0,0,179,177,2,6665,6583,82,72,71,1,100.0,NoArchChanged
0,0,0,3236,3236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
752,750,2,63084,63063,21,21,282,0,0,0,1309,1272,37,42764,40841,1923,604,590,14,99.91394148,NoArchChanged
707,709,2,39721,39732,11,11,31,1,0,1,1557,1555,2,49628,49597,31,691,689,2,99.83993597,NoArchChanged
0,0,0,3577,3577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
474,497,23,40845,41010,165,15,454,2,0,2,945,872,73,40130,37580,2550,425,402,23,99.85350132,NoArchChanged
528,528,0,25277,25277,0,7,26,0,0,0,1001,1001,0,32228,32433,205,405,405,0,100.0,NoArchChanged
0,0,0,3621,3621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArchChanged
