@relation 'TestData-weka.filters.unsupervised.attribute.Remove-R1-6,9-10,13'

@attribute JavaFileNum numeric
@attribute TotalChangedLines numeric
@attribute FileChangedNum numeric
@attribute A2A numeric

@data
2,1,0,?
0,0,0,?
79,1284,6,?
2,1,0,?
0,0,0,?
2,2,0,?
75,1283,6,?
75,1283,6,?
75,1283,6,?
0,0,0,?
1,1,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
3,0,0,?
1,1,0,?
0,0,0,?
1,4,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,11,0,?
1,2,0,?
2,40,1,?
4,14,0,?
1,8,0,?
2,25,0,?
2,18,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,3,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
3,168,0,?
0,0,0,?
2,10,0,?
0,0,0,?
0,0,0,?
1,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
2,36,0,?
6,45,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
2,20,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,1,0,?
0,0,0,?
0,0,0,?
0,0,0,?
6,58,2,?
2,18,0,?
1,4,0,?
3,534,1,?
6,2,0,?
2,3,0,?
0,0,0,?
0,0,0,?
1,16,0,?
0,0,0,?
3,158,0,?
1,0,0,?
1,24,0,?
1,0,0,?
1,17,0,?
1,4,0,?
0,0,0,?
4,2,0,?
0,0,0,?
26,60,0,?
3,27,0,?
1,18,0,?
0,0,0,?
0,0,0,?
0,0,0,?
9,20,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,0,0,?
3,189,2,?
21,24,0,?
0,0,0,?
0,0,0,?
0,0,0,?
1,28,0,?
0,0,0,?
0,0,0,?
4,45,0,?
1,1,0,?
0,0,0,?
1,8,0,?
12,153,2,?
0,0,0,?
3,47,0,?
2,29,0,?
2,3,0,?
9,312,4,?
2,16,0,?
1,3,0,?
1,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
2,239,1,?
0,0,0,?
1,1,0,?
1,1,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
2,0,0,?
1,52,1,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
0,0,0,?
