BeforeFilesDeps,AfterFilesDeps,ChangedFileDeps,BeforeCommitDeps,AfterCommitDeps,ChangedDeps,JavaFileNum,TotalChangedLines,FileAddNum,FileDeleteNum,FileChangedNum,A2A,Tag
27,27,0,7212,7212,0,2,1,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
1899,1996,97,284874,287639,2765,79,1284,4,2,6,92.67100977,ArchChanged
27,27,0,7282,7282,0,2,1,0,0,0,100,NoArchChanged
0,0,0,3642,3642,0,0,0,0,0,0,100,NoArchChanged
130,130,0,7282,7282,0,2,2,0,0,0,100,NoArchChanged
1839,1742,97,273075,270450,2625,75,1283,2,4,6,92.67100977,ArchChanged
1742,1839,97,270450,273075,2625,75,1283,4,2,6,92.67100977,ArchChanged
1839,1742,97,273075,270450,2625,75,1283,2,4,6,92.67100977,ArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
16,16,0,3606,3606,0,1,1,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
53,53,0,10818,10818,0,3,0,0,0,0,100,NoArchChanged
25,25,0,3606,3606,0,1,1,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
86,86,0,3606,3606,0,1,4,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
98,98,0,3606,3606,0,1,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3607,3607,0,0,0,0,0,0,100,NoArchChanged
16,16,0,3606,3606,0,1,11,0,0,0,100,NoArchChanged
19,19,0,3606,3606,0,1,2,0,0,0,100,NoArchChanged
19,21,2,7212,7214,2,2,40,1,0,1,99.89193084,NoArchChanged
274,274,0,14428,14428,0,4,14,0,0,0,100,NoArchChanged
54,54,0,3607,3607,0,1,8,0,0,0,100,NoArchChanged
28,28,0,7214,7214,0,2,25,0,0,0,100,NoArchChanged
65,65,0,7214,7214,0,2,18,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
64,64,0,3607,3607,0,1,3,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
34,34,0,3607,3607,0,1,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3608,3608,0,0,0,0,0,0,100,NoArchChanged
97,100,3,10821,10824,3,3,168,0,0,0,99.96400288,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
16,16,0,7216,7216,0,2,10,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
6,6,0,3608,3608,0,1,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
391,391,0,7216,7216,0,2,36,0,0,0,100,NoArchChanged
83,83,0,21648,21648,0,6,45,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
0,0,0,3609,3609,0,0,0,0,0,0,100,NoArchChanged
