CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
4418d0b9f0aa074bc297df8e82f6940bddbb53d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,0,0,100,NoArch
55e25ed90aff08736a3871ff484d08de8348feda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,0,0,0,0,0,0,0,0,0,100,NoArch
248987badd2efb255495c2afaa2101d2bc72cd0f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,5,0,0,0,0,0,0,0,0,0,0,100,NoArch
f22ecfa54958c7d812c50720dd1ef1bfb7f943b5,1,12,2,10,0,0,0,3,6,118,1,1,0,110,11,4,9,8,1,564,533,31,3,2,1,1,100,NoArch
d1c72b80c67814f670a3d87580f44f913c4eb0e5,5,57,7,50,1,0,1,1,26,31,2,5,1.375165176,2897,14,1,312,310,2,17104,16938,166,149,148,1,1,99.91360691,NoArch
7dd2142065f0348fe9ce89974b4a5751330452e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,5,0,0,0,0,0,0,0,0,0,1,100,NoArch
05e099f3986e7e52c6213e26e9e9d8044987e9f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1274,6,0,0,0,0,0,0,0,0,0,1,100,NoArch
bb333e20519ae6299a8adf235dc1bcc82a1cb9a2,10,30,15,15,0,0,0,9,67,431,3,6,2.957448599,10182,1275,7,905,905,0,41623,41609,14,594,594,0,1,100,NoArch
10830827e9360b7e181fb20993275927469a7d0d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,8,0,0,0,0,0,0,0,0,0,1,100,NoArch
80bbb5bf2a53612be6bf2e6f086141e84c5e9a61,1,3,3,0,0,0,0,1,8,647,1,1,0,600,1277,7,68,68,0,3156,3154,2,27,27,0,1,100,NoArch
19a67e1de28dcb7576589222f79c804a3b81975c,16,203,37,166,1,0,1,2,68,305,1,7,3.162259217,22733,1278,8,2394,2362,32,101203,100469,734,1059,1051,8,1,99.23164485,NoArch
c7809245478a74b3e574f2899589d83dfb27817f,2,75,12,63,0,0,0,10,69,24,1,2,0.157906374,7781,0,0,527,523,4,33194,32792,402,397,394,3,1,100,NoArch
8cd8ad9259bbab48b8794e6033eafddc2d611698,2,4,4,0,0,0,0,2,6,513,1,2,0.811278124,96,1279,9,0,0,0,50,50,0,0,0,0,1,100,NoArch
737846ee992cbeb6513075fdda5d99b42b6cf515,1,5,6,1,0,0,0,4,20,9,1,1,0,4506,0,0,648,648,0,20320,20336,16,174,174,0,1,100,NoArch
4e61eae560f5e2e46ca96a1002522cd1a3317a4e,1,41,0,41,0,0,0,5,27,81,1,1,0,1446,1280,10,181,175,6,3880,3731,149,175,169,6,1,100,NoArch
16478ee19e53bd20c249170de2a5e7e83a68b1d3,5,1130,1031,99,2,0,2,1,70,59,1,2,1.536949253,8565,1281,9,546,544,2,37665,37130,535,415,413,2,0,93.21990533,Arch
3e7efce6e9eafd1c3fcaaac5ce9b1c2e483e8446,4,105,0,105,0,0,0,1,12,309,1,4,1.868140431,2553,1282,10,490,464,26,12939,12253,686,296,283,13,1,96.11226133,Arch
f155666156c26fa43e4191af43ad99a779aad5b0,2,54,2,52,0,0,0,4,19,59,1,2,0.371232327,3467,12,1,437,436,1,16705,16529,176,232,231,1,1,100,NoArch
33f737ea4fe2bc84b5df7c9df024359c9d1178d2,7,143,1,142,1,0,1,8,44,219,1,3,1.583021775,4144,5,0,326,308,18,18224,17611,613,240,231,9,1,99.96615523,NoArch
3e49bc4384ae51732f8b3589c4a0db77001f1890,1,11,7,4,0,0,0,2,2,0,1,1,0,97,39,0,16,16,0,468,482,14,8,7,1,1,100,NoArch
d3c5acd3a95e1926e0985e99a2d802a60e096b32,2,61,0,61,0,0,0,5,19,91,1,2,0.120681014,3049,13,0,336,335,1,14089,13772,317,132,131,1,1,100,NoArch
24b074715c2663d78c0b2a2d42e0711c733b1f40,14,510,138,372,0,0,0,8,45,202,1,5,2.970241367,10916,1283,3,1177,1083,94,47460,45470,1990,655,614,41,1,99.96615905,NoArch
