NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
2,29,2,27,0,0,0,5,5,656,1,2,0.554778163,304,2,2,32,30,2,1370,1237,133,27,25,2,1,100.0,NoArch
2,17,2,15,0,0,0,51,193,20,1,2,0.74248757,9112,4,1,758,757,1,42368,42316,52,537,536,1,1,100.0,NoArch
1,9,4,5,0,0,0,7,9,142,1,1,0.0,114,0,0,8,6,2,608,553,55,3,3,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,67,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
15,1859,0,1859,15,0,15,1,1,0,1,2,3.624588314,0,0,0,188,0,188,9481,0,9481,99,0,99,1,99.57582185,NoArch
1,6,5,1,0,0,0,1,4,222,1,1,0.0,390,1360,8,53,53,0,1206,1214,8,10,10,0,0,100.0,NoArch
13,128,42,86,0,0,0,1,93,199,1,6,3.351084586,24398,1401,9,1505,1494,11,84023,83603,420,1100,1092,8,1,99.96823044,NoArch
4,43,0,43,0,0,0,64,212,76,1,4,1.185916543,22551,1,0,1218,1215,3,93008,92754,254,859,857,2,1,100.0,NoArch
2,9,1,8,0,0,0,6,29,0,1,2,0.721928095,2775,2,1,338,337,1,12834,12803,31,137,136,1,1,100.0,NoArch
1,27,56,29,0,0,0,2,3,64,1,1,0.0,1122,1784,2,189,193,4,4567,4665,98,84,84,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,252,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
3,471,448,23,1,0,1,1,97,74,1,1,1.263933805,8544,22,0,490,491,1,28897,28638,259,466,466,0,2,99.89206692,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,293,18,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,0,8,8,0,0,0,14,47,56,1,1,0.0,909,8,0,103,104,1,5440,5503,63,57,58,1,1,100.0,NoArch
6,384,4,380,0,0,0,3,55,76,1,5,1.870855227,8883,41,0,1080,998,82,40340,38224,2116,541,521,20,1,100.0,NoArch
1,3,3,0,0,0,0,1,8,647,1,1,0.0,600,1277,7,68,68,0,3156,3154,2,27,27,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1913,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,242,0,242,1,0,1,48,185,4,1,2,0.902393283,6071,0,0,448,432,16,29131,27947,1184,437,429,8,1,99.97405293,NoArch
2,23,44,21,0,0,0,2,109,331,1,2,0.879458774,3284,74,0,715,715,0,16651,16803,152,411,410,1,1,100.0,NoArch
10,254,39,215,0,0,0,22,100,36,1,9,2.928142039,25284,10,0,2642,2613,29,105686,104448,1238,1292,1284,8,1,100.0,NoArch
2,24,10,14,0,0,0,46,151,63,1,2,0.997502546,9458,44,2,1213,1213,0,42142,42139,3,622,621,1,1,100.0,NoArch
21,2150,27,2123,5,0,5,8,65,147,1,6,2.996052311,13421,78,0,1824,1595,229,72305,58930,13375,705,584,121,1,99.88510699,NoArch
2,105,0,105,0,0,0,41,93,25,1,2,0.615766705,4688,0,0,378,370,8,20851,20439,412,291,284,7,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,54,24,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
6,299,3,296,1,0,1,9,180,322,1,5,0.712674431,6978,1751,1,557,512,45,33680,31957,1723,495,486,9,1,99.97643732,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,177,9,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,29,2,27,0,0,0,5,5,656,1,2,0.554778163,304,2,2,32,30,2,1370,1237,133,27,25,2,1,100.0,NoArch
1,8,6,2,0,0,0,3,8,44,1,1,0.0,237,213,5,20,20,0,1159,1127,32,10,10,0,1,100.0,NoArch
5,82,24,58,0,0,0,8,25,55,1,3,1.653389565,1253,37,0,137,128,9,5503,5298,205,37,30,7,1,100.0,NoArch
6,39,24,15,0,0,0,7,98,499,2,3,2.121595577,9313,180,12,526,524,2,32053,31906,147,489,487,2,1,100.0,NoArch
1,37,10,27,0,0,0,14,68,36,1,1,0.0,2965,127,2,328,325,3,14183,14102,81,103,101,2,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,340,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
6,27,9,18,0,0,0,4,33,234,1,4,2.526111893,9533,1312,10,1361,1358,3,44818,44768,50,537,536,1,0,100.0,NoArch
2,31,11,20,0,0,0,10,71,42,1,2,0.973668065,7928,1286,6,571,566,5,35356,35278,78,369,369,0,1,100.0,NoArch
8,46,45,1,0,0,0,4,20,32,1,1,2.984063905,2206,11,1,107,107,0,9843,9701,142,76,76,0,1,100.0,NoArch
3,65,6,59,0,0,0,3,85,81,1,1,0.949029153,8876,1353,9,689,683,6,38404,38174,230,465,461,4,0,100.0,NoArch
2,85,11,74,0,0,0,44,98,8,1,2,0.998747298,4389,0,0,323,319,4,17416,17123,293,284,283,1,1,99.9890495,NoArch
1,0,136,136,0,1,1,3,7,94,1,1,0.0,136,0,0,0,14,14,0,549,549,0,12,12,1,99.9534288,NoArch
9,102,19,83,0,0,0,19,95,364,1,6,2.600414941,13929,0,0,1667,1658,9,62033,61697,336,878,875,3,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1381,11,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
3,32,0,32,0,0,0,43,95,77,1,3,1.247556249,5697,0,0,508,504,4,22439,22256,183,361,359,2,1,99.92088608,NoArch
2,17,11,6,0,0,0,45,117,97,1,2,0.491237342,10097,16,2,492,492,0,34993,34961,32,439,439,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,93,12,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
6,146,28,118,0,0,0,58,154,184,1,5,1.553280862,10831,0,0,1211,1199,12,48838,48373,465,683,676,7,1,100.0,NoArch
