CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDVE,NUC,AGE,NS,ND,Entropy ,LT,EXP,REXP
f7ab2427a5ea4da3f8cbe98a8c3c9d102ab9fe1f,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,187,39
8238b3491f3045813cc62500fc7e66e4923ae777,1,0,4,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/cache/PathChildrenCache.java,0,4,479,0,0,1,7,32,1,1,0,479,188,40
b7bb4d8c754ce91a7a31124f49895a6ee8451de3,6,414,33,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/leader/LeaderSelector.java,82,6,205,2,0,1,16,8,1,3,2.214126053,956,189,41
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/leader/Participant.java,102,0,0,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/InterProcessMutex.java,37,1,165,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/InterProcessSemaphore.java,4,4,284,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/LockInternals.java,22,22,302,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/leader/TestLeaderSelectorParticipants.java,167,0,0,,,,,,,,,,,
d3c0a7f6070520a57106ac76b55bb5ba1f7fde53,3,54,6,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/leader/LeaderSelector.java,43,4,281,0,0,1,8,0,1,2,0.962301987,550,190,42
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/leader/Participant.java,5,0,102,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/leader/TestLeaderSelectorParticipants.java,6,2,167,,,,,,,,,,,
aad7fa35e1336d3a415a33693a8080bf63bc3e5c,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,191,43
5eb1dac6affbf3e239d8cfc1be0f294d01859678,1,31,2,curator-client/src/main/java/com/netflix/curator/utils/TestingCluster.java,31,2,414,0,0,1,2,8,1,1,0,414,192,44
263ff88b487bf75d59d4362233926d4720548711,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,193,45
e9cf5ad6db7ef14d511cedeaccf35ec7d9b22e9d,40,834,743,curator-framework/src/main/java/com/netflix/curator/framework/CuratorFramework.java,12,19,164,6,2,1,17,26,2,15,4.617590111,7169,194,46
,,,,curator-framework/src/main/java/com/netflix/curator/framework/CuratorFrameworkFactory.java,4,2,228,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/api/CuratorListener.java,1,1,35,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/api/CuratorUnhandledErrorListener.java,0,36,36,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/api/UnhandledErrorListener.java,35,0,0,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/imps/Backgrounding.java,1,1,107,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/imps/CuratorFrameworkImpl.java,89,71,570,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/imps/NonNamespaceFacade.java,30,18,170,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/listen/Listenable.java,51,0,0,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/listen/ListenerContainer.java,83,0,0,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/listen/ListenerEntry.java,5,2,36,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/state/ConnectionState.java,44,0,0,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/state/ConnectionStateListener.java,11,15,36,,,,,,,,,,,
,,,,curator-framework/src/main/java/com/netflix/curator/framework/state/ConnectionStateManager.java,168,0,0,,,,,,,,,,,
,,,,curator-framework/src/test/java/com/netflix/curator/framework/imps/TestFramework.java,6,31,562,,,,,,,,,,,
,,,,curator-framework/src/test/java/com/netflix/curator/framework/imps/TestFrameworkEdges.java,12,16,306,,,,,,,,,,,
,,,,curator-framework/src/test/java/com/netflix/curator/framework/imps/TestMultiClient.java,2,12,108,,,,,,,,,,,
,,,,curator-framework/src/test/java/com/netflix/curator/framework/imps/TestWithCluster.java,10,12,82,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/cache/PathChildrenCache.java,87,108,475,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/cache/PathChildrenCacheEvent.java,5,1,75,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/cache/PathChildrenCacheListener.java,1,2,36,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/leader/LeaderSelector.java,8,44,320,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/leader/LeaderSelectorListener.java,2,10,46,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/ClientClosingListener.java,0,33,33,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/InterProcessMultiLock.java,4,16,199,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/InterProcessMutex.java,2,13,201,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/InterProcessSemaphore.java,5,27,284,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/locks/LockInternals.java,6,37,302,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/queue/DistributedQueue.java,2,10,494,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/queue/QueueBuilder.java,4,1,169,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/shared/SharedCount.java,3,2,137,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/shared/SharedCountReader.java,2,24,56,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/shared/SharedValue.java,25,40,224,,,,,,,,,,,
,,,,curator-recipes/src/main/java/com/netflix/curator/framework/recipes/shared/SharedValueReader.java,5,20,56,,,,,,,,,,,
,,,,curator-recipes/src/test/java/com/netflix/curator/framework/recipes/cache/TestPathChildrenCache.java,6,63,264,,,,,,,,,,,
