CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
0a3e8490b64ad8466989726ac6215b357fed3152,1,2,3,1,0,0,0,1,7,0,1,1,0.0,427,539,0,53,53,0,1790,1786,4,20,20,0,0,100.0,NoArch
36ddd58a31045addfd9d984353956f7a99c09221,13,49,742,693,0,11,11,3,10,681,2,3,2.623494003,1315,591,7,51,71,20,3727,6804,3077,29,41,12,0,98.69992973,NoArch
83054b95dbcf4b28c54b728994f39c38815fb8de,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,128,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
e657cf66bc54dec762f0355a56cf3b3504a960d9,1,1,1,0,0,0,0,1,2,0,1,1,0.0,382,494,1,46,46,0,1595,1595,0,18,18,0,0,100.0,NoArch
9450cfde68a2e166ef10a33ac5cc5cde4a855040,3,110,89,21,1,1,2,1,7,194,1,2,1.113690277,352,252,31,33,44,11,1190,1197,7,28,39,11,0,99.62686567,NoArch
3573df1ed5fe2d376e134b02fb188ee6f68a63c3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,919,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
e657cf66bc54dec762f0355a56cf3b3504a960d9,1,1,1,0,0,0,0,1,2,0,1,1,0.0,382,494,1,46,46,0,1595,1595,0,18,18,0,0,100.0,NoArch
b9ef74c8234e9a5d33b18f0c2b540a0a3a43e983,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,154,11,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
4194c07aa72c2c05f1c11cabc1af25e0c5c3fedd,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,997,89,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
6341a64a4bdf5d5577a36153f32a8bb60d059a84,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,317,61,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
6e9fa2a4bac892c42ed85d1af658c5aff41ffbed,11,677,290,387,2,0,2,1,23,0,1,3,2.492213615,19823,272,53,3990,3921,69,118599,116574,2025,1935,1896,39,0,99.38016529,NoArch
e0d52ed35a6016ef317185a72d29310d1fad690e,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,964,38,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
