b5509908c6d293c94e3c1ba576ce26cef3539c96,CXF-2205,Bug,Aegis databinding always trims strings,Aegis Databinding,Major,1
4707cc5df669b50fa85abdddcc73ca8c44fac567,/,/,    Remove unuseds SuppressWarnings,/,/,0
a3a05d25df6ca5ccf8a28fb7b6e916d0078a9abd,/,/,    JAX-RS : adding JAXB-based XSLT provider,/,/,0
af324cf96338bff39079681c89e60b957b117c9a,/,/,    Update jetty version  add a test.,/,/,0
ac424623dfdc6af38cac2f484ac13ce9cf720f8e,/,/,    JAXRS: support for parameter extensions on the client side,/,/,0
6bbd530255bba3f68deeae45eaadc6a5a0a0104e,/,/,    JAXRS: support for custom invokers injected from Spring,/,/,0
2a563cefc03bf1002e6b26f4ea9b3eb257f4fb4d,/,/,    JAXRS : retaining schemeSpecificPart in UriBuilderImpl.clone,/,/,0
5a13e4cf755ecd88e645a9c59681f3f334f00865,/,/,    JAXRS: updating UriBuilderImpl to support opaque URIs,/,/,0
43728e861d5436375bb955bd35aafd12acb5e350,/,/,    JAXRS: Implementing ResponseBuilder.variants() plus various minor updates,/,/,0
9923736f48f78103091601ec6b864f0edee27a28,/,/,    Fixing the test failure,/,/,0
a2bc9ca42a9b5cc7209c9e20ea9d43d8a8d3e12d,/,/,    JAXRS HttpHeadersImpl updates (Locale construction  sorting media types)  adding Content-Type to Message headers,/,/,0
fdd0f53a2411791b11c555f62f540ce791076551,/,/,    JAXRS: minor updates to Cookie and ETag handlers,/,/,0
77f1b7a28b294f1063eac4f53c4ae099532e4eb8,/,/,    Adding PGP key for eglynn,/,/,0
96aab5137d88eb19f9bd64fd9c7ca4736103f19d,/,/,    JAXRS: no need for MethodDispatcher to use ConcurrentHashMap,/,/,0
e2f7b4dad6f9c873226ec8bcbe2a2ecb877c9504,/,/,    JAXRS: support for multiple matrix params in the last segment,/,/,0
9574076fb5c1faed08eed7c472dfddb1f89f6d05,/,/,    JAXRS: minor update for DefaultValue for CookieParams be picked up  given that HttpHeaders never returns null,/,/,0
f991560c7cd27874dcf3f273d745369f4c622f96,/,/,    Opensaml is in central now,/,/,0
