CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
fea5840c49c196a1b6dbb6e22da28d7de09071b6,1,0,1,1,1,0,0,0,5,0,1,1,0,658,1,195,38,102,102,0,4259,4265,6,33,33,0,0,100,NoArch
59d0569757d702eb483edc7b603bdc421b9e9506,7,131,0,131,131,1,0,1,7,217,3,5,0.909910321,852,1,196,39,150,143,7,5500,4499,1001,46,41,5,0,99.33732489,NoArch
ad295e28ee8989ba7a90f8f815eb05440068ecec,8,551,551,0,1102,0,0,0,4,107,3,6,2.871725283,551,2,197,40,32,32,0,1925,1925,0,21,21,0,0,100,NoArch
c6a3da46300a10a888deea7b0c20bd1fe78f0fa3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
9ada8b0eb97a52ff0fff5ec15642ce3cba9cf3c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,41,0,0,0,0,0,0,0,0,0,0,100,NoArch
f78cbfdb63fe5c8c3508b1073ba50fdcf0856925,5,92,29,63,121,0,0,0,3,317,1,4,1.949774049,983,1,199,42,87,80,7,6667,6248,419,51,46,5,1,100,NoArch
b503b7dcab2f444e479786c5b0328d08b8b5d976,1,3,0,3,3,0,0,0,5,83,1,1,0,650,1,200,42,134,133,1,4041,4018,23,30,30,0,1,100,NoArch
53c95f98d8a3143e3090b91bb8f6e592fe92643f,40,413,335,78,748,3,0,3,6,221,5,27,4.233788257,5431,1,201,42,564,558,6,27727,27624,103,236,228,8,0,99.95336365,NoArch
2549c3153d5583d80031d83c8d17a06f37a05075,1,1,0,1,1,0,0,0,4,27,1,1,0,432,3,8,1,57,57,0,2060,2042,18,30,30,0,1,100,NoArch
e212736195d6e6d92d4adc30ffd4972d588ce209,6,7,288,281,295,0,3,3,8,252,2,3,1.909416069,1165,2,202,36,146,190,44,4356,5568,1212,13,22,9,1,99.95336093,NoArch
