CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a
d3c58b64287b73ff9613e53e293d4a0989389cb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0,0,0,0,1,100
fe2f0557130b21aca203ced11bd6990322847b97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,1,100
fcc82dce6aff8fee30ce8a5ada3c6167aef1462f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,100
afd4b0d772f35f902a7acf81039abcc47b983d1f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,100
2552a2488f2674e2fc3abea02272e85ff13a3ee4,2,85,31,54,0,0,0,3,3,540,1,1,0.682334886,192,50,1,21,16,5,1360,1056,304,10,10,0,1,100
345bc7bad594af43df5fc264ad0b5904d1126257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,0,0,0,0,0,0,0,0,0,1,100
a888a9d09e4fc219ab9d8536034ac043093f17df,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,0,0,0,0,0,0,0,1,100
6a3c2f2032c5e910f634a29bfead555b63433465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,100
732c27ff3e8bc6d5a9511ee64de275df49adf73f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0,0,0,0,0,0,1,100
0bd3b9c3f6df76043afbdce817d33d7531f1eecd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,0,0,0,0,0,0,0,0,0,1,100
5c4ce616994112a68f8864520c4a2a6c7b545e30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,0,0,0,0,0,0,0,1,100
3e79116e7a7c725cafae1b5248a99837641a4ca2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,0,1,100
2ead8a49ea1c7e634c889e9425fd5eb209e7f1ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,6,0,0,0,0,0,0,0,0,0,0,100
6e1b2ebe3278c99e1b3ea89a47c60497cb964d44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,6,0,0,0,0,0,0,0,0,0,1,100
c28b3a61cce3288d3c0b620d1ef73d936989d3c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,0,0,0,0,0,0,0,0,1,100
ff562472ddf834e092cc2a8124dad59e763017db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
a23d396a5a2f5c8685a404ce8478540c13fac6d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7,0,0,0,0,0,0,0,0,0,0,100
95ee38728cb1d8eb9b62a73eb5ad26902142a1fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,0,0,0,0,0,0,0,0,1,100
7066d1c38b66d4de2d02fc1ef2fa8e7908990d07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,9,0,0,0,0,0,0,0,0,0,1,100
22d80462b15e24fc63960254bdfd8be74ddc14ba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,10,0,0,0,0,0,0,0,0,0,1,100
333966f50ea42ba41ff243d1ba5571a2fa8b9a60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,0,0,0,0,0,0,0,0,0,1,100
7e91c167430afcffd5b700de58bbc54b2149be00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11,0,0,0,0,0,0,0,0,0,1,100
caf310c2283731751926ccf8bd902df01dcb04f4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,12,0,0,0,0,0,0,0,0,0,1,100
d8286aad107dbec34faae9e4e29c65bde20eb6f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,12,0,0,0,0,0,0,0,0,0,1,100
6c34cf2dcc5961703001ab484a1ca6e662eee362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,0,0,0,0,0,0,0,0,0,1,100
ccc464c19a80f9818145c70079e9966fed22d75c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,100
0443e2dd737cada1fed3964dd1cb2b687944f9c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,0,0,0,0,0,0,0,0,0,1,100
624a361e01431bf87ccda883fb9b1817d67cdbf7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6,0,0,0,0,0,0,0,0,0,0,100
74af0deef17bfed19237367cdbee7027666add08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,7,0,0,0,0,0,0,0,0,0,1,100
66d8073156403ce1a8f91b56f27beed93196ae04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,0,0,0,0,0,0,0,0,0,1,100
5e0e0b17fb5a9549fc9860c91384121def8ae695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4,0,0,0,0,0,0,0,0,0,1,100
7b39d7eed1449d993cdec6dca6babea6032dbbc3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,0,0,0,0,0,0,0,0,1,100
e180e68f94d1d50fb9563d273c03d255eb081998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,0,0,0,0,0,0,1,100
2bcc91134316a546322bf59a422bec1934613607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,1,100
ba8fd9f1ee9fc47a1e62ee6f529f7cb272b3c7f3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,0,0,0,0,0,0,0,0,1,100
f8346239d492b22416d9c5d4639ebd5eafdbae92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,1,100
d9441f0066604534a8226ce1809eaf68e5a4ada2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,0,0,0,0,1,100
c0e190cdefabc7c59b11bbe0de843baec78efe3f,17,109,101,8,0,0,0,3,4,627,3,8,3.27782909,1827,77,2,165,165,0,8735,8735,0,79,79,0,1,87.96296296
d97c557202e7f20001d2597d09bcbf0bfc123fa9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,1,100
d6b1de35f6b9cd5370c7812790fea8e61618f461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,1,100
2a59ad76c657e4aad8ee6ca67078f49d2f6017c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,100
f8ce071f3fa0efdad555a82aba9e024e3a7f4f56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,100
16b600d4fd972be697af95398f22f23aa8ad2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,1,100
1af23bb2633c162659ab6fa99020307960f41465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,100
489b09c120992d624fe95ed970b80ec8157131a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100
9a84e408c1dff1f32ea030190987501701a1903f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1,100
21326cb9f29c3514b9533a741b69b90ef6d45038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,0,0,0,0,0,0,0,0,0,1,100
749665e33672b0e96869af787d8a4c78fa681732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,0,0,0,1,100
f2c901bcd422807f5d172a3a2f8aa18ee1b7c701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,3,0,0,0,0,0,0,0,0,0,1,100
