CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
a3228d9f4a43f7a15a68d5b96d36579fa719097f,107,4764,628,4136,38,0,38,2,23,147,2,36,5.76508068,11410,154,16,1893,1515,378,85749,63394,22355,887,686,201,0,95.65813528,Arch
56840d66ec7e29033395f8440f509d469e1d59a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,16,0,0,0,0,0,0,0,0,0,0,100,NoArch
4f0f8e077f67bbc1c33c82d873a6b262ad6785f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,17,0,0,0,0,0,0,0,0,0,0,100,NoArch
3ecf83f6af209815c876494c4b60049e0e96a550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,1,100,NoArch
897e904b75a26ab9578cca5b0c9824121846c028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
f89f04389ca317f9d6c3975b6b0d59d965873662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
5f6b134ab8e79204fef6b05f741bb3ab577b54eb,10,12,11,1,0,0,0,2,15,106,1,6,3.149229762,1609,140,3,146,146,0,6570,6631,61,83,83,0,0,100,NoArch
6b1176dc2e26a7c64fdfd72c7708bfdb97eccc84,7,738,6,732,6,0,6,1,12,39,1,3,2.503070326,328,141,4,124,45,79,5495,1899,3596,47,21,26,1,99.39262473,NoArch
9d613083770a7f28920b6ed65be862c2f7318f24,8,390,36,354,3,0,3,1,12,46,2,6,2.164399436,869,16,0,142,101,41,5867,4181,1686,72,59,13,0,98.79166667,NoArch
0d94cc31bd242cd284a66ed94e0bcc77a0b3eed6,2,266,0,266,1,0,1,1,8,167,1,2,0.473744354,145,142,5,78,31,47,2357,899,1458,25,4,21,0,98.84,NoArch
7f4aade6993e832fd6dcb3a079365014661f5fbe,1,1,1,0,0,0,0,5,13,3,1,1,0,320,9,0,36,36,0,1204,1204,0,21,21,0,0,100,NoArch
55f131e571bdb0128ef22e08054b504e665dc869,1,17,16,1,0,0,0,2,2,284,1,1,0,254,10,1,31,34,3,1209,1265,56,21,22,1,0,100,NoArch
806e42d710befde918c11f5742a7dbd568c782e0,1,2,3,1,0,0,0,1,9,0,1,1,0,172,143,6,39,37,2,1123,1103,20,5,5,0,0,100,NoArch
21ec19b3a86bc6ade4a3433fa22de5573f0ac864,1,12,1,11,0,0,0,2,24,100,1,1,0,423,144,7,60,57,3,2019,1910,109,30,30,0,0,99.84108065,NoArch
b12b3493cceace6f5d04e7d7e801f00a572cae1a,7,19,8,11,0,0,0,2,11,128,2,7,2.397526743,1175,145,8,118,116,2,7746,7710,36,57,56,1,0,100,NoArch
14a5d584243d39f70d3590d699c01956d4a5627c,1,1,27,26,0,0,0,2,3,1,1,1,0,255,11,2,31,31,0,1159,1209,50,21,21,0,0,100,NoArch
92385547a6c26ae57e7a8818c113769584baa20d,1,1,0,1,0,0,0,3,25,0,1,1,0,434,12,3,60,60,0,2032,2019,13,30,30,0,0,100,NoArch
c84f4a16e16a0cdad1d42c0bd01c17192eeb4643,2,2,3,1,0,0,0,1,2,4,1,2,0.970950594,314,17,1,39,39,0,1492,1505,13,11,11,0,0,99.80166601,NoArch
4df33688b9aa49c1b19a4a7a551ec72e40a49b82,2,8,4,4,0,0,0,3,26,0,1,1,1,664,13,4,95,91,4,3223,3191,32,51,51,0,0,100,NoArch
d2aad3a9b0060d387eb97450f06d25f781320b77,1,14,1,13,0,0,0,2,5,140,1,1,0,92,14,5,14,14,0,412,385,27,6,6,0,0,100,NoArch
c7626983d918ee0fe1b6c4adf7142475cf5102c6,5,350,11,339,2,0,2,1,11,52,2,3,1.594815931,1055,18,2,162,115,47,6546,4609,1937,80,67,13,0,98.98125509,NoArch
ff8a5ffa2c97528dcada15b6a4de94eaa90129bb,1,2,4,2,0,0,0,3,11,0,1,1,0,417,19,3,46,46,0,1584,1600,16,26,26,0,0,100,NoArch
bd96a63b8f64a44a1d18c5ffffc36a75af628dac,1,14,10,4,0,0,0,1,2,289,1,1,0,104,146,9,18,16,2,439,366,73,12,11,1,0,99.91603694,NoArch
ab30512333c848befd5c1c8064e190ebb919c0c6,2,3,1,2,0,0,0,3,27,1,1,2,1,545,147,10,80,80,0,2507,2487,20,42,42,0,0,99.83200336,NoArch
c4115cefe758a88503f8a9b4243b621cb288fb6b,1,17,4,13,0,0,0,2,6,3,1,1,0,105,148,11,14,14,0,412,412,0,6,6,0,0,100,NoArch
96bd5a3b13d939a82ba1aaaf2607378129bef3b4,42,54,49,5,0,0,0,3,16,223,2,25,5.293452532,7015,20,4,564,564,0,39502,39179,323,211,211,0,1,100,NoArch
fe501e2b9f2942f1e0751e37f99d8de58d58a2b2,5,20,390,370,0,0,0,2,5,58,2,5,1.42161145,899,149,10,63,115,52,3228,5027,1799,25,61,36,0,99.40978078,NoArch
2bbffd59d897e443a8b9a99d7d97bf9a1310792e,7,117,26,91,0,0,0,2,28,322,1,5,2.670524873,1274,150,11,174,164,10,6631,6151,480,97,90,7,0,100,NoArch
d23cf1a126732a659c16673b7c82c64a5f4f793a,1,8,2,6,0,0,0,2,8,5,1,1,0,190,151,12,18,16,2,1239,1208,31,11,11,0,0,100,NoArch
1b9c5349ee77a32f1b269aef883e7718dc07c1aa,2,14,2,12,0,0,0,3,29,28,1,2,0.988699408,673,152,3,97,96,1,3425,3349,76,45,45,0,0,100,NoArch
369c86fb2bb00026ca8f5feee272c61786776a5f,5,140,11,129,2,0,2,2,15,182,1,2,1.647008963,317,153,4,42,31,11,1659,1263,396,24,16,8,0,99.66230477,NoArch
43b810ea022387cd97b8fc07d68bf00fadd1b08b,3,46,53,7,0,0,0,1,13,318,1,1,1.58190828,641,154,5,100,104,4,3338,3379,41,29,29,0,0,97.54428341,Arch
61bfdee84c3d32af3f389279da56d6a60e3cebdd,1,1,5,4,0,0,0,2,3,312,1,1,0,88,15,0,8,10,2,376,395,19,5,5,0,0,100,NoArch
cdf74895119d5429cd30d5757a2c06e5ccb3ecef,1,1,3,2,0,0,0,2,3,334,1,1,0,256,155,4,40,40,0,1648,1667,19,15,15,0,0,100,NoArch
40ee01bc95f337c5f7eec4ceb423c4c40f14f4f8,2,11,6,5,0,0,0,2,8,54,1,1,0.787126586,221,156,5,13,13,0,1107,1107,0,5,5,0,0,100,NoArch
86a3ccf8cf660e4f9b8669c068474862f6006ee5,2,17,11,6,0,0,0,1,12,187,1,1,0.905928216,480,157,5,70,72,2,2971,3004,33,29,29,0,0,100,NoArch
906d2ecc0749d34fecb393d033ae5a0a9bcb7237,3,12,21,9,0,0,0,2,30,82,1,3,1.095795255,872,158,6,135,138,3,3877,3926,49,62,62,0,0,100,NoArch
4c0f0e04f6d0b10c52c7dc4e9651ce591d1e386e,2,147,0,147,2,0,2,1,1,0,1,2,0.975525951,0,21,0,13,0,13,762,0,762,6,0,6,1,99.80761831,NoArch
18e90285f9b79c1ccbcee9fa9493fa4c99188da3,3,120,18,102,0,0,0,3,15,196,1,2,1.092331702,376,22,1,81,62,19,2721,1976,745,41,36,5,1,100,NoArch
c433d1cd0b58e986466bd26af8ae7c145578ac7e,1,7,4,3,0,0,0,1,7,226,1,1,0,107,159,7,17,15,2,314,302,12,7,7,0,0,100,NoArch
a3d6c426d8c1aacec2321a393dc4bd1794b9952a,1,4,1,3,0,0,0,1,15,230,1,1,0,731,160,5,86,86,0,3188,3180,8,38,38,0,0,100,NoArch
1605504a8dd31e03f048ae33c491daebfc08770b,1,3,0,3,0,0,0,1,16,242,1,1,0,329,161,2,52,51,1,1917,1898,19,13,13,0,0,100,NoArch
766cd3d7e3e19a83075fc95a75eb3e747d0e701f,1,4,3,1,0,0,0,3,31,48,1,1,0,445,162,3,61,61,0,2077,2077,0,30,30,0,0,100,NoArch
b1bb1c7524f67fc699bd14e4618b5447c2cca2fb,4,11,23,12,0,0,0,4,17,149,2,3,1.422658167,879,23,0,87,87,0,5211,5241,30,25,25,0,0,100,NoArch
e9a5145d2277ad1f365870d60dfb081ce08fa986,24,18,30,12,0,0,0,2,15,341,2,15,4.277235419,4367,163,2,502,502,0,22981,23058,77,209,209,0,1,100,NoArch
c24581008b0681c5577519e136329c94323684a4,26,59,59,0,0,0,0,2,16,161,2,8,4.344591043,3732,164,3,377,377,0,18558,18526,32,173,173,0,0,99.46029298,NoArch
05ccf2c38c5eed0460b2cd45cb20f4439aa655d6,1,1,1,0,0,0,0,2,7,4,1,1,0,58,165,4,5,5,0,256,257,1,4,4,0,1,100,NoArch
ffc036cdb90d3e03ce6d2a7c6c83af75903cf17d,1,20,19,1,0,0,0,3,9,258,1,1,0,144,166,5,17,17,0,759,754,5,7,7,0,0,100,NoArch
