NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
2,26,8,18,0,0,0,4,26,90,1,1,0.989992792,924,226,10,103,102,1,3000,2989,11,39,38,1,1,100.0,NoArch
2,138,66,72,0,0,0,4,11,871,1,2,0.282217634,262,121,16,23,23,0,853,854,1,15,15,0,1,100.0,NoArch
42,54,49,5,0,0,0,3,16,223,2,25,5.293452532,7015,20,4,564,564,0,39502,39179,323,211,211,0,1,100.0,NoArch
2,4,1,3,0,0,0,2,10,14,1,1,0.970950594,414,78,27,38,38,0,3271,3207,64,12,12,0,0,100.0,NoArch
1,1,1,0,0,0,0,7,30,0,1,1,0.0,723,63,46,78,78,0,5508,5505,3,27,27,0,0,100.0,NoArch
1,18,0,18,0,0,0,1,2,3,1,1,0.0,276,118,44,28,28,0,1922,1915,7,5,5,0,0,100.0,NoArch
26,874,255,619,1,0,1,5,20,260,3,6,4.175382446,3996,146,0,584,488,96,23073,18849,4224,334,284,50,1,99.96626181,NoArch
1,4,4,0,0,0,0,1,5,383,1,1,0.0,46,199,20,1,1,0,275,275,0,1,1,0,0,100.0,NoArch
43,151,108,43,0,0,0,2,37,60,1,28,4.50193945,7722,355,32,910,914,4,37439,37801,362,383,383,0,0,99.76066144,NoArch
6,342,76,266,1,0,1,1,11,79,2,5,1.82920249,830,65,2,94,72,22,7242,5381,1861,50,36,14,1,98.87744593,NoArch
4,49,19,30,0,0,0,1,9,32,1,4,1.561357799,591,41,11,61,55,6,2893,2646,247,27,25,2,1,100.0,NoArch
5,36,131,95,0,0,0,4,35,76,1,1,2.201397732,1859,841,8,326,350,24,8270,8878,608,161,167,6,1,100.0,NoArch
46,98,91,7,0,0,0,5,79,116,1,27,4.949375565,10615,959,0,1042,1042,0,55183,55229,46,409,409,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,42,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
9,398,280,118,1,1,2,5,26,113,1,2,2.089513858,2209,25,4,147,138,9,10625,9774,851,66,62,4,1,99.88780253,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,219,17,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,78,23,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,836,12,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,37,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,61,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
9,40,12,28,0,0,0,1,8,12,1,2,2.886733953,1324,68,28,152,148,4,5862,5792,70,50,46,4,1,99.86668889,NoArch
1,38,33,5,0,0,0,4,6,7,1,1,0.0,165,46,29,38,38,0,883,912,29,15,15,0,0,100.0,NoArch
3,14,7,7,0,0,0,1,21,362,2,3,1.339664264,900,876,9,117,114,3,5010,4951,59,60,60,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,123,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,42,0,42,1,0,1,1,1,0,1,1,0.0,0,478,8,6,0,6,217,0,217,2,0,2,1,99.89769073,NoArch
1,6,1,5,0,0,0,2,7,5,1,1,0.0,218,341,3,23,22,1,1246,1213,33,8,7,1,0,100.0,NoArch
3,60,116,56,0,0,0,3,10,1680,2,3,1.485749237,562,94,31,49,65,16,2856,3097,241,21,20,1,1,99.91918539,NoArch
1,1,1,0,0,0,0,2,4,45,1,1,0.0,267,27,3,28,28,0,1111,1111,0,12,12,0,0,100.0,NoArch
1,3,1,2,0,0,0,4,18,0,1,1,0.0,274,20,3,15,15,0,1455,1444,11,6,6,0,2,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,293,37,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,12,66,54,0,0,0,1,2,43,1,2,0.73206669,359,59,4,25,30,5,1728,2087,359,9,11,2,1,98.91555813,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,58,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,15,1,14,0,0,0,2,9,583,1,2,1.0,284,61,0,35,35,0,1924,1792,132,17,17,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,73,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,6,6,0,0,0,0,5,15,212,1,1,0.0,166,425,33,13,13,0,1145,1133,12,7,7,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,24,6,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,9,4,5,0,0,0,4,10,15,1,1,0.0,116,387,15,14,14,0,729,708,21,7,7,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,81,9,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2,197,0,197,2,0,2,1,1,0,1,1,0.999089039,0,817,7,20,0,20,930,0,930,15,0,15,0,99.72141319,NoArch
1,8,2,6,0,0,0,2,8,5,1,1,0.0,190,151,12,18,16,2,1239,1208,31,11,11,0,0,100.0,NoArch
2,10,4,6,0,0,0,2,5,0,1,2,0.863120569,215,124,39,21,20,1,1189,1159,30,6,5,1,0,100.0,NoArch
1,125,121,4,0,0,0,7,55,20,1,1,0.0,454,706,17,26,28,2,2388,2649,261,12,12,0,0,100.0,NoArch
1,2,1,1,0,0,0,2,4,16,1,1,0.0,85,25,12,6,6,0,567,560,7,3,3,0,1,100.0,NoArch
3,2,7,5,0,0,0,3,5,33,1,1,0.986426729,420,33,9,51,52,1,2182,2187,5,22,22,0,1,100.0,NoArch
2,66,12,54,0,0,0,2,3,246,1,2,0.73206669,305,0,0,30,25,5,2087,1728,359,11,9,2,0,98.91555813,NoArch
1,12,1,11,0,0,0,2,2,3077,1,1,0.0,147,5,5,12,11,1,581,539,42,8,7,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,148,22,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
