CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a
e96c8dab7eda4abc29f9cf9a0843e90afca1e6ab,1,6,6,0,0,0,0,3,6,119,1,1,0,239,1172,10,25,25,0,1001,1001,0,11,11,0,1,100
57e54dc4c086264f770a4fa414efe06fde7200d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,100
56aae7adbbf569c1463cdb5be7692a9ba5ffe89b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1,0,0,0,0,0,0,0,0,0,0,100
2a5fde5cac7d8168cdc3a2351f9a6e04a909e5c6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,0,0,0,0,0,0,0,0,0,0,100
a9a19a7a62ffb35722716d84d7700e940cb2e0bd,3,202,9,193,1,0,1,1,32,430,1,2,1.464301076,697,1173,11,92,64,28,4187,3425,762,22,15,7,1,99.94764398
33a81408e1dca7c3cf12fc68f7d331368797019b,4,7,7,0,0,0,0,1,7,78,2,3,1.788450457,530,1174,12,44,44,0,1270,1270,0,24,24,0,0,100
99823b034ed33d274d7c68eea1cf54f021388214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,13,0,0,0,0,0,0,0,0,0,0,100
ab39d82dd13203eb48dfc01328aac73b59991be6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,14,0,0,0,0,0,0,0,0,0,0,100
0579e639c2c4ccc8eb1f3c99f69b504c11555cfa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,0,0,0,0,0,0,0,0,0,0,0,100
aea572bd3925afb31f2cae5e05b913d88d1338ca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177,11,0,0,0,0,0,0,0,0,0,0,100
