CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
d3b347338a8fdbf9d039eeb75ae83ae11795ddc3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
89b4de72bd65b4271b68b0a427ef31134b2e0916,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,50,50,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
2caed6218a5ec0a0b7fce2975743331e5ec76c89,1,52,31,21,0,0,0,12,29,14,1,1,0.0,354,12,1,58,55,3,1759,1677,82,15,14,1,1,100.0,NoArch
df3fdc9d5ca51822756923e2106249047b3c04a8,24,3000,0,3000,24,0,24,1,1,0,1,3,4.070045411,0,0,0,299,0,299,11931,0,11931,176,0,176,0,99.07730162,NoArch
8431717af65b233ac71efb38af42024e183e5cf6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,46,6,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
26b35a8ca99af3bbaaa68f40608ea7142d78d2ec,3,105,11,94,0,0,0,14,115,1006,1,3,0.517247337,1479,0,0,210,196,14,6909,6418,491,78,76,2,1,100.0,NoArch
ede86ab4b6711b2f2971220f05c60bcf2f59655e,1,0,0,0,0,0,0,1,1,0,1,1,0.0,131,372,5,11,11,0,606,606,0,2,2,0,1,99.92562291,NoArch
eaf528f2cefcebaaf01c3bf2acbecaef661ce33d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1264,21,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
103a67cbaf85cdb125c8671eec8f10917eaad573,2,40,0,40,0,0,0,1,5,125,1,1,0.848548178,268,973,5,21,18,3,1296,1060,236,11,9,2,1,99.55399809,NoArch
7dcb4c7cdf872e8c4e073a02782925b62828f47a,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1020,6,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0b1c63e328b6ed9a6c8417efdaf3a38129dd2644,1,1,1,0,0,0,0,6,16,0,1,1,0.0,130,118,118,15,15,0,733,733,0,8,8,0,0,100.0,NoArch
c1ee1955703363cd783039d6b603345ed27a88af,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,78,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
580d9beda4d003da9723a228356e8945b5f6c416,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2626,14,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
94af1d99f8917e760f3e5fd08b378468d5060116,1,11,4,7,0,0,0,1,2,0,1,1,0.0,64,381,5,7,5,2,241,214,27,2,2,0,1,100.0,NoArch
51c0399030dcb0b88080a7f9e50c3d09c6913dda,1,29,2,27,0,0,0,16,28,533,1,1,0.0,795,11,0,140,136,4,2735,2625,110,46,45,1,1,100.0,NoArch
bdec668de9c600165bb69c95b6ea0625d9f74fb0,56,4764,155,4609,39,0,39,1,129,521,3,19,5.419511425,7936,90,21,1234,867,367,51161,36547,14614,596,353,243,1,98.20859873,NoArch
9e678193cf3210729f2e70ccc844ebdc1cea2eb2,2,5,2,3,0,0,0,8,115,21,2,2,0.985228136,2108,1224,23,293,293,0,7998,7988,10,128,128,0,2,100.0,NoArch
280b8d3ec5b63e758ac653cfa1db34c2d2f8d326,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,133,5,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
a3787b73072db673feeb6a5fe034009685c509e6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
6ca2a980b8e23a78e47a19bbfdbe03b909bc962d,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,95,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
ceb08cfa77cb552b8315b8ee60846d0584db9488,8,40,17,23,0,0,0,3,150,2983,4,5,2.923551524,3262,114,0,476,470,6,11462,11360,102,234,234,0,0,100.0,NoArch
