0c10d8be5c8ef28c9fade453e93b03d9b413533e,/,/,    Update to Hadoop 0.1.0 release.,/,/
1ec2b4554ed831f69a99b52694573bc096b1ae2b,/,/,    0.7.2 news added,/,/
ba372da378d8b7067e5799445c5023f4f07d2937,/,/,    Add a common Pluggable interface to all Extension Points and a package description for plugin,/,/
7280aa5f13e3c21325b17e81922a340c60f93adb,/,/,    Add some plugins groups in the javadoc,/,/
3fb3f84e62a3bbb536ba0a85ee0dc0347f2227e4,/,/,    DmozParser package name fixed,/,/
08438d51db849e84db78307ad9b8751397993f77,/,/,    Refactor some plugins packages:,/,/
1f2af77496abc0879e09e7adf52ee1b8472736d4,NUTCH-210,Improvement,Context.xml file for Nutch web application,web gui,Minor
5a326cd4e94820cdcae586074bba8f78f12d82f1,/,/,    Skipping post and nofollow outlinks,/,/
928d6739bd7489aedf4efb76d43c33d4168315ca,NUTCH-235,Bug,Duplicate Inlink values,None,Major
a75c525658758134920e8dadd38c9287951d19b3,NUTCH-230,Improvement,OPIC score for outlinks should be based on # of valid links  not total # of links.,None,Minor
3e305c55d3a562b1fadbc441f3ccfb45346e1f96,/,/,    Updated link to jira.,/,/
449ae6a2af59f6ea889996ce5aeee365d34d66ba,NUTCH-228,Bug,Clustering plugin descriptor broken (fix included),None,Minor
ea9eb16576ed00871e573907e2592d960500f32e,/,/,    Lucene upgraded to 1.9.1,/,/
9fd371ca329e1baee2e4a3b3e8558fd71f216679,NUTCH-91,Bug,empty encoding causes exception,None,Major
14c119d8db79e2ccb78006b648033d6aad708cb0,/,/,    Added tutorial for version 0.8,/,/
6b8b7add2863045589e100f6c8d8550a0eb98da4,/,/,    Upgrade to latest version of Hadoop.,/,/
dedac6457c9b875812898c0a7664805ddaa43e84,/,/,    Added mailing list archives and forrest 0.7 compatibility,/,/
8b4cd29a23eb209b0b1973d1d035bbd248c0c5c1,/,/,    Adapts parse-mp3 to nutch APIs changes (metadata  parse  protocol  ...),/,/
998778cdf98335caa88ce27226a1779312e958ab,/,/,    Adapt parse-rtf to nutch APIs changes (metadata  parse  protocol  ...),/,/
9d6a3f1b808a8778f18c53e0a3e8120d1aac104a,/,/,    Fixed JUnit test failing due to changes in www.nutch.org.,/,/
c1fcc22f319ec83407b9d43752836c0b810ae9aa,/,/,    Fix parse-msexcel unit tests,/,/
712191fb5392773d0710ae2087836f39459f30b5,NUTCH-52,Improvement,Parser plugin for MS Excel files,fetcher,Trivial
d6b9755fa599b0036210b38d4a36fe97c7fb106c,NUTCH-209,Improvement,include nutch jar in mapred jobs,None,Minor
085acccad98278fd1187f24be59822f07671e4ad,NUTCH-139,Improvement,Standard metadata property names in the ParseData metadata,fetcher,Minor
105207a94a66cd59b0611c539daa361de03ac9f6,/,/,    removed unused imports,/,/
25437bc825d50715dcc9a289a1b4c8fbbc6aced1,NUTCH-193,Task,move NDFS and MapReduce to a separate project,None,Major
1d47935e78072239bffc39c9436ade75f8e273b6,/,/,    removed unused imports,/,/
b6b05637e2124152b77917985734bfa9e3305af9,/,/,      New MapReduce JobTracker internals.  This fixes,/,/
 ,NUTCH-183
