23182b9ec3ff2a3a3e61c30bad4fc78a30a999c9,/,/,    Pages with only STATUS_DB_GONE were unaccounted for  which caused an NPE.,/,/
b0c8b61b404328de415f57fe468d7d03eb5cae87,NUTCH-244,Bug,Inconsistent handling of property values boundaries / unable to set db.max.outlinks.per.page to infinite,None,Major
2ea95cd34ae2ef1bc173fcf3f7142b5cd3ed7401,/,/,    Fix protocol-level redirect code. Patch by Dennis Kubes.,/,/
0707f4ec39d1af44cfa16f5a276914723dd882b8,/,/,    SelectorInverseMapper needs to implement Mapper  otherwise things break.,/,/
0d585c5d2878932019f08f76485741463a683dc9,/,/,    Correct javadoc.,/,/
5c6b4762fe37fb558c14079a7e93741d2fd062bf,/,/,    Ignore Eclipse .settings file.,/,/
728eeda5481eda68f79f4752a23e5b8469abacb5,/,/,    Use a separate float value for sorting and selecting topN records.,/,/
 ,NUTCH-240,Improvement,Scoring API: extension point  scoring filters and an OPIC plugin,None,Major
2730c37ffee8a23aa8e1cf9432d4553bf0535c2d,/,/,    Remove CC license from templates.  Also remove some old links to nutch.org.,/,/
c73910edd33196e2602fb883fd9aad68ef5b4182,/,/,    no more dump parse-mspowerpoint unit test result to a file for visual checks,/,/
dd01808de3aa42e180261fec7530f3570eb8fb7a,/,/,    Forgot to properly initialize the score.,/,/
30997e890ca75e61dd586ea14a3fe93b58cb1e4a,/,/,    Make sure we use new values for score  metadata  fetch interval,/,/
027c5313bab0f3e82f910129eb48199041fa2a5c,/,/,    Add a -topN option to the reader. This collects the indicated number of,/,/
0c10d8be5c8ef28c9fade453e93b03d9b413533e,/,/,    Update to Hadoop 0.1.0 release.,/,/
f5464800e5827c89265e74056fe75d4e1b256c3e,/,/,    Nutch 0.7.2 release.,/,/
1ec2b4554ed831f69a99b52694573bc096b1ae2b,/,/,    0.7.2 news added,/,/
ba372da378d8b7067e5799445c5023f4f07d2937,/,/,    Add a common Pluggable interface to all Extension Points and a package description for plugin,/,/
cccaaeac5c614101973b7b9dd58827dcd579d88e,/,/,    Add query-basic plugin to javadoc,/,/
b274942cc27cef60b898f87b3a01e1eba3acbeff,/,/,    Fix a bug where TagSoup would sometimes submit invalid index values.,/,/
7280aa5f13e3c21325b17e81922a340c60f93adb,/,/,    Add some plugins groups in the javadoc,/,/
292902a434fac911894b578ba8f5eb41fbb7abc0,/,/,    Updated version numbers for 0.7.2 release,/,/
3fb3f84e62a3bbb536ba0a85ee0dc0347f2227e4,/,/,    DmozParser package name fixed,/,/
08438d51db849e84db78307ad9b8751397993f77,/,/,    Refactor some plugins packages:,/,/
9f3c43b3a06488e5e7dca0e999473456bde6c882,/,/,    parse-rss now depends on new lib-xml plugin,/,/
dd91a83c884a954bd82de7dddededa5a83f320a1,NUTCH-196,Improvement,lib-xml and lib-log4j plugins,None,Major
2f4619faa12117faffe3c14062bceb45ff665b21,/,/,    main method added to RSSParser,/,/
f3797052388c19399959d63d90273a4d94899f7e,/,/,    Fix a bug when there are spaces in CWD  as is common on Windows.,/,/
0558afd94ec7883f20361364a513be2c6758d17e,NUTCH-210,Improvement,Context.xml file for Nutch web application,web gui,Minor
2a9b49f94f9551acb6760af0c2e2d829e2534580,NUTCH-232,Bug,Search.jsp has multiple search forms creating invalid html / incorrect focus function,web gui,Major
11919af89da5b49d19b91c52b9e038eea33e4ec2,NUTCH-210,Improvement,Context.xml file for Nutch web application,web gui,Minor
135861abc47d86841edf9f95a5c53eefce39573b,NUTCH-231,Bug,Invalid CSS entries,web gui,Major
3577e7a47d7bff975f73e9245564684484058b05,NUTCH-231,Bug,Invalid CSS entries,web gui,Major
1f2af77496abc0879e09e7adf52ee1b8472736d4,NUTCH-210,Improvement,Context.xml file for Nutch web application,web gui,Minor
459f74df3bbacacead9753194c944387e8359062,NUTCH-117,Bug,Crawl crashes with java.io.IOException: already exists: C:\nutch\crawl.intranet\oct18\db\webdb.new\pagesByURL,None,Critical
50f738bf48d6db778cfb349ed2e8c6af0ac99906,NUTCH-239,Improvement,I changed httpclient to use javax.net.ssl instead of com.sun.net.ssl,fetcher,Trivial
5a326cd4e94820cdcae586074bba8f78f12d82f1,/,/,    Skipping post and nofollow outlinks,/,/
7d9727f031d8c5d0d0aa91455b9de9e8184319d7,/,/,    Upgrade to latest Hadoop jar.  Add job names to Nutch mapred jobs.  Update OutputFormat implementations to implement new checkOutputSpecs() method.,/,/
5d4e8511c72b3e8b6f7b860406477cce8f748bac,/,/,    Add a toString method to Metadata,/,/
58d355cfa035ae850682efe9019d070d1dae827d,/,/,    Set the configuration of the parser used in the main method to fix NPEs,/,/
37c5ffe04361630c20e287b93f741a0af22e0cb5,/,/,    Add some missing runtime dependencies,/,/
6de6a15db9372c7e6e120a854c3bcd11cd39d6b3,/,/,    Add an automaton urlfilter rules template,/,/
8d211bd5637fb1065dab086d6b0565a07124b39b,/,/,    Add lib-regex-filter and urlfilter-automaton to the list of javadoc packages.,/,/
b9274d5107384abe44133d8833b72ec021cb6243,/,/,    Add an urlfilter based on dk.brics.automaton.,/,/
2448f558bfbfb3cfcbe93536b407fede2d0e7468,/,/,    urlfilter-regex now use the lib-regex-filter framework.,/,/
ed09a6b69dcac0f591f778beda1b696f2fcaf09f,/,/,    Add a mini framework plugin for regex url filter plugins.,/,/
59172d13cf8d69a0cdf825314bd434c56162074c,NUTCH-234,Test,Clustering extension code cleanups and a real JUnit test case for the current implementation.,None,Minor
928d6739bd7489aedf4efb76d43c33d4168315ca,NUTCH-235,Bug,Duplicate Inlink values,None,Major
a8d4bbb2b4c18bfb9faa5b0dcb8598017d8d43df,/,/,    Upgrade to current Hadoop.,/,/
1f1ecb0de9a472d9d090d0daad25ec4171fa947f,/,/,    Document new option "db.score.count.filtered".,/,/
a75c525658758134920e8dadd38c9287951d19b3,NUTCH-230,Improvement,OPIC score for outlinks should be based on # of valid links  not total # of links.,None,Minor
88420bc2f65c9cb612b3b0cc6b141093b8d15c93,/,/,    commons-httpclient upgraded to version 3.0,/,/
3e305c55d3a562b1fadbc441f3ccfb45346e1f96,/,/,    Updated link to jira.,/,/
c234bd42b2d50a59bdb1bb3e9207519519ad7801,/,/,    Fix NPE if lang is null,/,/
340c8a05f04da63f577b74d60347a5ac75650fcc,/,/,    Print out the full path of plugins directory. Allow using plugins,/,/
 ,NUTCH-229,Improvement,improved handling of plugin folder configuration,None,Critical
423617841a161a2564dbaffe3fcd55f773f62744,/,/,    Reactivate usage of AnalyzerFactory,/,/
f7d46b34c9424f412956e9d5952ed2b2bafd9234,/,/,    Fix milliseconds dumped by cluster.jsp (Dawid Weiss),/,/
449ae6a2af59f6ea889996ce5aeee365d34d66ba,NUTCH-228,Bug,Clustering plugin descriptor broken (fix included),None,Minor
ea9eb16576ed00871e573907e2592d960500f32e,/,/,    Lucene upgraded to 1.9.1,/,/
a76613ca7a387a6a5ac6cd187556d4759d90ca14,/,/,    Upgrade to latest hadoop jar.,/,/
a5260d999ff537b85d17b5310bce0f060204c2f3,/,/,    Add boost configuration param for RawFieldQueryFilters,/,/
9fd371ca329e1baee2e4a3b3e8558fd71f216679,NUTCH-91,Bug,empty encoding causes exception,None,Major
9e157fde7ebd4ba85cddb6c1a5f79a8bd91b3470,NUTCH-91,Bug,empty encoding causes exception,None,Major
2676f5f27b5b1edf021b3343bb1ce2b61d613adb,/,/,    Added DOAP file.,/,/
14c119d8db79e2ccb78006b648033d6aad708cb0,/,/,    Added tutorial for version 0.8,/,/
421062d61e77f9cee11e21e9a0ee487990e871fb,/,/,    Don't generate URLs that don't pass URLFilters.,/,/
af9f6865452c7fc3178955aef3e3475c9717dbc6,/,/,    Servlets are initialized by a servlet container through no-args init().,/,/
c8d9b5816c094b90ba2700d7dab52464318867a2,/,/,    No-arg constructors are required for RPC. Allow the RPC Server to set,/,/
ea4da6200b79a1c62ebc3b9c8fb2e452f3fcb31b,/,/,    Cache instances of ParsePluginList.,/,/
6b8b7add2863045589e100f6c8d8550a0eb98da4,/,/,    Upgrade to latest version of Hadoop.,/,/
ade5c35932483a92d86a15ac3aeb6a0f18f756bd,/,/,    Commiting site rebuilt with forrest 0.7,/,/
dedac6457c9b875812898c0a7664805ddaa43e84,/,/,    Added mailing list archives and forrest 0.7 compatibility,/,/
762adc4ad52c13bda023835966bca769f95305ee,NUTCH-221,Task,prepare nutch for upcoming lucene 2.0,None,Minor
8f4ebf0b9a0e86269db6322538e02f44e73480f9,/,/,    Plugins now assumes that the core is already builded when building nutch,/,/
ee1a59a3c1b8ca6ab1de0b965ce413852c751461,/,/,    Change the way multi-valued fields are displayed in HitDetails,/,/
7de262d1b084ebdc77f28f3824e1623464ff4b08,/,/,    Add a microformats rel-tag parser/indexer/searcher plugin (a la technorati),/,/
8214b7ffc44adfe8ec77a727bd8bb35b4ab13623,/,/,    Upgrade hadoop to latest version with some important mapred bug fixes.,/,/
aa84ab48dd36684f1fc987471af246eb9c9c33ad,/,/,    Undo unintentional changes made in r381751.  Thanks  Jerome  for catching this!,/,/
d2397b177c96be0454bcc2276037388d9b43dbdd,/,/,    Disable speculative execution  since input format has side effects.,/,/
063a250741ecaebc4b3fa7a14d971d95ea29431d,/,/,    Update to latest Hadoop code.,/,/
ce45896b42e1a13f788461439a9cb3b197a4ec27,/,/,    Fix content.limit inconsistency in http  ftp and file,/,/
ab88754c0f1041fb2a8fb52802f2bfedf4693523,/,/,    Upgrade to Lucene 1.9.1.,/,/
