CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,CommitComplexity,CommitTokenCount,CommitMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,LastCommitComplexity,LastCommitTokenCount,LastCommitMethodNum
f6dc5c5c5978b51696d228581b7aabd84e1ff04d,/,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
d3a63dfeb666fc0db677ac52ee967aa4952373e9,src/plugin/languageidentifier/src/java/org/apache/nutch/analysis/lang/HTMLLanguageParser.java,32,941,7,38.0,1539.0,10.0,19,498,2,23.0,774.0,4.0
,src/plugin/languageidentifier/src/test/org/apache/nutch/analysis/lang/TestHTMLLanguageParser.java,6,598,3,,,,4,276,2,,,
5007400ff1135687ca9ccbe3a65cddd2f16beba3,src/plugin/languageidentifier/src/test/org/apache/nutch/analysis/lang/TestLanguageIdentifier.java,22,1180,13,22.0,1180.0,13.0,0,0,0,0.0,0.0,0.0
1ce35e053ff78dbaad424849c9a3e6fed5fbe061,/,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
fcba0fd97b080be635b07b2c6ed1bdb0ef376647,/,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
edeb971e65dd97652196ca5534ffc3edab9c8a65,/,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
301022d0f0859aa20d45d8c7c1d574ce939db905,src/plugin/languageidentifier/src/test/org/apache/nutch/analysis/lang/TestLanguageIdentifier.java,22,1180,13,22.0,1180.0,13.0,22,1180,13,22.0,1180.0,13.0
c88b191c84d5d8fbad32b29eb77234dbd440c1b2,src/java/org/apache/nutch/parse/OutlinkExtractor.java,8,433,4,65.0,3374.0,18.0,0,0,0,53.0,2573.0,10.0
,src/plugin/parse-ext/src/java/org/apache/nutch/parse/ext/ExtParser.java,18,816,3,,,,18,804,3,,,
,src/plugin/parse-msword/src/java/org/apache/nutch/parse/msword/MSWordParser.java,13,511,2,,,,13,499,2,,,
