NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
1,2,2,0,0,0,0,3,4,897,1,1,0,84,1736,55,7,7,0,191,191,0,3,3,0,1,100,NoArch
5,5,11,6,0,0,0,4,9,95,1,1,2.25,511,1864,59,37,37,0,1632,1584,48,16,16,0,1,100,NoArch
1,1,5,4,0,0,0,3,5,0,1,1,0,112,2061,21,7,7,0,158,167,9,7,7,0,1,100,NoArch
1,4,4,0,0,0,0,5,18,193,1,1,0,902,2,0,106,106,0,3016,3016,0,21,21,0,1,100,NoArch
1,19,9,10,0,0,0,4,119,2,1,1,0,1243,2138,55,146,145,1,6039,6036,3,47,47,0,1,100,NoArch
1,22,6,16,0,0,0,8,72,6,1,1,0,1411,13,0,168,167,1,5792,5725,67,48,47,1,1,100,NoArch
1,17,1,16,0,0,0,3,5,134,1,1,0,67,1620,45,3,3,0,426,280,146,2,2,0,1,99.93355482,NoArch
1,0,6,6,0,0,0,5,28,49,1,1,0,308,704,0,41,41,0,1084,1149,65,22,22,0,1,100,NoArch
1,9,3,6,0,0,0,3,5,5,1,1,0,188,2165,14,6,6,0,772,768,4,6,6,0,1,100,NoArch
1,1,1,0,0,0,0,3,19,0,1,1,0,737,716,11,97,97,0,3595,3597,2,28,28,0,1,100,NoArch
1,5,0,5,0,0,0,6,29,705,1,1,0,182,4961,9,25,22,3,840,794,46,5,5,0,1,100,NoArch
1,1,0,1,0,0,0,1,4,0,1,1,0,1268,1182,4,162,162,0,6025,6023,2,46,46,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,21,0,0,0,0,0,0,0,0,0,0,100,NoArch
2,6,6,0,0,0,0,3,43,350,1,1,1,690,1945,32,80,80,0,2891,2899,8,19,19,0,1,100,NoArch
1,5,0,5,0,0,0,7,65,468,1,1,0,1179,4958,6,137,136,1,5987,5970,17,31,31,0,1,100,NoArch
1,3,3,0,0,0,0,7,69,401,1,1,0,572,1691,16,59,59,0,1753,1753,0,25,25,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5204,30,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,14,19,5,0,0,0,5,11,5,1,1,0,713,32,1,81,81,0,2138,2114,24,34,34,0,1,100,NoArch
1,1,0,1,0,0,0,8,211,30,1,1,0,1788,4967,13,162,162,0,5214,5212,2,73,73,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,7,0,0,0,0,0,0,0,0,0,1,100,NoArch
3,101,2,99,1,0,1,1,14,481,1,3,0.425225891,1494,584,1,122,121,1,5928,5291,637,71,70,1,1,99.95206136,NoArch
1,16,2,14,0,0,0,2,6,225,1,1,0,97,2113,35,6,5,1,476,351,125,5,5,0,1,99.98317065,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,37,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,3,2,1,0,0,0,4,12,0,1,1,0,344,491,3,54,54,0,1662,1662,0,4,4,0,1,100,NoArch
1,2,2,0,0,0,0,4,156,20,1,1,0,2962,1625,6,443,443,0,11254,11250,4,61,61,0,1,100,NoArch
1,1,1,0,0,0,0,2,13,15,1,1,0,385,1817,31,51,51,0,1525,1521,4,28,28,0,1,100,NoArch
1,9,0,9,0,0,0,4,8,562,1,1,0,394,469,3,54,53,1,1587,1566,21,11,10,1,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,5,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
2,2,2,0,0,0,0,3,7,4891,1,1,1,161,1638,2,18,18,0,391,389,2,18,18,0,1,100,NoArch
1,5,2,3,0,0,0,4,22,430,1,1,0,215,693,6,17,17,0,712,692,20,10,10,0,1,100,NoArch
1,2,2,0,0,0,0,4,156,20,1,1,0,2962,1625,6,443,443,0,11254,11250,4,61,61,0,1,100,NoArch
1,25,3,22,0,0,0,1,2,2,1,1,0,1203,1179,1,157,154,3,5850,5783,67,45,44,1,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,13,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,1,1,0,0,0,0,4,85,97,1,1,0,882,519,0,111,111,0,4616,4616,0,26,26,0,1,100,NoArch
1,1,1,0,0,0,0,4,21,402,1,1,0,189,2119,41,9,9,0,960,960,0,5,5,0,1,100,NoArch
1,0,1,1,0,0,0,1,2,0,1,1,0,227,5,1,25,25,0,755,757,2,11,11,0,0,100,NoArch
1,2,2,0,0,0,0,2,4,0,1,1,0,83,498,2,7,7,0,230,234,4,3,3,0,1,100,NoArch
5,47,13,34,0,0,0,6,79,68,1,1,2.183383098,2416,710,5,333,314,19,10064,9684,380,104,104,0,1,100,NoArch
1,1,0,1,0,0,0,7,76,143,1,1,0,577,1282,1,62,62,0,1793,1780,13,25,25,0,1,100,NoArch
5,558,511,47,0,0,0,3,7,0,1,3,0.398258393,2277,606,9,257,254,3,6892,6728,164,136,136,0,1,100,NoArch
3,71,45,26,0,0,0,2,6,1853,1,2,0.806772791,766,613,6,71,69,2,2944,2885,59,24,24,0,1,99.9554764,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,7,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,4,4,0,0,0,0,6,41,32,1,1,0,378,685,11,34,34,0,1010,1010,0,21,21,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,17,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,4,0,4,0,0,0,3,3,1339,1,1,0,133,1962,26,21,19,2,374,355,19,8,8,0,1,100,NoArch
1,2,3,1,0,0,0,5,27,0,1,1,0,491,285,6,54,54,0,1450,1458,8,29,29,0,1,100,NoArch
2,49,49,0,0,0,0,2,5,2,1,2,0.617448296,528,32,9,36,29,7,2838,2654,184,9,8,1,1,100,NoArch
2,21,2,19,0,0,0,3,14,246,1,2,0.755375413,1467,426,4,126,124,2,4524,4428,96,65,64,1,1,100,NoArch
1,66,5,61,0,0,0,5,13,0,1,1,0,417,2010,32,37,33,4,953,838,115,36,32,4,1,100,NoArch
2,10,1,9,0,0,0,8,210,1872,2,2,0.945660305,1868,4957,5,164,164,0,5575,5568,7,75,75,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4936,19,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,1,2,1,0,0,0,4,49,250,1,1,0,658,5059,56,72,72,0,2119,2119,0,32,32,0,1,100,NoArch
1,13,0,13,0,0,0,3,4,2065,1,1,0,69,429,5,4,3,1,346,292,54,2,1,1,1,100,NoArch
1,8,1,7,0,0,0,3,7,0,1,1,0,397,386,17,42,41,1,1479,1447,32,17,17,0,1,100,NoArch
1,21,6,15,0,0,0,4,12,855,1,1,0,442,590,6,52,51,1,1814,1787,27,11,11,0,1,100,NoArch
