1a57fcf6b015c23f56aea896397bca03fc109ead,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
b4422f13b6c609b5f68eb0a053f4bc08182f97d5,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
701ac94d9ad29192368ad63e7d6975794dc3c2f7,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
a9180599317e2741559418165ebc7178008147a1,/,/,    Speed up new test,/,/
f6915d45a61593f95bf779558a32f807d583932c,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
baee2f4d3543315c040756caa6cf9881c44ee803,STORM-205,New Feature,Add REST API to Storm UI,storm-core,Major
426d143784ee3610aa3582d43316f1344abd6275,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
4c61cd40023ae31cb9045e04360b376736969d3d,STORM-244,Bug,DRPC timeout can return null instead of throwing an exception,storm-core,Major
49a9a92f79546f8a44e8664e422e26c187b73ee2,STORM-205,New Feature,Add REST API to Storm UI,storm-core,Major
2278fc9623d5b71bca9ece3857e645e85ab1562f,/,/,    move towards idiomatic Clojure style,/,/
900490b9caf8993ad0beee79fd4139b3bdee6359,STORM-205,New Feature,Add REST API to Storm UI,storm-core,Major
b930e100a9f74e832fd9142d0c825d9f24d0af1d,/,/,    Storm UI Visualizations for Topologies,/,/
688444a96a5b2abf28faa0b7220e1436a0e951e3,STORM-205,New Feature,Add REST API to Storm UI,storm-core,Major
f6c306b27036ff9905108379846125ee18e772ff,STORM-308,New Feature,Storm Windows: Add support for config_value to {supervisor nimbus ui drpc logviewer} childopts,storm-core,Major
7346db2f4dc10e59965d3f9dfa9a9611ccefe41a,/,/,    Add test case to metrics_test.clj,/,/
9e1dc5918618e9a23e7bc6c1b2e41cb002206230,/,/,    Merge branch 'zk-hb-blocks' of github.com:revans2/incubator-storm,/,/
20b4f8b2195a1bf214f63e10b1bbca4690c0290f,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
c0768100738b211a21e1775b78c114f4a20b2b30,STORM-232,Sub-task,ship JNI dependencies with the storm jar,storm-core,Major
d85c470747c22fa47a1f914388861b018ce9acc8,STORM-297,Bug,Storm Performance cannot be scaled up by adding more CPU cores,storm-core,Major
