CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
47ce0ae97830380eb85db7ae97a7f7f3adbff820,1,2,0,2,0,0,0,2,2,2,1,1,0,18,19,2,4,2,2,89,71,18,2,2,0,0,100,NoArch
eb6d7383861220eaeb685206d3946899c20506ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
e9953aff4a8c42ec363cd1d81719c970446dc5b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,24,0,0,0,0,0,0,0,0,0,0,100,NoArch
adacdbe0e6965d0235a8aa04b9f6a44f1ba6face,3,46,41,5,0,0,0,1,2,86,1,2,0.950168986,350,0,0,39,37,2,1723,1709,14,26,25,1,0,100,NoArch
3d058660c94d97b15e9700b615a82051b599be34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
dfc3cd9d9d96d5a0bf204b0a1389b2ba9da7367a,7,2,27,25,0,0,0,3,24,552,2,5,2.568996843,1017,0,0,122,127,5,4575,4662,87,72,77,5,0,100,NoArch
4d8c51b4503110f03a27b401f096ff2477bbb7cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,100,NoArch
444e0518e0ace34a6bc490ffa61fe722a322a465,2,27,10,17,0,0,0,5,7,162,2,2,0.494182935,207,5,0,40,34,6,1245,1142,103,10,10,0,1,100,NoArch
4c714d03035fd6075392bd0df7577c68d993a366,2,47,3,44,0,0,0,1,2,782,2,1,0.634309555,299,17,14,46,41,5,1981,1768,213,29,28,1,0,100,NoArch
5d1c7c327ac804e99e75a19d8c51e79371b8f2f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
a6bf3e421d3d37a797e3bb374fcd20a00189feb4,15,474,82,392,1,0,1,2,27,995,1,8,2.462649277,8228,29,2,1041,984,57,40572,37762,2810,447,428,19,1,99.96154955,NoArch
0ceb3f3eed75c995bba2dd3b52e197f78792363f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,100,NoArch
27ad1fb25caa5eb20f477c89cf57c801b6cec3c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,6,0,0,0,0,0,0,0,0,0,0,100,NoArch
e64cb1843ff158371b09525bdb963c864be62167,3,5,6,1,0,0,0,3,12,178,1,3,1.309296668,699,33,7,123,123,0,4079,4079,0,54,54,0,0,100,NoArch
f83e414f5f24a3af2c67c3509d1c637a550ed059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,5,0,0,0,0,0,0,0,0,0,1,100,NoArch
788db9d9e9dd3913e82732ca631223e0b2d39927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
