CommitID,FileNum,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NS,ND,Entropy ,LT,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a
6e8c93d27bd18edbd7a0edc6188ad81921c28b57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,100
c40f0ce165a421d2f88f3ce28ee0615dbf19ecad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,100
1e00589634d1b1fbb9aafda0c50ba7cc2ccbc624,5,40,42,2,0,0,0,1,17,217,1,2,2.134389233,560,74,0,77,79,2,3247,3230,17,34,34,0,0,99.18032787
4d2c4dab1af86887bbe5811a2090e927ecf18305,5,41,39,2,0,0,0,2,19,8,1,2,2.148117568,558,75,1,79,77,2,3234,3247,13,34,34,0,0,99.18032787
b33e706503c50390d52c54032a95d955dd71d08a,62,3503,1491,2012,37,23,60,1,7,62,2,8,5.588745814,1489,0,0,358,207,151,20020,8312,11708,260,119,141,0,10.95890411
adacdbe0e6965d0235a8aa04b9f6a44f1ba6face,3,46,41,5,0,0,0,1,2,86,1,2,0.950168986,350,0,0,39,37,2,1723,1709,14,26,25,1,0,100
c6b0be44c4944763464e69ef50081f967ce7141e,1,1,1,0,0,0,0,2,3,0,1,1,0,103,1,1,6,6,0,223,223,0,5,5,0,0,100
08f779f0de6839f63af1443d7070da730db9a3b4,62,1616,3508,1892,25,37,62,0,20,23,2,8,5.579068219,3508,13,2,227,360,133,9156,20034,10878,128,261,133,0,10.95890411
af2a1fc8e29aadcd12c6521261964ceb5485c0d6,2,6,4,2,0,0,0,2,6,14,1,1,1,259,14,3,36,36,0,1523,1513,10,29,29,0,0,100
cb5e958745344849a6f4689963c5de08c5bc2386,62,3508,1618,1890,37,25,62,1,7,56,2,8,5.578960052,1618,68,0,360,227,133,20034,9166,10868,261,128,133,0,10.95890411
78a0a998c29113f6708cabb1f17bb67b0255ac2c,1,31,30,1,0,0,0,2,3,454,1,1,0,149,69,1,15,15,0,1045,1033,12,12,12,0,0,100
860a43b444f72bd90f3d24090907874330995bb2,62,1619,3509,1890,25,37,62,0,20,14,2,8,5.578737887,3509,15,2,227,360,133,9182,20046,10864,128,261,133,0,10.95890411
7ed3d7c5317f78facdad2ca53b695205261ca777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,100
2aaada7ff0db344335642eabd0da52751a17717a,62,3514,1619,1895,37,25,62,2,7,67,2,8,5.578805464,1619,2,0,362,227,135,20080,9182,10898,261,128,133,0,10.95890411
76d788cd08265ba22b17632aa0629c34a86baefd,62,1618,3514,1896,25,37,62,0,20,14,2,8,5.578933776,3514,17,2,228,362,134,9184,20080,10896,128,261,133,0,10.95890411
ddc3e8eefc881e5809c0f0d9a4b61a60af432024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,0,100
2d78e680070a5b3181bf08926c32dca105343af4,3,31,3,28,0,0,0,2,10,52,1,1,1.547699168,430,76,0,65,65,0,3048,2784,264,37,37,0,0,100
2cc81a171dba6c47c7c347a1bb1fd3898eb500fb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,100
4bf2de58f0972b731600269cd419c1a3d1869458,1,18,0,18,1,0,1,1,1,0,1,1,0,0,78,2,2,0,2,71,0,71,2,0,2,0,90.83333333
47ce0ae97830380eb85db7ae97a7f7f3adbff820,1,2,0,2,0,0,0,2,2,2,1,1,0,18,19,2,4,2,2,89,71,18,2,2,0,0,100
8f8f48c75989ea1af3afeb8c0fe27b51b6080850,63,3509,1666,1843,37,26,63,1,7,63,2,8,5.59143348,1666,70,0,360,232,128,20046,9537,10509,261,130,131,0,9.722222222
e57bf89ab11c2ba6fae479133d78cc7471129495,2,7,2,5,0,0,0,2,3,154,1,1,0.918295834,252,71,1,27,25,2,1679,1645,34,19,19,0,0,100
205bc6339f7d59ca6533231e0c92a1ad295e05f0,63,1711,3514,1803,26,37,63,0,21,40,2,8,5.58497433,3514,20,0,234,362,128,9854,20080,10226,131,261,130,0,9.722222222
61be2a01feb81146d89071fbe292dcf396a70c47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,100
d55df553aa3749107e0bd9938799375ecb2cec02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,100
38bde87ed3e27ee5d5dfe1fdf5e25a4640472792,5,53,20,33,0,0,0,2,2,0,1,2,1.586865724,658,2,2,106,102,4,4521,4256,265,52,50,2,0,96.72131148
005cd8b348a27267e80a3c557c6a6ae25d3f33c2,24,226,179,47,6,1,7,1,3,0,1,4,3.976478374,1605,3,3,221,222,1,9929,9579,350,119,119,0,0,87.17948718
e20dcd1d5f3fa6d6e40ac0fe6a4f401930d0a93d,5,50,47,3,1,0,1,2,4,0,1,2,2.010037841,610,4,4,78,82,4,3777,3797,20,45,49,4,0,98.93617021
4024080de5ee9d131b766f870007b13d723ee3cc,20,227,245,18,1,3,4,1,5,3,1,4,3.963290442,1288,5,5,164,166,2,7214,7651,437,95,93,2,0,89.75903614
9abf90b4d924e9b74c4ead612e8819ebd24fca3b,2,175,16,159,1,0,1,1,5,0,1,2,0.709183269,119,6,6,26,13,13,1701,675,1026,20,6,14,0,97.24137931
f63b276ea3e99ff7257a31b68e1b7a364bf9f1ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,100
f8088920b71b4ab704ffc76f63dab74dc1e834cd,7,269,246,23,1,0,1,1,6,12,1,3,1.979473642,722,8,8,84,85,1,4607,4674,67,50,52,2,0,93.75
ddee8961af3d8618610320ee5793547879c91cfa,7,41,27,14,0,0,0,1,6,16,1,2,2.035394957,750,9,9,103,100,3,4768,4732,36,49,46,3,0,100
83f183becb4f6bd45822beac48d9b6425be7391b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,100
20a1167dcded98fb53bdfceb79165c6e2d296e7f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,100
90a82604f8a40fb33e05f5b4d2003198d4263555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,100
28789106f0b3e6f3b5ef5767df2d6a0ca6ff02cb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,100
3d058660c94d97b15e9700b615a82051b599be34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,100
d3eda036ed839d344415dbaab471fef4472a8d9b,1,1,1,0,0,0,0,2,6,261,1,1,0,237,15,1,35,35,0,1490,1490,0,15,15,0,0,100
572a57702dfbe8918b74247a71f5922ebbde7901,13,151,124,27,1,1,2,1,7,228,1,2,3.087089449,1192,16,2,158,155,3,7007,6955,52,81,81,0,0,90.78014184
d0d7acb26aee4b1f691ea3c8bdf4cc9e220f693f,2,4,5,1,0,0,0,2,5,10,1,1,0.764204507,146,17,3,21,21,0,756,751,5,10,10,0,0,100
e7b4c09b6859e6b866d8b45b948c7d69b1cc0ceb,69,3514,1998,1516,37,32,69,2,7,73,2,9,5.669377196,1998,3,0,362,249,113,20080,11064,9016,261,146,115,0,8.974358974
e3450917b100ee46ad5ff334e815fbb015686ccb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,100
0b7acda1df88301c77f212673789a55d3c445ad2,1,3,1,2,0,0,0,1,3,4,1,1,0,117,5,2,17,17,0,511,493,18,9,9,0,0,100
f26f5974437c32510bde0fdf5dcdc053b42be1f6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,100
ab44424d85054e6873d94d2094c2dacfdbbac9b6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,100
84b2eba70a0c9c6d5a790c0686d0e835bbad8641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,100
84cb0355e6827f967784d02ce85f1ba373932d4c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,100
a9cb8cbfbe751ddda233c67aea26bd7c52dee062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,100
cfaf58a4512cc80dde84f7c15e783ebbe5e584f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,100
5a92564e0f47cc411117c892e51866b5547f1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,100
f64b52acaa9b758acd1c400b142e5c229585d9b5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,100
b9c57eb9ac20cbb44af0c4fd64c8de3f219bf3c3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,100
2ace708d42984057f1f29ac3a300ac296b4b7edb,1,2,2,0,0,0,0,1,2,783,1,1,0,95,15,12,11,11,0,424,424,0,8,8,0,0,100
8e1e3cc1ced2e785c2ce47fd8708dcf2c5a2e8ec,1,1,1,0,0,0,0,1,2,783,1,1,0,126,16,13,13,13,0,631,631,0,10,10,0,0,100
4c714d03035fd6075392bd0df7577c68d993a366,2,47,3,44,0,0,0,1,2,782,2,1,0.634309555,299,17,14,46,41,5,1981,1768,213,29,28,1,0,100
3b2db7cfa11d9daf6e326202f3909d9d104f95dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,100
a51c8247e3f358788efc8fb3ed7104b7b7cb21c4,35,2436,2535,99,0,0,0,2,8,917,2,6,4.743756573,3418,19,16,367,367,0,20008,20311,303,262,262,0,0,100
