CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete,NDVE,NUC,AGE,NS,ND,Entropy ,LT,EXP,REXP
b9960d2817f9e6fa5cf28eb5dbaa949950c16818,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,173,7
ab206e509b3441b457b8796a694904478034f892,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,174,8
15b9cc79d9846c0376a36942ca075464282dd3f3,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,172,6
f41e3ee0282c25c81e4ec9246933cda4b6ed5702,0,0,0,/,0,0,0,0,0,0,0,0,0,0,0,0,173,7
b38c9313ec4bf1436d5aa749922b28e80b262894,1,2,0,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestTaskScheduler.java,2,0,1248,0,0,3,29,14,1,1,0,1248,159,16
f38b330900a71f3aa643d4ff5e3975fc6c58bd37,13,50,27,tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/TaskAttemptImpl.java,3,1,1508,0,0,2,57,51,4,9,3.464566063,4890,160,17
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestContainerReuse.java,1,1,937,,,,,,,,,,,
,,,,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/MapUtils.java,2,2,226,,,,,,,,,,,
,,,,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/map/TestMapProcessor.java,2,1,244,,,,,,,,,,,
,,,,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/reduce/TestReduceProcessor.java,3,2,226,,,,,,,,,,,
,,,,tez-runtime-internals/src/main/java/org/apache/tez/runtime/LogicalIOProcessorRuntimeTask.java,7,3,686,,,,,,,,,,,
,,,,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TaskSpec.java,13,2,165,,,,,,,,,,,
,,,,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezInputContextImpl.java,2,2,104,,,,,,,,,,,
,,,,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezOutputContextImpl.java,3,2,93,,,,,,,,,,,
,,,,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezProcessorContextImpl.java,2,2,105,,,,,,,,,,,
,,,,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezTaskContextImpl.java,4,4,192,,,,,,,,,,,
,,,,tez-runtime-internals/src/test/java/org/apache/tez/runtime/TestLogicalIOProcessorRuntimeTask.java,6,4,246,,,,,,,,,,,
,,,,tez-runtime-library/src/test/java/org/apache/tez/runtime/library/output/TestOnFileUnorderedKVOutput.java,2,1,158,,,,,,,,,,,
dcf2b076713c01e2f63004fbc9bf1b7a0403d5c9,2,12,11,tez-dag/src/main/java/org/apache/tez/dag/app/rm/node/AMNodeImpl.java,1,1,449,0,0,2,6,16,1,2,0.426228657,685,161,18
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/node/TestAMNodeMap.java,11,10,236,,,,,,,,,,,
5c5b0da3954da630a0be480687e61c7f6331bdf2,1,9,27,tez-tests/src/test/java/org/apache/tez/test/TestFaultTolerance.java,9,27,742,0,0,1,12,9,1,1,0,742,162,19
a5713a41fb9f5f7b885109f09ee7c03d1da03b66,2,232,1,tez-mapreduce/src/main/java/org/apache/tez/mapreduce/common/MRInputSplitDistributor.java,1,1,112,1,0,1,4,4,1,2,0.0712504,112,194,19
,,,,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/common/TestMRInputSplitDistributor.java,231,0,0,,,,,,,,,,,
4ae38e437f6312d7b8bc74280c82577f93ed46e6,17,65,73,tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/TaskAttemptImpl.java,1,3,1510,0,0,1,56,26,5,12,3.49890893,7573,194,19
,,,,tez-dag/src/main/java/org/apache/tez/dag/app/rm/node/AMNodeImpl.java,1,1,449,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestContainerReuse.java,1,1,937,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestTaskScheduler.java,0,2,1250,,,,,,,,,,,
,,,,tez-dag/src/test/java/org/apache/tez/dag/app/rm/node/TestAMNodeMap.java,10,11,237,,,,,,,,,,,
