CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
fa23b096ac4a0577578da1da7aa82f33e617c0f8,1,41,2,39,0,0,0,3,25,26,1,1,0.0,717,404,23,68,64,4,5133,4865,268,21,20,1,1,99.970726,NoArch
41173aa0a0cc60924902ce9e78a452e2069a2a31,16,220,135,85,0,0,0,2,210,129,2,8,3.01416838,18638,356,0,1722,1704,18,118242,117765,477,711,697,14,1,100.0,NoArch
cf073633e89076e005ef80d996d000390820cd8c,2,71,13,58,0,0,0,4,136,8,1,2,0.99631652,6405,201,8,654,650,4,39605,39248,357,219,218,1,1,100.0,NoArch
66ca9655a4412e1c1db1d37e882a407706dbe3ad,1,23,2,21,0,0,0,2,5,2,1,1,0.0,968,72,2,92,89,3,5157,5101,56,29,29,0,1,100.0,NoArch
e3b5cd54d8cdd6f141c312328be25e1edc2a3e57,1,17,0,17,0,0,0,3,3,588,1,1,0.0,202,65,0,18,16,2,994,952,42,8,7,1,1,100.0,NoArch
ae84f1d239dfb76ac91d1f97688ef205ac1fcf0b,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,174,8,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
200b42b7da3cffdeb0ef2d426981a8a34e0b1007,2,38,4,34,0,0,0,4,53,88,1,2,0.985228136,2061,415,6,204,200,4,13495,13301,194,61,60,1,1,100.0,NoArch
f8f5411ea0c17496090b65562f3b4b2da48cd059,1,4,0,4,0,0,0,6,92,0,1,1,0.0,1963,209,13,298,298,0,10913,10887,26,108,108,0,1,100.0,NoArch
b9d5c2056c1026903a30c35a67e5b16aa1b5bb2b,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,43,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
34159fed90ab519a024d177b9fcd144cb4954437,1,10,3,7,0,0,0,3,6,3,1,1,0.0,240,195,17,7,7,0,2169,2118,51,7,7,0,1,100.0,NoArch
da3fecd53df56b96e29c8608068bf46a1995d611,23,521,201,320,0,0,0,2,32,98,2,13,2.951460533,12369,25,10,1316,1265,51,66763,65383,1380,491,477,14,1,100.0,NoArch
aed87d2dbf1ce99a53eb2e919934dff9b8517e01,1,1,14,13,0,0,0,3,12,81,1,1,0.0,350,263,5,48,49,1,1945,2039,94,20,20,0,1,100.0,NoArch
56365c80ef928f61204e21d1ae2bd52d301b985e,1,1,0,1,0,0,0,3,17,482,1,1,0.0,221,424,2,3,3,0,410,408,2,3,3,0,1,100.0,NoArch
c4dbeeab3fc20ccd75367013f2bbffc2fec7f3a3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,489,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
dbf36fb777054fdbff290356ec5488694d77d774,2,123,4,119,0,0,0,4,186,252,1,2,0.116849761,5081,341,1,620,618,2,30080,29452,628,169,167,2,1,100.0,NoArch
fac3222c768fbdfc8c1bbe55f94bc106900e6ae4,1,0,1,1,0,0,0,5,20,81,1,1,0.0,344,78,12,50,50,0,1951,1955,4,14,14,0,1,100.0,NoArch
dfe38490fd24485ddb1ba88df929682d63d555c9,19,176,41,135,2,1,3,1,84,29,4,10,2.813374481,7912,22,4,601,588,13,46916,46335,581,336,331,5,1,99.65986395,NoArch
2467d60896e5c99536fe4e64b58c6f57dc1587ec,3,26,168,142,0,0,0,3,9,6,1,2,0.255176221,1422,74,10,204,223,19,7379,8201,822,47,52,5,1,100.0,NoArch
