CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,CommitComplexity,CommitTokenCount,CommitMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,LastCommitComplexity,LastCommitTokenCount,LastCommitMethodNum
b9960d2817f9e6fa5cf28eb5dbaa949950c16818,/,0,0,0,0,0,0,0,0,0,0,0,0
ab206e509b3441b457b8796a694904478034f892,/,0,0,0,0,0,0,0,0,0,0,0,0
15b9cc79d9846c0376a36942ca075464282dd3f3,/,0,0,0,0,0,0,0,0,0,0,0,0
f41e3ee0282c25c81e4ec9246933cda4b6ed5702,/,0,0,0,0,0,0,0,0,0,0,0,0
b38c9313ec4bf1436d5aa749922b28e80b262894,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestTaskScheduler.java,58,9681,5,58,9681,5,58,9669,5,58,9669,5
f38b330900a71f3aa643d4ff5e3975fc6c58bd37,tez-dag/src/main/java/org/apache/tez/dag/app/dag/impl/TaskAttemptImpl.java,119,6929,75,353,28573,211,119,6919,75,352,28435,210
,tez-dag/src/test/java/org/apache/tez/dag/app/rm/TestContainerReuse.java,15,7469,13,,,,15,7467,13,,,
,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/MapUtils.java,10,1536,5,,,,10,1531,5,,,
,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/map/TestMapProcessor.java,6,1166,4,,,,6,1159,4,,,
,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/processor/reduce/TestReduceProcessor.java,6,1546,4,,,,6,1536,4,,,
,tez-runtime-internals/src/main/java/org/apache/tez/runtime/LogicalIOProcessorRuntimeTask.java,90,4180,29,,,,90,4162,29,,,
,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TaskSpec.java,26,928,12,,,,25,871,11,,,
,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezInputContextImpl.java,8,529,7,,,,8,524,7,,,
,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezOutputContextImpl.java,7,461,6,,,,7,456,6,,,
,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezProcessorContextImpl.java,9,569,8,,,,9,564,8,,,
,tez-runtime-internals/src/main/java/org/apache/tez/runtime/api/impl/TezTaskContextImpl.java,23,912,17,,,,23,914,17,,,
,tez-runtime-internals/src/test/java/org/apache/tez/runtime/TestLogicalIOProcessorRuntimeTask.java,27,1230,27,,,,27,1221,27,,,
,tez-runtime-library/src/test/java/org/apache/tez/runtime/library/output/TestOnFileUnorderedKVOutput.java,7,1118,4,,,,7,1111,4,,,
dcf2b076713c01e2f63004fbc9bf1b7a0403d5c9,tez-dag/src/main/java/org/apache/tez/dag/app/rm/node/AMNodeImpl.java,38,2393,24,45,4473,31,38,2393,24,45,4473,31
,tez-dag/src/test/java/org/apache/tez/dag/app/rm/node/TestAMNodeMap.java,7,2080,7,,,,7,2080,7,,,
5c5b0da3954da630a0be480687e61c7f6331bdf2,tez-tests/src/test/java/org/apache/tez/test/TestFaultTolerance.java,33,4273,24,33,4273,24,33,4435,24,33,4435,24
a5713a41fb9f5f7b885109f09ee7c03d1da03b66,tez-mapreduce/src/main/java/org/apache/tez/mapreduce/common/MRInputSplitDistributor.java,7,622,2,24,1937,19,7,622,2,7,622,2
,tez-mapreduce/src/test/java/org/apache/tez/mapreduce/common/TestMRInputSplitDistributor.java,17,1315,17,,,,0,0,0,,,
