NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,6,0,6,6,1,0,1,4,132,1,1,0.0,433,2,52,10,88,88,0,2867,2867,0,9,9,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,269,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,16,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,87,2,85,89,1,0,1,3,106,1,2,0.264517368,503,1,89,12,53,40,13,2568,2222,346,10,9,1,1,100.0,NoArch
1,4,4,0,8,0,0,0,2,2757,1,1,0.0,77,2,37,2,3,3,0,430,430,0,2,2,0,3,100.0,NoArch
11,90,61,29,151,1,0,1,55,548,1,5,3.090023806,7912,5,0,0,1220,1215,5,39363,39198,165,378,377,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,89,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,0,1,1,1,0,0,0,23,195,1,1,0.0,1113,8,18,3,117,117,0,6890,6902,12,29,29,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,184,7,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,585,0,585,585,2,0,2,1,0,1,2,0.996791632,0,1,170,2,80,0,80,2859,0,2859,27,0,27,1,99.58982773,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,106,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,46,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
18,122,241,119,363,0,0,0,20,65,1,6,3.366932222,6636,3,70,2,861,877,16,30971,31607,636,249,251,2,1,100.0,NoArch
1,1,1,0,2,0,0,0,29,175,1,1,0.0,818,7,6,0,90,90,0,3251,3251,0,24,24,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,28,2,0,0,0,0,0,0,0,0,0,3,100.0,NoArch
5,372,66,306,438,2,0,2,7,1579,1,3,1.587513209,1102,4,33,0,165,135,30,6782,5273,1509,70,51,19,1,99.95549622,NoArch
7,338,57,281,395,1,0,1,10,1470,1,3,1.360766088,4176,2,0,0,538,498,40,23278,21790,1488,185,174,11,1,98.09444905,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,100,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,112,10,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
3,93,3,90,96,2,0,2,2,786,1,3,1.355028119,86,1,289,3,13,8,5,578,281,297,6,3,3,1,99.81364145,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
11,90,61,29,151,1,0,1,55,548,1,5,3.090023806,7912,5,0,0,1220,1215,5,39363,39198,165,378,377,1,1,100.0,NoArch
