,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,0.0,0.0,92.48,100.0
commit2--commit3,0.0,0.0,92.48,100.0
commit3--commit4,0.0,0.0,92.48,100.0
commit4--commit5,0.0,0.0,92.48,100.0
commit5--commit6,0.0,0.0,92.48,100.0
commit6--commit7,0.0,0.0,92.48,100.0
commit7--commit8,0.0,0.0,92.48,100.0
commit8--commit9,0.0,0.0,92.48,100.0
commit9--commit10,0.0,0.0,92.48,100.0
commit10--commit11,0.0,0.0,91.67,98.53889127632144
commit11--commit12,0.0,0.0,95.28,100.0
commit12--commit13,0.0,0.0,95.28,100.0
commit13--commit14,0.0,0.0,95.28,100.0
commit14--commit15,0.0,0.0,95.28,100.0
commit15--commit16,0.0,0.0,95.28,100.0
commit16--commit17,0.0,0.0,88.84,91.22725151656556
commit17--commit18,0.0,0.0,98.31,100.0
commit18--commit19,0.0,0.0,98.31,100.0
commit19--commit20,0.0,0.0,98.31,100.0
commit20--commit21,0.0,0.0,98.31,100.0
commit21--commit22,0.0,0.0,98.31,100.0
commit22--commit23,0.0,0.0,98.31,100.0
commit23--commit24,0.0,0.0,87.44,86.9767441860465
commit24--commit25,0.0,0.0,73.88,86.9767441860465
commit25--commit26,0.0,0.0,98.31,100.0
commit26--commit27,0.0,0.0,98.31,100.0
commit27--commit28,0.0,0.0,98.31,100.0
commit28--commit29,0.0,0.0,98.31,99.89754098360656
commit29--commit30,0.0,0.0,98.07,99.795605518651
commit30--commit31,0.0,0.0,89.97,89.06037221970041
commit31--commit32,0.0,0.0,85.45,100.0
commit32--commit33,0.0,0.0,85.42,99.11147011308562
commit33--commit34,0.0,0.0,85.06,100.0
commit34--commit35,0.0,0.0,85.06,100.0
commit35--commit36,0.0,0.0,85.06,100.0
commit36--commit37,0.0,0.0,85.06,100.0
commit37--commit38,0.0,0.0,85.06,100.0
commit38--commit39,0.0,0.0,85.06,100.0
commit39--commit40,0.0,0.0,85.06,100.0
commit40--commit41,0.0,0.0,85.06,100.0
commit41--commit42,0.0,0.0,85.06,100.0
commit42--commit43,0.0,0.0,85.06,100.0
commit43--commit44,0.0,0.0,85.06,100.0
commit44--commit45,0.0,0.0,84.7,99.40452560539896
commit45--commit46,0.0,0.0,85.23,100.0
commit46--commit47,0.0,0.0,85.23,100.0
commit47--commit48,0.0,0.0,85.23,100.0
commit48--commit49,0.0,0.0,85.23,100.0
commit49--commit50,0.0,0.0,85.23,100.0
commit50--commit51,0.0,0.0,85.23,100.0
commit51--commit52,0.0,0.0,85.23,100.0
commit52--commit53,0.0,0.0,85.23,100.0
commit53--commit54,0.0,0.0,85.23,100.0
commit54--commit55,0.0,0.0,85.23,100.0
commit55--commit56,0.0,0.0,85.23,100.0
