,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,93.73,98.61325116,95.51,100
commit2--commit3,95.45,98.99845917,95.51,100
commit3--commit4,98.6,99.00535578,95.51,99.31034483
commit4--commit5,93.49,98.40425532,95.57,100
commit5--commit6,95.19,98.93617021,95.57,100
commit6--commit7,96.56,99.24012158,95.57,100
commit7--commit8,89.35,97.6443769,95.57,100
commit8--commit9,91.61,97.47513389,95.51,99.31034483
commit9--commit10,96.52,98.54628921,95.51,99.31034483
commit10--commit11,92.39,91.83818311,78.98,88.84172226
commit11--commit12,97.9,99.53395473,85.64,100
commit12--commit13,97.31,99.40079893,85.64,100
commit13--commit14,94.59,98.80159787,85.64,100
commit14--commit15,94.31,98.66844208,85.64,100
commit15--commit16,94.01,98.66844208,85.64,100
commit16--commit17,92.79,98.40213049,85.64,100
commit17--commit18,94.91,98.86817577,85.64,100
commit18--commit19,93.09,98.46870839,85.64,100
commit19--commit20,94.89,98.86817577,85.64,100
commit20--commit21,95.8,99.06790945,85.64,100
commit21--commit22,96.41,99.20106525,85.64,100
commit22--commit23,92.22,98.2023968,85.64,100
commit23--commit24,98.8,99.73368842,85.64,100
commit24--commit25,92.79,98.40213049,85.64,100
commit25--commit26,95.52,99.00133156,85.64,100
commit26--commit27,96.71,99.26764314,85.64,100
commit27--commit28,94.01,98.13829787,85.15,99.61811238
commit28--commit29,91.94,98.20717131,86.32,100
commit29--commit30,96.72,99.26958831,86.32,100
commit30--commit31,88.96,97.14664897,86.32,99.89071038
commit31--commit32,97.01,99.33687003,86.1,99.94541485
commit32--commit33,93.43,98.08580858,85.61,99.67302452
commit33--commit34,91.76,97.83180026,86.39,100
commit34--commit35,91.74,98.03149606,86.39,99.89130435
commit35--commit36,97.94,99.5412844,86.42,100
commit36--commit37,95.29,98.82198953,86.17,99.78319783
commit37--commit38,97.65,99.47712418,86.45,100
commit38--commit39,97.94,99.54248366,86.45,100
commit39--commit40,96.18,99.1503268,86.45,100
commit40--commit41,94.43,98.75816993,86.45,100
commit41--commit42,96.47,99.21568627,86.45,100
commit42--commit43,97.95,99.54248366,86.45,100
commit43--commit44,92.11,97.90849673,86.45,100
commit44--commit45,96.77,99.28104575,86.45,100
commit45--commit46,94.43,98.75816993,86.45,100
commit46--commit47,96.19,98.75816993,86.45,100
commit47--commit48,95.89,99.08496732,86.45,100
commit48--commit49,93.86,98.62745098,86.45,100
commit49--commit50,94.44,98.43137255,86.45,100
commit50--commit51,95.6,99.01960784,86.45,100
commit51--commit52,92.38,98.30065359,86.45,100
commit52--commit53,97.65,99.47712418,86.45,100
commit53--commit54,95.32,98.5620915,86.45,100
commit54--commit55,90.64,97.58957655,84.69,99.46495452
commit55--commit56,94.74,98.83116883,84.82,100
commit56--commit57,96.5,99.22077922,84.82,100
commit57--commit58,96.78,99.28571429,84.82,100
commit58--commit59,98.25,99.22077922,84.82,100
commit59--commit60,94.17,98.7012987,84.82,100
commit60--commit61,96.8,98.76783398,77.05,96.83985003
commit61--commit62,95.35,98.96373057,88.75,100
commit62--commit63,92.73,98.38082902,88.75,100
commit63--commit64,96.52,99.22279793,88.75,100
