,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,0.0,0.0,88.34,100.0
commit2--commit4,0.0,0.0,88.34,100.0
commit3--commit5,0.0,0.0,85.48,98.0243161094225
commit4--commit6,0.0,0.0,85.48,98.0243161094225
commit5--commit7,0.0,0.0,89.62,100.0
commit6--commit8,0.0,0.0,89.62,100.0
commit7--commit9,0.0,0.0,89.62,100.0
commit8--commit10,0.0,0.0,89.62,100.0
commit9--commit11,0.0,0.0,89.62,100.0
commit10--commit12,0.0,0.0,89.18,98.22154471544715
commit11--commit13,0.0,0.0,89.18,98.22154471544715
commit12--commit14,0.0,0.0,86.59,98.51129363449692
commit13--commit15,0.0,0.0,86.59,98.51129363449692
commit14--commit16,0.0,0.0,92.05,99.79274611398964
commit15--commit17,0.0,0.0,92.05,99.79274611398964
commit16--commit18,0.0,0.0,91.59,99.74133471288154
commit17--commit19,0.0,0.0,91.59,99.74133471288154
commit18--commit20,0.0,0.0,91.85,99.84520123839009
commit19--commit21,0.0,0.0,91.85,99.84520123839009
commit20--commit22,0.0,0.0,83.66,94.3711967545639
commit21--commit23,0.0,0.0,84.16,94.3711967545639
commit22--commit24,0.0,0.0,92.87,99.75099601593625
commit23--commit25,0.0,0.0,80.56,95.38919186911255
commit24--commit26,0.0,0.0,80.18,95.49727857496289
commit25--commit27,0.0,0.0,90.43,99.75429975429975
commit26--commit28,0.0,0.0,90.43,99.75429975429975
commit27--commit29,0.0,0.0,88.61,97.48134328358209
commit28--commit30,0.0,0.0,88.61,97.48134328358209
commit29--commit31,0.0,0.0,88.04,98.95738893925657
commit30--commit32,0.0,0.0,88.04,98.95738893925657
commit31--commit33,0.0,0.0,86.6,98.03742583295299
commit32--commit34,0.0,0.0,86.6,98.03742583295299
commit33--commit35,0.0,0.0,89.19,100.0
commit34--commit36,0.0,0.0,89.19,100.0
commit35--commit37,0.0,0.0,89.19,100.0
commit36--commit38,0.0,0.0,89.19,100.0
commit37--commit39,0.0,0.0,89.19,100.0
commit38--commit40,0.0,0.0,89.19,100.0
