,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,87.27,96.88149688149687,0.0,0.0
commit2--commit3,90.51,97.61038961038962,0.0,0.0
commit3--commit4,92.13,98.12987012987013,0.0,0.0
commit4--commit5,89.84,97.71309771309771,0.0,0.0
commit5--commit6,86.87,96.72727272727273,0.0,0.0
commit6--commit7,81.67,95.27027027027027,0.0,0.0
commit7--commit8,93.98,98.59594383775351,0.0,0.0
commit8--commit9,87.73,96.8798751950078,0.0,0.0
commit9--commit10,91.44,98.02392095683827,0.0,0.0
commit10--commit11,98.15,99.47997919916797,0.0,0.0
commit11--commit12,92.36,98.23192927717108,0.0,0.0
commit12--commit13,87.96,97.13988559542382,0.0,0.0
commit13--commit14,94.68,98.23100936524453,0.0,0.0
commit14--commit15,92.15,98.1789802289282,0.0,0.0
commit15--commit16,91.92,97.91991679667187,0.0,0.0
commit16--commit17,86.61,96.8278731149246,0.0,0.0
commit17--commit18,90.99,97.7627471383975,0.0,0.0
commit18--commit19,96.53,99.11596463858554,0.0,0.0
commit19--commit20,89.84,97.34789391575663,0.0,0.0
commit20--commit21,89.84,97.50778816199377,0.0,0.0
commit21--commit22,91.3,97.41868869385648,0.0,0.0
commit22--commit23,92.92,98.40534979423869,0.0,0.0
commit23--commit24,91.55,97.34558448187852,0.0,0.0
commit24--commit25,94.16,98.68287740628166,0.0,0.0
commit25--commit26,92.79,98.37892603850051,0.0,0.0
commit26--commit27,86.29,96.1635537607269,0.0,0.0
commit27--commit28,89.26,97.53521126760563,0.0,0.0
commit28--commit29,91.52,97.98691494715652,0.0,0.0
commit29--commit30,92.44,97.98590130916415,0.0,0.0
commit30--commit31,89.76,97.53521126760563,0.0,0.0
commit31--commit32,86.0,96.73202614379085,0.0,0.0
commit32--commit33,92.22,98.19004524886877,0.0,0.0
commit33--commit34,92.89,98.0392156862745,0.0,0.0
commit34--commit35,93.99,98.59154929577466,0.0,0.0
commit35--commit36,97.33,99.3963782696177,0.0,0.0
commit36--commit37,92.2,98.19004524886877,0.0,0.0
commit37--commit38,89.56,97.53645047762694,0.0,0.0
commit38--commit39,88.91,97.48490945674044,0.0,0.0
commit39--commit40,90.0,97.68728004022121,0.0,0.0
commit40--commit41,95.32,98.94472361809046,0.0,0.0
commit41--commit42,92.0,98.08949220713926,0.0,0.0
commit42--commit43,98.67,99.69818913480886,0.0,0.0
commit43--commit44,90.2,97.73755656108597,0.0,0.0
commit44--commit45,95.77,98.94419306184012,0.0,0.0
commit45--commit46,88.64,97.43460764587525,0.0,0.0
commit46--commit47,90.47,97.83702213279678,0.0,0.0
commit47--commit48,90.0,97.68728004022121,0.0,0.0
commit48--commit49,93.32,98.49246231155779,0.0,0.0
commit49--commit50,89.76,97.1342383107089,0.0,0.0
commit50--commit51,88.64,97.43460764587525,0.0,0.0
commit51--commit52,93.99,98.64185110663985,0.0,0.0
commit52--commit53,93.78,98.54198089492208,0.0,0.0
commit53--commit54,91.09,97.88838612368023,0.0,0.0
commit54--commit55,91.56,97.89156626506023,0.0,0.0
commit55--commit56,87.36,97.0956434651978,0.0,0.0
commit56--commit57,95.12,98.8988988988989,0.0,0.0
commit57--commit58,91.78,97.46520874751491,0.0,0.0
commit58--commit59,93.23,98.46989141164858,0.0,0.0
commit59--commit60,95.85,99.06219151036525,0.0,0.0
commit60--commit61,94.55,98.76604146100692,0.0,0.0
commit61--commit62,97.37,99.40769990128332,0.0,0.0
