,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,90.51,97.76623376623377,89.19,100.0
commit2--commit4,93.3,98.44155844155844,89.19,100.0
commit3--commit5,85.45,96.72557172557173,89.19,100.0
commit4--commit6,93.98,98.54545454545455,89.19,100.0
commit5--commit7,90.0,97.03588143525741,88.54,98.0492336274965
commit6--commit8,86.28,96.20582120582121,88.54,98.0492336274965
commit7--commit9,88.19,96.98387935517421,90.87,100.0
commit8--commit10,91.2,97.81591263650546,90.87,100.0
commit9--commit11,94.68,98.8045738045738,90.87,100.0
commit10--commit12,90.51,97.55590223608944,90.87,100.0
commit11--commit13,90.76,97.50390015600624,90.87,100.0
commit12--commit14,88.66,97.34789391575663,90.87,100.0
commit13--commit15,88.89,97.45189807592304,90.2,99.76076555023924
commit14--commit16,92.86,98.12695109261186,90.2,99.76076555023924
commit15--commit17,92.38,98.17992719708788,90.89,100.0
commit16--commit18,94.23,98.69927159209158,84.54,91.95979899497488
commit17--commit19,88.89,97.19188767550702,84.54,91.95979899497488
commit18--commit20,90.74,97.86791471658867,85.4,100.0
commit19--commit21,89.63,97.45850622406638,85.48,98.37362637362638
commit20--commit22,94.23,98.13857290589452,85.48,98.15950920245399
commit21--commit23,92.63,97.98865394533264,85.86,99.69176574196389
commit22--commit24,89.47,96.93564862104188,86.86,93.91377852916314
commit23--commit25,88.36,96.22256253190403,86.86,93.91377852916314
commit24--commit26,87.64,97.16168271667512,82.62,100.0
commit25--commit27,92.15,97.82828282828284,81.89,99.43181818181817
commit26--commit28,91.69,97.37506309944473,81.3,95.7205559619605
commit27--commit29,89.78,97.58551307847083,82.17,96.100583090379
commit28--commit30,89.78,97.28370221327968,72.5,100.0
commit29--commit31,87.72,96.93158953722335,72.5,99.93368700265252
commit30--commit32,89.49,97.33534439416792,72.5,99.93368700265252
commit31--commit33,91.98,98.13976872800401,72.54,100.0
commit32--commit34,88.69,97.33534439416792,72.54,100.0
commit33--commit35,93.56,98.54271356783919,72.54,100.0
commit34--commit36,93.57,98.23943661971832,72.54,100.0
commit35--commit37,89.78,96.98340874811463,72.54,100.0
commit36--commit38,94.46,98.74245472837022,72.54,100.0
commit37--commit39,89.14,97.53521126760563,72.54,100.0
commit38--commit40,92.46,97.93762575452716,72.54,100.0
commit39--commit41,92.46,98.24032176973353,72.54,100.0
commit40--commit42,90.02,97.7364185110664,72.54,100.0
commit41--commit43,93.11,98.44221105527639,72.54,100.0
commit42--commit44,91.57,98.08853118712274,72.54,100.0
commit43--commit45,93.56,98.54271356783919,72.54,100.0
commit44--commit46,88.84,97.43589743589743,72.54,100.0
commit45--commit47,93.1,98.44221105527639,72.54,100.0
commit46--commit48,93.76,98.49170437405732,72.54,100.0
commit47--commit49,90.67,97.8894472361809,72.54,100.0
commit48--commit50,90.44,97.73755656108597,72.54,100.0
commit49--commit51,90.65,97.8894472361809,72.54,100.0
commit50--commit52,87.97,97.28643216080401,72.54,100.0
commit51--commit53,88.67,97.33534439416792,72.39,99.90056347364931
commit52--commit54,90.22,97.33534439416792,72.39,99.90056347364931
commit53--commit55,96.21,98.89613647767185,72.39,99.83449189010261
commit54--commit56,92.87,98.14350225790265,72.39,99.83449189010261
commit55--commit57,92.7,98.34834834834835,72.47,100.0
commit56--commit58,87.39,96.36996519144704,70.62,93.25337331334332
commit57--commit59,92.67,97.31610337972168,69.95,93.45794392523365
commit58--commit60,93.03,98.41897233201581,83.85,93.15181518151815
commit59--commit61,89.98,97.48148148148148,84.19,100.0
commit60--commit62,92.81,98.32098765432099,84.19,100.0
