,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,91.67,98.14814815,88.54,100
commit2--commit4,96.43,99.20634921,88.54,100
commit3--commit5,91.57,95.86563307,78.12,94.9339207
commit4--commit6,87.95,94.83204134,78.12,94.9339207
commit5--commit7,96.55,99.24242424,87.25,100
commit6--commit8,96.55,99.24242424,87.25,100
commit7--commit9,95.4,98.98989899,87.25,100
commit8--commit10,89.66,97.22222222,87.25,100
commit9--commit11,98.85,98.50374065,73.53,94.9044586
commit10--commit12,93.02,97.25685786,73.53,94.9044586
commit11--commit13,88.64,97.53694581,88.35,100
commit12--commit14,98.86,99.75369458,88.35,100
commit13--commit15,100,100,88.35,100
commit14--commit16,96.59,97.57869249,88.35,98.54469854
commit15--commit17,77.27,92.7184466,79.21,95.761079
commit16--commit18,80.22,94.03341289,78.85,96.57794677
commit17--commit19,86.81,96.88995215,75.81,100
commit18--commit20,84.78,96.19047619,79.75,77.59433962
commit19--commit21,83.52,94.76190476,79.75,77.59433962
commit20--commit22,83.87,96.44549763,100,100
commit21--commit23,88.17,97.39336493,100,100
commit22--commit24,92.47,97.64705882,90.74,76.04938272
commit23--commit25,85.87,96.23529412,90.74,76.04938272
commit24--commit26,88.3,97.42990654,88.7,100
commit25--commit27,79.79,95.09345794,88.7,100
commit26--commit28,80.85,95.56074766,88.7,100
commit27--commit29,73.49,85.60794045,76.04,91.09730849
