,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,93.65333333,98.41269841,88.54,100
commit2--commit3,95.63666667,99.02998236,88.54,100
commit3--commit4,95.63666667,98.85361552,88.54,100
commit4--commit5,89.15666667,95.17657192,78.12,94.9339207
commit5--commit6,93.10666667,98.31649832,87.25,100
commit6--commit7,97.31666667,99.41077441,87.25,100
commit7--commit8,97.31666667,99.41077441,87.25,100
commit8--commit9,94.63666667,98.82154882,87.25,100
commit9--commit10,92.72,98.14814815,87.25,100
commit10--commit11,95.38333333,97.67248545,73.53,94.9044586
commit11--commit12,91.33333333,98.02955665,88.35,100
commit12--commit13,94.73,98.85057471,88.35,100
commit13--commit14,95.84,99.09688013,88.35,100
commit14--commit15,94.74333333,98.85057471,88.35,100
commit15--commit16,93.94,97.01372074,88.35,98.54469854
commit16--commit17,71.79333333,92.04455052,78.85,96.57794677
commit17--commit18,84.06,96.41148325,75.81,100
commit18--commit19,84.73,96.49122807,75.81,100
commit19--commit20,79.25666667,95,79.75,77.59433962
commit20--commit21,86.97333333,97.1563981,100,100
commit21--commit22,86.69333333,96.91943128,100,100
commit22--commit23,86.02333333,96.84044234,100,100
commit23--commit24,85.66333333,96,90.74,76.04938272
commit24--commit25,85.39333333,96.57320872,88.7,100
commit25--commit26,85.76333333,96.57320872,88.7,100
commit26--commit27,82.27,96.02803738,88.7,100
commit27--commit28,86.43666667,97.04049844,88.7,100
commit28--commit29,83.53333333,87.17948718,76.04,91.09730849
