,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,88.1,97.35449735449735,88.54,100.0
commit2--commit4,89.29,97.08994708994709,88.54,100.0
commit3--commit5,95.18,96.64082687338501,78.12,94.93392070484582
commit4--commit6,98.8,97.41602067183463,78.12,94.93392070484582
commit5--commit7,93.1,98.48484848484848,87.25,100.0
commit6--commit8,100.0,100.0,87.25,100.0
commit7--commit9,91.95,98.23232323232324,87.25,100.0
commit8--commit10,98.85,99.74747474747475,87.25,100.0
commit9--commit11,90.8,96.25935162094763,73.53,94.90445859872611
commit10--commit12,90.8,96.50872817955111,73.53,94.90445859872611
commit11--commit13,97.75,99.50738916256158,88.35,100.0
commit12--commit14,92.13,97.78325123152709,88.35,100.0
commit13--commit15,93.26,98.52216748768473,88.35,100.0
commit14--commit16,86.36,95.15738498789347,88.35,98.54469854469853
commit15--commit17,63.64,89.56310679611651,79.21,95.76107899807323
commit16--commit18,89.01,95.94272076372316,78.85,96.57794676806084
commit17--commit19,83.7,96.41148325358851,75.81,100.0
commit18--commit20,76.09,93.80952380952381,79.75,77.59433962264151
commit19--commit21,83.52,95.95238095238095,79.75,77.59433962264151
commit20--commit22,77.42,94.7867298578199,100.0,100.0
commit21--commit23,82.8,95.73459715639811,100.0,100.0
commit22--commit24,87.1,96.47058823529412,90.74,76.04938271604938
commit23--commit25,78.49,94.58823529411765,90.74,76.04938271604938
commit24--commit26,95.74,99.06542056074767,88.7,100.0
commit25--commit27,89.36,97.66355140186917,88.7,100.0
commit26--commit28,88.3,97.42990654205607,88.7,100.0
commit27--commit29,86.75,86.848635235732,76.04,91.09730848861284
