,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,97.41,99.33209647495362,98.33,100.0
commit2--commit3,91.42,97.92207792207792,98.33,100.0
commit3--commit4,91.59,98.06978470675575,98.33,100.0
commit4--commit5,94.35,98.62657757980698,98.33,100.0
commit5--commit6,90.31,97.7728285077951,98.33,100.0
commit6--commit7,90.29,97.69944341372913,98.33,100.0
commit7--commit8,96.13,98.85014836795251,97.77,99.59935897435898
commit8--commit9,91.42,98.03412462908013,98.33,100.0
commit9--commit10,98.22,99.55489614243324,97.21,99.59935897435898
commit10--commit11,89.53,97.29128014842301,97.77,99.59935897435898
commit11--commit12,92.08,98.14402375649591,97.21,99.59935897435898
commit12--commit13,92.73,98.06978470675575,97.77,99.59935897435898
commit13--commit14,91.1,97.84786641929499,98.33,100.0
commit14--commit15,92.23,98.1454005934718,98.33,100.0
commit15--commit16,92.71,98.33086053412462,98.33,100.0
commit16--commit17,96.43,99.10946196660483,98.33,100.0
commit17--commit18,90.32,97.73570898292502,98.33,100.0
commit18--commit19,92.88,98.29313543599257,98.33,100.0
commit19--commit20,98.38,99.59183673469387,98.33,100.0
commit20--commit21,88.51,97.06864564007421,98.33,100.0
commit21--commit22,89.82,97.58902077151336,98.33,100.0
commit22--commit23,96.43,99.1839762611276,98.33,100.0
commit23--commit24,94.83,98.51576994434137,98.33,100.0
commit24--commit25,95.0,98.84929472902748,98.33,100.0
commit25--commit26,96.12,99.10913140311804,98.33,100.0
commit26--commit27,93.84,98.55233853006682,98.33,100.0
commit27--commit28,88.67,97.21913236929922,98.33,99.91980753809142
commit28--commit29,95.48,98.88888888888889,98.33,100.0
commit29--commit30,97.1,99.25898480918859,98.33,100.0
commit30--commit31,90.29,97.66580214894405,98.33,100.0
commit31--commit32,94.03,98.59207113745832,98.33,100.0
commit32--commit33,93.72,98.48035581912528,98.33,100.0
commit33--commit34,97.58,99.44403261675315,98.33,100.0
commit34--commit35,88.85,97.33234531307892,98.33,100.0
commit35--commit36,92.58,98.25925925925925,98.33,100.0
commit36--commit37,97.42,99.4074074074074,98.33,100.0
commit37--commit38,97.74,99.48148148148148,98.33,100.0
