,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,90.16,97.6252319109462,0.0,0.0
commit2--commit4,94.83,98.81217520415738,0.0,0.0
commit3--commit5,99.19,99.81454005934718,0.0,0.0
commit4--commit6,92.56,98.21892393320965,0.0,0.0
commit5--commit7,96.77,99.18367346938776,0.0,0.0
commit6--commit8,98.06,99.51762523191094,0.0,0.0
commit7--commit9,94.01,98.55287569573284,0.0,0.0
commit8--commit10,91.11,97.58812615955473,0.0,0.0
commit9--commit11,94.98,98.85014836795251,0.0,0.0
commit10--commit12,95.32,98.92433234421365,0.0,0.0
commit11--commit13,92.88,98.03339517625231,0.0,0.0
commit12--commit14,95.31,98.88682745825604,0.0,0.0
commit13--commit15,90.29,97.66233766233766,0.0,0.0
commit14--commit16,97.58,99.44320712694878,0.0,0.0
commit15--commit17,90.31,97.73738872403561,0.0,0.0
commit16--commit18,89.82,97.51391465677179,0.0,0.0
commit17--commit19,94.35,98.66419294990723,0.0,0.0
commit18--commit20,98.22,99.5919881305638,0.0,0.0
commit19--commit21,96.6,99.10946196660483,0.0,0.0
commit20--commit22,90.31,97.69944341372913,0.0,0.0
commit21--commit23,98.55,99.66617210682493,0.0,0.0
commit22--commit24,99.68,99.92576095025983,0.0,0.0
commit23--commit25,90.31,97.73654916512059,0.0,0.0
commit24--commit26,90.61,97.84706755753525,0.0,0.0
commit25--commit27,94.34,98.66369710467706,0.0,0.0
commit26--commit28,93.87,98.47922848664689,0.0,0.0
commit27--commit29,95.32,98.77641824249166,0.0,0.0
commit28--commit30,90.48,97.81319495922905,0.0,0.0
commit29--commit31,94.52,98.70322341608004,0.0,0.0
commit30--commit32,94.83,98.5544848035582,0.0,0.0
commit31--commit33,98.22,99.51834012597259,0.0,0.0
commit32--commit34,96.13,99.03668025194517,0.0,0.0
commit33--commit35,93.56,98.51851851851852,0.0,0.0
commit34--commit36,90.15,97.74074074074073,0.0,0.0
commit35--commit37,95.16,98.85142645424231,0.0,0.0
commit36--commit38,91.77,97.96220822526863,0.0,0.0
commit37--commit39,95.81,98.96257873286403,0.0,0.0
commit38--commit40,89.0,97.47961452928095,0.0,0.0
commit39--commit41,95.96,98.88888888888889,0.0,0.0
commit40--commit42,97.57,99.33308632826973,0.0,0.0
commit41--commit43,91.45,97.99925898480919,0.0,0.0
commit42--commit44,90.97,97.66666666666667,0.0,0.0
commit43--commit45,90.48,97.4805483512412,0.0,0.0
commit44--commit46,94.03,98.59207113745832,0.0,0.0
commit45--commit47,95.32,98.70322341608004,0.0,0.0
commit46--commit48,97.73,99.37013708781029,0.0,0.0
commit47--commit49,97.9,99.51816160118607,0.0,0.0
commit48--commit50,93.04,98.4074074074074,0.0,0.0
commit49--commit51,99.35,99.85174203113417,0.0,0.0
commit50--commit52,97.73,99.29629629629629,0.0,0.0
commit51--commit53,91.45,98.0355819125278,0.0,0.0
commit52--commit54,96.28,99.03668025194517,0.0,0.0
commit53--commit55,94.2,98.59259259259258,0.0,0.0
commit54--commit56,90.48,97.6305072195483,0.0,0.0
commit55--commit57,97.27,99.3338267949667,0.0,0.0
commit56--commit58,94.35,98.59311366160681,0.0,0.0
commit57--commit59,94.35,98.63115057343693,0.0,0.0
commit58--commit60,96.61,99.22164566345441,0.0,0.0
commit59--commit61,93.72,98.5576923076923,0.0,0.0
commit60--commit62,92.42,98.18451278251204,0.0,0.0
commit61--commit63,95.33,98.9275147928994,0.0,0.0
commit62--commit64,93.4,98.40858623242042,0.0,0.0
commit63--commit65,94.05,98.59415464298927,0.0,0.0
commit64--commit66,96.47,99.14909359970403,0.0,0.0
commit65--commit67,99.19,99.81495188749075,0.0,0.0
commit66--commit68,95.82,99.0377498149519,0.0,0.0
commit67--commit69,95.18,98.81613022567518,0.0,0.0
commit68--commit70,95.16,98.88971132494449,0.0,0.0
commit69--commit71,97.59,99.44526627218934,0.0,0.0
commit70--commit72,92.73,98.14951887490747,0.0,0.0
commit71--commit73,98.55,99.55588452997779,0.0,0.0
commit72--commit74,90.51,97.66666666666667,0.0,0.0
commit73--commit75,98.55,99.59289415247964,0.0,0.0
commit74--commit76,89.32,97.40836727138097,0.0,0.0
commit75--commit77,94.19,98.59415464298927,0.0,0.0
commit76--commit78,90.19,97.669256381798,0.0,0.0
commit77--commit79,90.65,97.74074074074073,0.0,0.0
commit78--commit80,96.13,99.11176905995559,0.0,0.0
commit79--commit81,96.13,98.92632358385784,0.0,0.0
commit80--commit82,94.51,98.74167283493709,0.0,0.0
commit81--commit83,95.64,98.88930025916326,0.0,0.0
commit82--commit84,91.0,97.92746113989638,0.0,0.0
commit83--commit85,90.0,97.62962962962963,0.0,0.0
commit84--commit86,94.18,98.59259259259258,0.0,0.0
commit85--commit87,93.37,98.22419533851277,0.0,0.0
commit86--commit88,95.16,98.88806523350631,0.0,0.0
commit87--commit89,92.1,98.0392156862745,0.0,0.0
commit88--commit90,93.86,98.22288041466123,0.0,0.0
commit89--commit91,96.77,99.18608953015169,0.0,0.0
commit90--commit92,93.72,98.18719940806511,0.0,0.0
commit91--commit93,93.87,98.52016278209396,0.0,0.0
commit92--commit94,97.27,99.29707732149463,0.0,0.0
commit93--commit95,99.68,99.85185185185185,0.0,0.0
commit94--commit96,94.03,98.5207100591716,0.0,0.0
commit95--commit97,92.73,98.14883376527213,0.0,0.0
commit96--commit98,87.9,97.11431742508324,0.0,0.0
commit97--commit99,90.32,97.7810650887574,0.0,0.0
commit98--commit100,90.65,97.85344189489267,0.0,0.0
commit99--commit101,98.06,99.55621301775149,0.0,0.0
commit100--commit102,90.5,97.81643227239081,0.0,0.0
commit101--commit103,94.52,98.63064396743152,0.0,0.0
commit102--commit104,95.17,98.88971132494449,0.0,0.0
commit103--commit105,96.14,99.00037023324695,0.0,0.0
commit104--commit106,95.17,98.88971132494449,0.0,0.0
commit105--commit107,94.68,98.70514243433223,0.0,0.0
commit106--commit108,93.89,98.33579881656804,0.0,0.0
commit107--commit109,91.28,97.74575018477456,0.0,0.0
commit108--commit110,94.86,98.74353288987436,0.0,0.0
commit109--commit111,92.27,97.96597633136095,0.0,0.0
commit110--commit112,95.18,98.85439763488544,0.0,0.0
commit111--commit113,93.71,98.40976331360946,0.0,0.0
commit112--commit114,92.57,98.07621161672216,0.0,0.0
commit113--commit115,96.14,98.92909896602659,0.0,0.0
commit114--commit116,94.51,98.74074074074073,0.0,0.0
commit115--commit117,95.97,99.0395271518286,0.0,0.0
commit116--commit118,93.06,98.33271582067432,0.0,0.0
commit117--commit119,91.29,98.00443458980045,0.0,0.0
