,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,84.95,95.7943925233645,88.6,99.23954372623575
commit2--commit4,91.3,97.19626168224299,88.6,99.23954372623575
commit3--commit5,88.17,97.42990654205607,88.7,100.0
commit4--commit6,84.04,95.7943925233645,88.7,100.0
commit5--commit7,87.1,97.19626168224299,88.7,100.0
commit6--commit8,93.62,98.13084112149532,88.7,100.0
commit7--commit9,92.47,98.36448598130842,88.7,100.0
commit8--commit10,76.6,94.39252336448598,88.7,100.0
commit9--commit11,78.72,95.32710280373831,88.7,100.0
commit10--commit12,76.6,94.85981308411215,88.7,100.0
commit11--commit13,78.26,94.19953596287704,88.7,99.62121212121212
commit12--commit14,77.17,94.43155452436194,88.7,99.62121212121212
commit13--commit15,93.62,97.92626728110599,88.79,100.0
commit14--commit16,95.74,99.07834101382488,88.79,100.0
commit15--commit17,88.3,97.00460829493088,88.79,100.0
commit16--commit18,91.4,97.26027397260275,87.83,98.88682745825604
commit17--commit19,88.3,96.57534246575342,87.83,98.88682745825604
commit18--commit20,81.25,95.92760180995475,87.39,100.0
commit19--commit21,87.37,97.28506787330316,87.39,100.0
commit20--commit22,82.11,96.15384615384616,87.39,100.0
commit21--commit23,89.47,97.05882352941177,87.39,100.0
commit22--commit24,86.32,97.05882352941177,87.39,100.0
commit23--commit25,82.29,96.15384615384616,87.39,100.0
commit24--commit26,87.37,97.28506787330316,87.39,100.0
commit25--commit27,79.17,95.47511312217195,87.39,100.0
commit26--commit28,76.84,95.02262443438913,87.39,100.0
commit27--commit29,87.37,97.28506787330316,87.39,100.0
commit28--commit30,83.16,96.38009049773756,87.39,100.0
commit29--commit31,97.89,99.5475113122172,87.39,100.0
commit30--commit32,88.42,96.5986394557823,75.95,78.73303167420815
commit31--commit33,86.32,96.14512471655328,75.95,78.73303167420815
commit32--commit34,68.09,91.38321995464852,84.91,90.60402684563759
commit33--commit35,69.15,92.29024943310658,84.91,90.60402684563759
commit34--commit36,92.71,98.4162895927602,96.0,100.0
commit35--commit37,91.58,98.19004524886877,96.0,100.0
commit36--commit38,86.32,96.60633484162896,96.0,100.0
