,ACDC,,,FCA,,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,100.0,100.0,93.37,100.0
commit2--commit4,98.62,95.80318379160637,91.37,95.67147613762485
commit3--commit5,94.48,94.93487698986975,91.37,95.67147613762485
commit4--commit6,98.11,99.58217270194986,91.54,100.0
commit5--commit7,99.37,99.86072423398329,91.54,100.0
commit6--commit8,98.73,99.72144846796658,91.54,100.0
commit7--commit9,95.57,99.025069637883,91.54,100.0
commit8--commit10,96.84,99.30362116991644,91.54,100.0
commit9--commit11,94.3,98.74651810584957,91.54,100.0
commit10--commit12,98.74,99.72144846796658,91.54,100.0
commit11--commit13,98.73,99.72144846796658,91.54,100.0
commit12--commit14,97.47,99.44289693593315,91.54,100.0
commit13--commit15,96.86,99.30362116991644,91.54,100.0
commit14--commit16,93.71,98.60724233983287,91.54,100.0
commit15--commit17,97.48,99.44289693593315,91.54,100.0
commit16--commit18,95.57,99.025069637883,91.54,100.0
commit17--commit19,97.47,99.44289693593315,91.54,100.0
commit18--commit20,98.1,99.58217270194986,91.54,100.0
commit19--commit21,96.86,99.30362116991644,91.54,100.0
commit20--commit22,98.1,99.58217270194986,91.54,100.0
commit21--commit23,96.2,99.16434540389972,91.54,100.0
commit22--commit24,99.37,99.86072423398329,91.54,100.0
commit23--commit25,97.47,99.44289693593315,91.54,100.0
commit24--commit26,98.73,99.72144846796658,91.54,100.0
commit25--commit27,91.82,98.18941504178274,91.54,100.0
commit26--commit28,98.73,99.72144846796658,91.54,100.0
commit27--commit29,93.04,98.46796657381616,91.54,100.0
commit28--commit30,98.1,99.58217270194986,91.54,100.0
commit29--commit31,93.67,98.60724233983287,91.54,100.0
commit30--commit32,96.23,99.16434540389972,91.54,100.0
commit31--commit33,96.2,99.16434540389972,91.54,100.0
commit32--commit34,98.1,99.58217270194986,91.54,100.0
commit33--commit35,96.2,99.16434540389972,91.54,100.0
commit34--commit36,96.6,95.36903039073806,92.86,95.67147613762485
commit35--commit37,100.0,100.0,90.05,99.67105263157895
commit36--commit38,95.89,95.22431259044862,89.85,95.338512763596
commit37--commit39,96.84,99.30362116991644,93.53,100.0
commit38--commit40,94.3,98.74651810584957,93.53,100.0
commit39--commit41,97.95,95.65846599131693,91.21,95.338512763596
commit40--commit42,95.89,95.22431259044862,91.21,95.338512763596
commit41--commit43,95.86,95.22431259044862,89.85,95.338512763596
commit42--commit44,98.62,95.80318379160637,89.85,95.338512763596
commit43--commit45,96.86,99.30362116991644,93.53,100.0
commit44--commit46,98.1,99.58217270194986,93.53,100.0
commit45--commit47,99.37,99.86072423398329,93.53,100.0
commit46--commit48,97.47,99.44289693593315,93.53,100.0
commit47--commit49,93.88,94.79015918958031,91.21,95.338512763596
commit48--commit50,98.74,99.72144846796658,93.53,100.0
commit49--commit51,97.95,95.65846599131693,89.85,95.338512763596
