,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,92.42,98.33333333333333,88.38,100.0
commit2--commit3,97.63,99.47916666666666,88.38,100.0
commit3--commit4,96.19,98.4488107549121,88.3,99.53271028037383
commit4--commit5,98.12,99.58932238193019,88.34,100.0
commit5--commit6,91.98,98.25462012320328,87.99,99.9219968798752
commit6--commit7,92.86,97.72492244053774,88.3,99.53271028037383
commit7--commit8,94.74,98.13857290589452,88.3,99.53271028037383
commit8--commit9,95.24,98.2419855222337,88.3,99.53271028037383
commit9--commit10,95.69,98.3453981385729,88.3,99.53271028037383
commit10--commit11,94.84,98.870636550308,88.34,100.0
commit11--commit12,97.62,98.75904860392967,88.3,99.53271028037383
commit12--commit13,98.58,98.96587383660807,88.3,99.53271028037383
commit13--commit14,100.0,99.27611168562565,88.3,99.53271028037383
commit14--commit15,100.0,99.27611168562565,88.3,99.53271028037383
commit15--commit16,94.76,98.13857290589452,88.3,99.53271028037383
commit16--commit17,93.84,97.93174767321614,88.3,99.53271028037383
commit17--commit18,95.24,98.2419855222337,88.3,99.53271028037383
commit18--commit19,91.43,97.41468459152016,88.3,99.53271028037383
commit19--commit20,96.17,98.4488107549121,88.3,99.53271028037383
commit20--commit21,91.47,97.41468459152016,88.3,99.53271028037383
commit21--commit22,93.33,97.82833505687694,88.3,99.53271028037383
commit22--commit23,96.67,98.55222337125129,88.3,99.53271028037383
commit23--commit24,92.38,97.62150982419855,88.3,99.53271028037383
commit24--commit25,92.86,98.4375,88.38,100.0
commit25--commit26,100.0,99.27611168562565,88.3,99.53271028037383
commit26--commit27,94.81,98.870636550308,88.34,100.0
commit27--commit28,95.31,98.97330595482546,88.34,100.0
commit28--commit29,96.17,98.4488107549121,88.3,99.53271028037383
commit29--commit30,92.89,97.72492244053774,88.3,99.53271028037383
commit30--commit31,100.0,99.27611168562565,88.3,99.53271028037383
commit31--commit32,96.19,98.4488107549121,88.3,99.53271028037383
commit32--commit33,99.53,99.89733059548254,87.63,99.68774395003904
commit33--commit34,81.78,94.80122324159022,56.93,89.16728076639646
commit34--commit35,78.04,93.98572884811416,55.12,88.8402625820569
commit35--commit36,72.56,91.93548387096774,57.95,88.06941431670282
commit36--commit37,86.82,96.41076769690928,68.97,92.44505494505495
commit37--commit38,88.13,95.61316051844466,81.33,92.44505494505495
commit38--commit39,86.49,96.93069306930693,86.15,100.0
commit39--commit40,87.84,96.63366336633663,86.15,100.0
commit40--commit41,84.02,95.61316051844466,70.22,92.78350515463917
commit41--commit42,89.95,96.11166500498504,82.59,92.78350515463917
commit42--commit43,87.0,97.12871287128712,86.15,100.0
commit43--commit44,94.62,98.21782178217822,86.15,100.0
commit44--commit45,91.48,97.82178217821782,86.15,100.0
commit45--commit46,92.27,97.00897308075773,70.22,92.78350515463917
commit46--commit47,94.57,97.40777666999003,82.59,92.78350515463917
commit47--commit48,89.19,97.02970297029702,86.15,100.0
commit48--commit49,90.91,97.10867397806581,70.22,92.78350515463917
commit49--commit50,98.18,99.59839357429718,88.2,100.0
commit50--commit51,90.0,97.18875502008032,88.2,100.0
commit51--commit52,87.73,97.28915662650603,88.2,100.0
commit52--commit53,94.09,97.30807577268196,82.59,92.78350515463917
commit53--commit54,91.03,97.82178217821782,86.15,100.0
commit54--commit55,87.44,97.22772277227722,86.15,100.0
commit55--commit56,94.17,98.51485148514851,86.15,100.0
commit56--commit57,89.29,96.73267326732673,85.54,99.93131868131869
commit57--commit58,86.1,96.83168316831683,86.11,100.0
commit58--commit59,96.43,99.00990099009901,86.11,100.0
commit59--commit60,97.77,99.00990099009901,86.11,100.0
commit60--commit61,91.48,97.52475247524752,86.11,100.0
commit61--commit62,88.29,96.54491609081934,84.57,99.51956074124915
commit62--commit63,88.39,97.44094488188976,84.66,100.0
commit63--commit64,86.61,96.45669291338582,84.66,100.0
commit64--commit65,94.2,98.33333333333333,82.26,97.29916897506925
commit65--commit66,93.78,98.6328125,79.87,97.78085991678225
commit66--commit67,94.69,98.828125,81.85,100.0
commit67--commit68,94.27,98.73046875,81.85,100.0
commit68--commit69,88.05,97.36328125,81.85,100.0
commit69--commit70,94.27,98.24732229795521,81.85,99.86282578875172
commit70--commit71,91.63,96.99612403100775,63.11,93.96551724137932
commit71--commit72,94.32,98.54932301740811,64.15,100.0
commit72--commit73,92.95,97.57986447241046,63.81,99.83212087297146
commit73--commit74,96.49,99.2248062015504,64.06,100.0
commit74--commit75,93.81,98.44961240310077,64.06,100.0
