,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release3,0.0,0.0,56.82,62.53776435045317
release2--release4,0.0,0.0,100.0,18.759936406995227
release3--release5,0.0,0.0,100.0,27.52562225475842
release4--release6,0.0,0.0,72.34,94.0552016985138
release5--release7,0.0,0.0,85.84,99.20159680638723
release6--release8,0.0,0.0,68.61,80.5111821086262
release7--release9,0.0,0.0,65.42,78.36767036450078
release8--release10,0.0,0.0,100.0,31.469979296066253
release9--release11,0.0,0.0,100.0,31.685849695328372
release10--release12,0.0,0.0,77.27,94.73333333333333
release11--release13,0.0,0.0,77.27,94.28571428571428
release12--release14,0.0,0.0,82.86,99.05719673161533
release13--release15,0.0,0.0,75.21,91.9864559819413
release14--release16,0.0,0.0,74.93,91.93002257336343
release15--release17,0.0,0.0,79.68,96.22960045019695
release16--release18,0.0,0.0,79.68,96.22747747747748
release17--release19,0.0,0.0,83.24,90.01601708489055
release18--release20,0.0,0.0,79.94,88.88317035512094
release19--release21,0.0,0.0,66.03,89.96960486322189
release20--release22,0.0,0.0,64.4,89.48226661231146
release21--release23,0.0,0.0,55.4,88.0639431616341
release22--release24,0.0,0.0,67.04,85.4733614411652
release23--release25,0.0,0.0,69.0,89.28965771071034
release24--release26,0.0,0.0,81.09,91.7470525187567
release25--release27,0.0,0.0,65.67,87.18037318590186
release26--release28,0.0,0.0,62.28,87.51279426816787
release27--release29,0.0,0.0,84.62,93.1454418928323
release28--release30,0.0,0.0,63.14,81.06451612903226
release29--release31,0.0,0.0,64.1,81.64902149502726
release30--release32,0.0,0.0,81.29,91.6028194912657
release31--release33,0.0,0.0,81.33,93.57466063348416
release32--release34,0.0,0.0,79.86,93.17721884937843
release33--release35,0.0,0.0,82.39,95.58737580362362
release34--release36,0.0,0.0,74.58,94.83414899401849
release35--release37,0.0,0.0,81.95,91.81453921007441
