,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0,0,63.79,74.36619718
release2--release3,0,0,82.09,81.62162162
release3--release4,0,0,100,18.84297521
release4--release5,0,0,72.34,94.0552017
release5--release6,0,0,85.84,99.60784314
release6--release7,0,0,85.9,99.6007984
release7--release8,0,0,67.29,79.90275527
release8--release9,0,0,91.52,98.14814815
release9--release10,0,0,100,31.6858497
release10--release11,0,0,87.95,100
release11--release12,0,0,77.27,94.73333333
release12--release13,0,0,82.86,99.05719673
release13--release14,0,0,85.23,100
release14--release15,0,0,75.21,91.98645598
release15--release16,0,0,83.94,99.84599589
release16--release17,0,0,80.37,96.39842431
release17--release18,0,0,91.24,99.62616822
release18--release19,0,0,83.48,89.95726496
release19--release20,0,0,82.07,97.91949344
release20--release21,0,0,69.86,91.63891972
release21--release22,0,0,63.96,94.74599861
release22--release23,0,0,69.17,90.40935673
release23--release24,0,0,80.27,90.66666667
release24--release25,0,0,82.49,93.62549801
release25--release26,0,0,85.58,97.9770735
release26--release27,0,0,68.03,88.47203274
release27--release28,0,0,87.6,95.69779643
release28--release29,0,0,83.36,95.54472677
release29--release30,0,0,64.44,81.76565008
release30--release31,0,0,89.81,94.85645933
release31--release32,0,0,81.91,96.44716692
release32--release33,0,0,81.33,93.84662956
release33--release34,0,0,88.23,97.20718153
release34--release35,0,0,77.4,96.216068
release35--release36,0,0,87.15,98.27346143
release36--release37,0,0,84.23,93.24822695
