,ACDC,,,FCA,,,,,,
index,MOJOFM,A2A,MOJOFM,A2A,,,,,,
release1--release2,75.86,77.10843373,69.51,79.76470588,70,2,,,,Æµ´Î
release2--release3,62.96,84.86352357,77.66,91.09730849,80,3,,,100-90,20
release3--release4,100,3.6900369,100,24.21652422,90,11,,,90-80,11
release4--release5,88.19,96.66666667,93.26,99.54751131,,20,,,80-70,3
release5--release6,92.47,97.74096386,93.3,99.5505618,,,,,<70,2
release6--release7,92.47,98.34337349,93.37,100,,,,,,
release7--release8,58.57,73.6453202,65.97,79.31985294,,,,,,
release8--release9,79.62,93.45603272,56.23,87.94740687,,,,,,
release9--release10,100,5.333333333,100,26.54735272,,,,,,
release10--release11,91.8,98.1884058,98.51,100,,,,,,
release11--release12,92.59,95.92559787,75.29,90.49586777,,,,,,
release12--release13,90.59,97.32988803,97.23,99.24874791,,,,,,
release13--release14,91.92,97.7739726,97.66,100,,,,,,
release14--release15,83.98,91.30787977,88.98,88.32448825,,,,,,
release15--release16,87.11,97.06563707,95.48,100,,,,,,
release16--release17,89.16,96.83885891,95.48,99.86072423,,,,,,
release17--release18,90.94,97.99691834,95.51,100,,,,,,
release18--release19,79.44,86.9809993,78.9,86.41900122,,,,,,
release19--release20,98.84,99.29078014,78.37,90.86694483,,,,,,
release20--release21,89.31,91.88370684,79.82,90.42889391,,,,,,
release21--release22,88.17,95.35673839,65.93,89.13153885,,,,,,
release22--release23,90.2,93.59181475,77.19,87.65490944,,,,,,
release23--release24,80.47,92.30379747,78.82,89.57106812,,,,,,
release24--release25,90.11,96.20068193,71.79,90.03294893,,,,,,
release25--release26,87.85,95.5618508,77.17,87.3814433,,,,,,
release26--release27,79.44,90.54680259,77.78,84.95798319,,,,,,
release27--release28,95.73,98.29571626,79.34,87.89110118,,,,,,
release28--release29,84.21,94.67749211,79.49,86.64806696,,,,,,
release29--release30,84.68,83.31987076,80,74.10788382,,,,,,
release30--release31,95.52,93.25426242,86.81,90.7504363,,,,,,
release31--release32,90.13,97.40740741,75.61,90.87878788,,,,,,
release32--release33,87.64,95.80265096,79.15,94.40233236,,,,,,
release33--release34,97.77,99.12408759,80.87,94.11172622,,,,,,
release34--release35,92.59,98.14814815,71.58,95.01210654,,,,,,
release35--release36,89.87,96.64864865,79.49,98.80208333,,,,,,
release36--release37,89.42,95.67358424,81.41,89.54771098,,,,,,
,,,,87.90327833,,,,,,
