,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0,0,95.68,99.82854694
release2--release3,0,0,95.17,93.61955874
release3--release4,0,0,83.38,72.79307408
release4--release5,0,0,83.22,94.23028471
release5--release6,0,0,87.32,97.13057768
release6--release7,0,0,72.51,83.81107114
release7--release8,0,0,85.61,93.06989089
release8--release9,0,0,74.36,91.60305344
release9--release10,0,0,66.2,84.43247722
release10--release11,0,0,83.13,92.33678523
release11--release12,0,0,68.68,83.6548686
release12--release13,0,0,84.77,94.07499347
release13--release14,0,0,87.54,96.7239085
release14--release15,0,0,89.52,100
release15--release16,0,0,62.03,88.44151565
release16--release17,0,0,80.93,100
release17--release18,0,0,66.94,83.48069461
release18--release19,0,0,86.14,89.20360275
release19--release20,0,0,86.8,42.77879342
release20--release21,0,0,64.9,85.55419999
release21--release22,0,0,76.95,92.18994064
release22--release23,0,0,86.47,89.12133891
release23--release24,0,0,90.7,88.52479677
release24--release25,0,0,94.75,99.98016398
release25--release26,0,0,81.74,87.18242713
release26--release27,0,0,93.81,99.9334221
release27--release28,0,0,93.88,99.87796084
release28--release29,0,0,90.39,93.08968947
release29--release30,0,0,94.36,99.98792708
release30--release31,0,0,77.6,87.84345975
release31--release32,0,0,78.2,99.9072431
release32--release33,0,0,86.45,93.12819551
release33--release34,0,0,92.31,99.98316687
release34--release35,0,0,90.6,88.27474091
release35--release36,0,0,75.16,91.52843034
release36--release37,0,0,81.4,96.70096579
release37--release38,0,0,87.22,90.01523664
release38--release39,0,0,97.12,99.61463278
release39--release40,0,0,97.33,99.95544168
release40--release41,0,0,85.4,87.30183005
release41--release42,0,0,90.94,99.62457178
release42--release43,0,0,88.77,90.19161008
release43--release44,0,0,97.52,99.99538405
release44--release45,0,0,80.89,94.19116772
release45--release46,0,0,65.26,93.18483552
release46--release47,0,0,82.06,92.64628082
release47--release48,0,0,92.21,99.66503972
release48--release49,0,0,92.8,99.99047075
release49--release50,0,0,70.9,91.34172785
release50--release51,0,0,89.93,100
release51--release52,0,0,89.87,93.52059543
release52--release53,0,0,96.69,99.99448854
release53--release54,0,0,96.69,99.9338843
release54--release55,0,0,93.07,90.65190006
release55--release56,0,0,84.29,91.90534476
release56--release57,0,0,75.84,93.09166543
release57--release58,0,0,95.21,94.44328127
release58--release59,0,0,96.31,99.90435614
release59--release60,0,0,96.47,99.98262154
release60--release61,0,0,96.22,99.86117137
release61--release62,0,0,89.28,92.13824791
release62--release63,0,0,70.85,89.44501988
release63--release64,0,0,89.14,93.55350066
release64--release65,0,0,91.36,99.25069965
release65--release66,0,0,91.51,100
release66--release67,0,0,91.72,99.71975089
release67--release68,0,0,91.81,100
release68--release69,0,0,91.81,99.96866887
release69--release70,0,0,76.58,90.16248284
release70--release71,0,0,77.03,92.48172642
release71--release72,0,0,77.05,90.39141712
release72--release73,0,0,85.59,99.9363781
release73--release74,0,0,85.61,99.9863785
release74--release75,0,0,85.64,100
,,,,93.54139967
