,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0.0,0.0,0.0,98.41772151898735
release2--release3,0.0,0.0,0.0,95.6723338485317
release3--release4,0.0,0.0,0.0,92.96636085626912
release4--release5,0.0,0.0,0.0,83.710407239819
release5--release6,0.0,0.0,0.0,92.06762028608583
release6--release7,0.0,0.0,0.0,96.62921348314607
release7--release8,0.0,0.0,0.0,91.14688128772636
release8--release9,0.0,0.0,0.0,72.42524916943522
release9--release10,0.0,0.0,0.0,100.0
release10--release11,0.0,0.0,0.0,95.67809239940388
release11--release12,0.0,0.0,0.0,100.0
release12--release13,0.0,0.0,0.0,94.09158050221565
release13--release14,0.0,0.0,0.0,100.0
release14--release15,0.0,0.0,0.0,100.0
release15--release16,0.0,0.0,0.0,100.0
release16--release17,0.0,0.0,0.0,96.74902470741222
release17--release18,0.0,0.0,0.0,94.05255878284923
release18--release19,0.0,0.0,0.0,63.4453781512605
release19--release20,0.0,0.0,0.0,73.98692810457517
release20--release21,0.0,0.0,0.0,85.66308243727599
release21--release22,0.0,0.0,0.0,94.22657952069717
release22--release23,0.0,0.0,0.0,88.80829015544042
release23--release24,0.0,0.0,0.0,100.0
release24--release25,0.0,0.0,0.0,88.70523415977961
release25--release26,0.0,0.0,0.0,83.92857142857143
release26--release27,0.0,0.0,0.0,98.06234203875316
release27--release28,0.0,0.0,0.0,94.05017921146953
release28--release29,0.0,0.0,0.0,100.0
release29--release30,0.0,0.0,0.0,92.63592567102546
release30--release31,0.0,0.0,0.0,82.08841463414635
release31--release32,0.0,0.0,0.0,82.08841463414635
release32--release33,0.0,0.0,0.0,83.33333333333334
release33--release34,0.0,0.0,0.0,93.15693430656934
release34--release35,0.0,0.0,0.0,69.98992950654582
release35--release36,0.0,0.0,0.0,100.0
release36--release37,0.0,0.0,0.0,91.64969450101833
release37--release38,0.0,0.0,0.0,90.76638965835642
release38--release39,0.0,0.0,0.0,85.76104746317512
release39--release40,0.0,0.0,0.0,98.14665592264303
release40--release41,0.0,0.0,0.0,86.78756476683938
release41--release42,0.0,0.0,0.0,92.11175020542316
release42--release43,0.0,0.0,0.0,89.29558011049724
release43--release44,0.0,0.0,0.0,94.42184776292854
release44--release45,0.0,0.0,0.0,86.91878487290762
release45--release46,0.0,0.0,0.0,93.68686868686868
release46--release47,0.0,0.0,0.0,99.90566037735849
release47--release48,0.0,0.0,0.0,18.411284335560506
release48--release49,0.0,0.0,0.0,100.0
release49--release50,0.0,0.0,0.0,99.27007299270073
release50--release51,0.0,0.0,0.0,97.56838905775076
release51--release52,0.0,0.0,0.0,89.31347150259067
release52--release53,0.0,0.0,0.0,86.95652173913044
release53--release54,0.0,0.0,0.0,98.95591647331786
release54--release55,0.0,0.0,0.0,94.37751004016064
release55--release56,0.0,0.0,0.0,99.88636363636364
release56--release57,0.0,0.0,0.0,95.31914893617022
release57--release58,0.0,0.0,0.0,79.9906933457422
release58--release59,0.0,0.0,0.0,94.27046263345196
release59--release60,0.0,0.0,0.0,98.47679773290825
release60--release61,0.0,0.0,0.0,96.4591439688716
release61--release62,0.0,0.0,0.0,99.35897435897436
release62--release63,0.0,0.0,0.0,91.88034188034187
release63--release64,0.0,0.0,0.0,99.12526242127362
release64--release65,0.0,0.0,0.0,100.0
release65--release66,0.0,0.0,0.0,93.74041116907027
release66--release67,0.0,0.0,0.0,99.83471074380165
release67--release68,0.0,0.0,0.0,100.0
release68--release69,0.0,0.0,0.0,86.57243816254416
release69--release70,0.0,0.0,0.0,100.0
release70--release71,0.0,0.0,0.0,96.20586025544704
release71--release72,0.0,0.0,0.0,92.88590604026845
release72--release73,0.0,0.0,0.0,99.84462399005594
release73--release74,0.0,0.0,0.0,99.35024752475248
release74--release75,0.0,0.0,0.0,89.77738722905683
release75--release76,0.0,0.0,0.0,78.26324412889132
release76--release77,0.0,0.0,0.0,99.8931909212283
release77--release78,0.0,0.0,0.0,91.64768413059986
release78--release79,0.0,0.0,0.0,100.0
release79--release80,0.0,0.0,0.0,99.92778045257583
release80--release81,0.0,0.0,0.0,96.17553321892622
release81--release82,0.0,0.0,0.0,100.0
release82--release83,0.0,0.0,0.0,93.48649928943628
release83--release84,0.0,0.0,0.0,86.54545454545455
release84--release85,0.0,0.0,0.0,96.09448082319925
release85--release86,0.0,0.0,0.0,99.89447024060784
release86--release87,0.0,0.0,0.0,99.95777027027027
release87--release88,0.0,0.0,0.0,99.4525163192251
release88--release89,0.0,0.0,0.0,98.84738527214513
release89--release90,0.0,0.0,0.0,95.01187648456057
