,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,95.86,99.0130014269859,0.0,0.0
commit2--commit4,95.88,98.933935719098,0.0,0.0
commit3--commit5,96.33,99.11213286297514,0.0,0.0
commit4--commit6,97.48,99.32617226207935,0.0,0.0
commit5--commit7,95.3,98.80296484204685,0.0,0.0
commit6--commit8,96.96,99.2706805660153,0.0,0.0
commit7--commit9,96.35,99.09249425378458,0.0,0.0
commit8--commit10,96.88,99.23528013313258,0.0,0.0
commit9--commit11,96.54,99.17971071923915,0.0,0.0
commit10--commit12,86.64,96.62245099980203,0.0,0.0
commit11--commit13,86.69,96.61479985746526,0.0,0.0
commit12--commit14,93.24,98.39762611275964,0.0,0.0
commit13--commit15,94.97,98.81343195032235,0.0,0.0
commit14--commit16,92.21,98.03386343856317,0.0,0.0
commit15--commit17,95.17,98.63913284278819,0.0,0.0
commit16--commit18,93.75,98.3860759493671,0.0,0.0
commit17--commit19,94.83,98.70222362902588,0.0,0.0
commit18--commit20,94.88,98.78564930184723,0.0,0.0
commit19--commit21,94.06,98.4771172026423,0.0,0.0
commit20--commit22,95.99,99.04660178811615,0.0,0.0
commit21--commit23,95.5,98.9519892430594,0.0,0.0
commit22--commit24,93.46,98.37446606549597,0.0,0.0
commit23--commit25,93.88,98.40999881343195,0.0,0.0
commit24--commit26,95.26,98.7897005893288,0.0,0.0
commit25--commit27,92.13,98.07380453268995,0.0,0.0
commit26--commit28,95.93,98.92018036547742,0.0,0.0
commit27--commit29,92.47,98.05852115460655,0.0,0.0
commit28--commit30,95.26,98.88489066392503,0.0,0.0
commit29--commit31,94.32,98.58843066703571,0.0,0.0
commit30--commit32,94.25,98.59232898378806,0.0,0.0
commit31--commit33,94.87,98.5685475898612,0.0,0.0
commit32--commit34,94.64,98.62033523086654,0.0,0.0
commit33--commit35,93.33,98.26863783698316,0.0,0.0
commit34--commit36,92.75,98.11156763590392,0.0,0.0
commit35--commit37,95.18,98.86597123439229,0.0,0.0
commit36--commit38,94.92,98.70052926771467,0.0,0.0
commit37--commit39,95.32,98.889986174205,0.0,0.0
commit38--commit40,95.27,98.84267488249002,0.0,0.0
commit39--commit41,93.83,98.42040832444813,0.0,0.0
commit40--commit42,94.9,98.63002882071933,0.0,0.0
commit41--commit43,94.79,98.59043708295495,0.0,0.0
commit42--commit44,93.94,98.4450232851843,0.0,0.0
commit43--commit45,93.29,98.3694579335939,0.0,0.0
commit44--commit46,94.65,98.66187731901792,0.0,0.0
commit45--commit47,95.03,98.74092200820967,0.0,0.0
commit46--commit48,93.83,98.36149715729627,0.0,0.0
commit47--commit49,93.2,98.36596147773918,0.0,0.0
commit48--commit50,93.71,98.51553555213391,0.0,0.0
commit49--commit51,93.73,98.50781620085267,0.0,0.0
commit50--commit52,93.83,98.4054310072624,0.0,0.0
commit51--commit53,94.77,98.64614170120387,0.0,0.0
commit52--commit54,96.12,99.0014997237351,0.0,0.0
commit53--commit55,94.49,98.4846093133386,0.0,0.0
commit54--commit56,94.68,98.50422290630674,0.0,0.0
commit55--commit57,95.11,98.53631593482464,0.0,0.0
commit56--commit58,94.85,98.61083704960733,0.0,0.0
commit57--commit59,94.05,98.35476998342934,0.0,0.0
commit58--commit60,96.05,98.87525158846047,0.0,0.0
commit59--commit61,94.79,98.69371324835234,0.0,0.0
commit60--commit62,93.67,98.38206858450732,0.0,0.0
commit61--commit63,94.01,98.54752131354594,0.0,0.0
commit62--commit64,94.51,98.59116022099448,0.0,0.0
commit63--commit65,94.72,98.65419527981688,0.0,0.0
commit64--commit66,93.75,98.50003947264547,0.0,0.0
commit65--commit67,94.98,98.7452156414,0.0,0.0
commit66--commit68,95.17,98.7924230465667,0.0,0.0
