,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,94.52,98.53540587219344,88.5,99.87698501453814
commit2--commit3,94.69,98.75707775169175,88.54,100.0
commit3--commit4,94.41,98.70892018779342,88.54,100.0
commit4--commit5,95.17,98.85414509560295,88.54,100.0
commit5--commit6,93.36,98.3027459638471,88.52,99.95530476562936
commit6--commit7,93.85,98.35138304476789,88.55,100.0
commit7--commit8,95.58,98.81330205602318,88.51,99.84922939468393
commit8--commit9,93.91,98.51003655928812,88.56,100.0
commit9--commit10,94.51,98.64846228106468,88.56,100.0
commit10--commit11,94.57,98.6552651541273,88.56,100.0
commit11--commit12,94.39,98.62116511547742,88.56,99.960930959424
commit12--commit13,94.63,98.62947658402203,88.56,99.96096146338743
commit13--commit14,95.33,98.89202394879912,88.55,99.97770469873474
commit14--commit15,95.42,98.9057123193393,88.58,100.0
commit15--commit16,95.9,99.02257709251101,88.58,100.0
commit16--commit17,94.55,98.70639234844836,88.58,100.0
commit17--commit18,95.03,98.75464428237237,88.58,100.0
commit18--commit19,93.32,98.43814503921838,88.53,99.98328038789501
commit19--commit20,95.81,98.92665474060823,88.58,100.0
commit20--commit21,95.72,98.98843930635837,88.58,100.0
commit21--commit22,94.58,98.67923230377656,88.58,100.0
commit22--commit23,96.47,99.14018434447655,88.58,100.0
commit23--commit24,95.45,98.83728930168559,88.58,100.0
commit24--commit25,94.49,98.65822610610336,88.58,100.0
commit25--commit26,95.48,98.80247763248452,88.58,100.0
commit26--commit27,94.67,98.6996009357369,88.58,100.0
commit27--commit28,94.58,98.71353880022015,88.58,100.0
commit28--commit29,95.45,98.92658088488268,88.58,100.0
commit29--commit30,93.29,98.42405890854036,88.58,100.0
commit30--commit31,92.96,98.17555938037866,88.55,99.99442648534166
commit31--commit32,94.13,98.51311351276932,88.58,100.0
commit32--commit33,95.3,98.82992635418817,88.58,100.0
commit33--commit34,94.05,98.42395044735031,88.58,100.0
commit34--commit35,92.66,98.13515001376273,88.55,99.97770221305535
commit35--commit36,93.92,98.49277357192017,88.57,100.0
commit36--commit37,94.16,98.49955261890014,88.57,100.0
commit37--commit38,94.88,98.80223032973085,88.57,100.0
commit38--commit39,93.89,98.54054798292717,88.57,100.0
commit39--commit40,95.75,98.98836969238181,88.57,100.0
commit40--commit41,95.81,98.85112823335169,88.57,100.0
commit41--commit42,93.95,98.36900419792168,88.57,100.0
commit42--commit43,94.7,98.77469539478213,88.55,99.98326639892905
commit43--commit44,95.0,98.80214787277984,88.66,100.0
commit44--commit45,94.67,98.56090339461544,88.66,100.0
commit45--commit46,95.69,98.99469806513805,86.12,94.78333799273135
commit46--commit47,95.15,98.82976526467957,91.86,100.0
commit47--commit48,95.24,98.87106766710264,91.86,100.0
commit48--commit49,95.21,98.8504164658911,91.86,100.0
commit49--commit50,93.98,98.60279441117764,91.86,100.0
commit50--commit51,94.85,98.76781166104495,91.86,100.0
commit51--commit52,95.78,98.92628536031386,91.86,100.0
commit52--commit53,95.75,98.84353273215392,91.86,100.0
commit53--commit54,95.0,98.73286963707734,91.86,100.0
commit54--commit55,95.03,98.83632858224884,91.86,100.0
commit55--commit56,93.8,98.39653155323103,91.86,100.0
commit56--commit57,94.37,98.60298671805107,91.86,100.0
commit57--commit58,96.29,98.89171886831417,91.81,99.95518709388304
commit58--commit59,96.89,99.21557833895272,91.86,100.0
commit59--commit60,96.8,99.18117388013486,91.86,100.0
commit60--commit61,94.1,98.6235375086029,91.86,100.0
commit61--commit62,92.69,98.20396366639142,91.86,100.0
commit62--commit63,94.05,98.35546686850616,91.86,99.97200291169719
commit63--commit64,94.08,98.59658778205834,91.87,100.0
commit64--commit65,94.05,98.54165233541995,91.87,100.0
commit65--commit66,95.99,99.02338376891335,91.87,100.0
