,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit2,0.0,0.0,81.44,100.0
commit2--commit3,0.0,0.0,81.44,100.0
commit3--commit4,0.0,0.0,81.43,99.97790933993109
commit4--commit5,0.0,0.0,81.37,100.0
commit5--commit6,0.0,0.0,81.37,100.0
commit6--commit7,0.0,0.0,81.37,100.0
commit7--commit8,0.0,0.0,81.37,100.0
commit8--commit9,0.0,0.0,81.37,100.0
commit9--commit10,0.0,0.0,81.37,100.0
commit10--commit11,0.0,0.0,81.37,100.0
commit11--commit12,0.0,0.0,81.37,100.0
commit12--commit13,0.0,0.0,81.37,100.0
commit13--commit14,0.0,0.0,81.37,100.0
commit14--commit15,0.0,0.0,81.37,100.0
commit15--commit16,0.0,0.0,81.37,99.99116919816319
commit16--commit17,0.0,0.0,81.37,100.0
commit17--commit18,0.0,0.0,81.37,100.0
commit18--commit19,0.0,0.0,72.03,93.08017287427766
commit19--commit20,0.0,0.0,82.31,100.0
commit20--commit21,0.0,0.0,82.31,100.0
commit21--commit22,0.0,0.0,82.31,100.0
commit22--commit23,0.0,0.0,82.31,100.0
commit23--commit24,0.0,0.0,82.31,100.0
commit24--commit25,0.0,0.0,82.12,99.95144845444247
commit25--commit26,0.0,0.0,82.31,100.0
commit26--commit27,0.0,0.0,82.31,100.0
commit27--commit28,0.0,0.0,82.31,100.0
commit28--commit29,0.0,0.0,82.31,100.0
commit29--commit30,0.0,0.0,82.31,100.0
commit30--commit31,0.0,0.0,75.57,95.81102853282054
commit31--commit32,0.0,0.0,79.46,100.0
commit32--commit33,0.0,0.0,79.33,99.96489644451131
commit33--commit34,0.0,0.0,79.45,100.0
commit34--commit35,0.0,0.0,79.45,100.0
commit35--commit36,0.0,0.0,79.45,100.0
commit36--commit37,0.0,0.0,79.45,100.0
commit37--commit38,0.0,0.0,79.45,100.0
commit38--commit39,0.0,0.0,79.45,100.0
commit39--commit40,0.0,0.0,79.45,100.0
commit40--commit41,0.0,0.0,79.45,99.9899699097292
commit41--commit42,0.0,0.0,79.41,99.9649034845826
commit42--commit43,0.0,0.0,79.39,99.21541364584368
commit43--commit44,0.0,0.0,79.77,99.96066089693156
commit44--commit45,0.0,0.0,79.78,100.0
commit45--commit46,0.0,0.0,79.78,100.0
commit46--commit47,0.0,0.0,79.78,100.0
commit47--commit48,0.0,0.0,79.78,100.0
