,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
commit1--commit3,0.0,0.0,93.28,99.98521766981202
commit2--commit4,0.0,0.0,93.34,100.0
commit3--commit5,0.0,0.0,93.34,100.0
commit4--commit6,0.0,0.0,93.34,100.0
commit5--commit7,0.0,0.0,93.34,100.0
commit6--commit8,0.0,0.0,93.34,100.0
commit7--commit9,0.0,0.0,93.34,100.0
commit8--commit10,0.0,0.0,93.34,100.0
commit9--commit11,0.0,0.0,93.34,100.0
commit10--commit12,0.0,0.0,93.34,100.0
commit11--commit13,0.0,0.0,93.34,100.0
commit12--commit14,0.0,0.0,93.34,100.0
commit13--commit15,0.0,0.0,93.34,100.0
commit14--commit16,0.0,0.0,93.34,100.0
commit15--commit17,0.0,0.0,93.34,100.0
commit16--commit18,0.0,0.0,93.34,100.0
commit17--commit19,0.0,0.0,93.34,100.0
commit18--commit20,0.0,0.0,93.34,100.0
commit19--commit21,0.0,0.0,93.34,100.0
commit20--commit22,0.0,0.0,93.34,100.0
commit21--commit23,0.0,0.0,93.34,100.0
commit22--commit24,0.0,0.0,93.34,100.0
commit23--commit25,0.0,0.0,93.34,100.0
commit24--commit26,0.0,0.0,93.34,100.0
commit25--commit27,0.0,0.0,93.34,100.0
commit26--commit28,0.0,0.0,93.34,100.0
commit27--commit29,0.0,0.0,93.34,99.95814148179154
commit28--commit30,0.0,0.0,93.34,99.95814148179154
commit29--commit31,0.0,0.0,93.35,100.0
commit30--commit32,0.0,0.0,93.35,100.0
commit31--commit33,0.0,0.0,93.35,100.0
commit32--commit34,0.0,0.0,93.35,100.0
commit33--commit35,0.0,0.0,93.35,100.0
commit34--commit36,0.0,0.0,93.35,100.0
commit35--commit37,0.0,0.0,93.35,100.0
commit36--commit38,0.0,0.0,93.35,100.0
commit37--commit39,0.0,0.0,93.35,100.0
commit38--commit40,0.0,0.0,93.24,99.97784942531564
commit39--commit41,0.0,0.0,93.24,99.97784942531564
commit40--commit42,0.0,0.0,93.34,100.0
commit41--commit43,0.0,0.0,93.34,100.0
commit42--commit44,0.0,0.0,93.34,100.0
commit43--commit45,0.0,0.0,93.34,100.0
commit44--commit46,0.0,0.0,93.34,100.0
commit45--commit47,0.0,0.0,93.34,100.0
commit46--commit48,0.0,0.0,88.82,97.70875100893066
commit47--commit49,0.0,0.0,88.82,97.70875100893066
commit48--commit50,0.0,0.0,68.97,96.72532916177813
commit49--commit51,0.0,0.0,68.97,96.71272158498437
commit50--commit52,0.0,0.0,72.64,99.98766011007181
commit51--commit53,0.0,0.0,72.64,100.0
commit52--commit54,0.0,0.0,72.64,100.0
commit53--commit55,0.0,0.0,72.64,100.0
commit54--commit56,0.0,0.0,72.64,100.0
commit55--commit57,0.0,0.0,72.64,100.0
