,ACDC,,FCA,
index,MOJOFM,A2A,MOJOFM,A2A
release1--release2,0,0,81.92,94.17489762
release2--release3,0,0,74.08,90.76228686
release3--release4,0,0,86.09,94.83633525
release4--release5,0,0,85.58,92.68727705
release5--release6,0,0,79.96,93.709641
release6--release7,0,0,77.8,94.85962634
release7--release8,0,0,83.82,85.32402572
release8--release9,0,0,86.59,96.95916143
release9--release10,0,0,84.8,96.45323133
release10--release11,0,0,80.73,96.48003569
release11--release12,0,0,74.05,83.24704318
release12--release13,0,0,87.34,91.54640234
release13--release14,0,0,77.04,94.16427889
release14--release15,0,0,80.46,92.53553494
release15--release16,0,0,75.6,85.54755401
release16--release17,0,0,76.15,92.1606025
release17--release18,0,0,84.97,92.87281848
release18--release19,0,0,83.35,93.02010626
release19--release20,0,0,87.41,96.76786971
release20--release21,0,0,77.51,96.75559098
release21--release22,0,0,80.03,95.34815251
release22--release23,0,0,90.1,97.18309859
release23--release24,0,0,91.29,99.75085168
release24--release25,0,0,82.53,92.72646361
release25--release26,0,0,82.54,95.96631206
release26--release27,0,0,80.65,95.14567399
release27--release28,0,0,84.3,95.51483202
release28--release29,0,0,80.39,94.15589829
release29--release30,0,0,89.23,95.75260493
release30--release31,0,0,91.98,99.94401105
release31--release32,0,0,85.82,93.19322201
release32--release33,0,0,89.37,92.93502393
release33--release34,0,0,96.03,99.94659261
release34--release35,0,0,92.51,93.29940252
release35--release36,0,0,88.67,99.97733797
release36--release37,0,0,83.59,88.09422263
release37--release38,0,0,92.22,95.49949173
release38--release39,0,0,83.17,93.34735641
release39--release40,0,0,84.85,93.49012712
release40--release41,0,0,76.86,97.01725754
release41--release42,0,0,90.03,93.28502989
release42--release43,0,0,82.89,92.60995598
release43--release44,0,0,75,97.00739846
release44--release45,0,0,82.72,97.80344274
release45--release46,0,0,78.78,91.64941339
release46--release47,0,0,94.55,99.98078863
release47--release48,0,0,86.31,88.17940699
release48--release49,0,0,85.76,94.6146795
release49--release50,0,0,82.43,92.46001269
release50--release51,0,0,83.93,94.22106463
release51--release52,0,0,80.09,95.68916278
release52--release53,0,0,85.65,93.62430327
release53--release54,0,0,93.11,99.39907327
release54--release55,0,0,81.71,92.93965648
release55--release56,0,0,81.72,94.62369668
release56--release57,0,0,82.37,97.6564909
release57--release58,0,0,77.84,97.95196551
release58--release59,0,0,82.01,96.16087751
release59--release60,0,0,74.61,85.13495935
release60--release61,0,0,79.23,91.22052047
release61--release62,0,0,82.37,91.89516573
release62--release63,0,0,89.54,96.7925769
release63--release64,0,0,82.44,92.20032066
release64--release65,0,0,79.82,94.58229942
release65--release66,0,0,90.55,92.52853193
release66--release67,0,0,87.71,93.88466762
release67--release68,0,0,87.04,97.15655066
release68--release69,0,0,88.59,92.87127428
release69--release70,0,0,87.13,93.45232675
release70--release71,0,0,91,97.31439521
release71--release72,0,0,90.55,95.63536204
release72--release73,0,0,93.34,100
release73--release74,0,0,65.62,96.98349884
release74--release75,0,0,71.71,97.62979972
release75--release76,0,0,75.75,100
release76--release77,0,0,75.62,99.94307008
release77--release78,0,0,68.66,89.56511768
release78--release79,0,0,73.24,92.4047524
release79--release80,0,0,80.46,96.13978782
release80--release81,0,0,85.5,98.2909661
release81--release82,0,0,78,93.08852424
release82--release83,0,0,75.54,96.4849486
release83--release84,0,0,73.66,94.59999481
release84--release85,0,0,81.99,93.18373398
release85--release86,0,0,79.38,95.44217687
release86--release87,0,0,85.36,96.55544758
release87--release88,0,0,89.66,99.96943086
release88--release89,0,0,85.75,95.50082879
release89--release90,0,0,85.96,93.32148627
release90--release91,0,0,85.3,93.79521964
release91--release92,0,0,87.32,99.84828371
release92--release93,0,0,84.14,95.27625987
release93--release94,0,0,89.85,97.51814224
release94--release95,0,0,85.41,99.43020759
release95--release96,0,0,86.18,99.90048054
release96--release97,0,0,69.7,80.47571853
release97--release98,0,0,81.27,89.88608741
release98--release99,0,0,78.81,90.93293796
release99--release100,0,0,72.05,90.66570838
release100--release101,0,0,80.94,92.16082073
release101--release102,0,0,82.74,93.33855449
release102--release103,0,0,49.59,88.16319678
release103--release104,0,0,72.6,92.31525108
release104--release105,0,0,89.88,95.23823375
release105--release106,0,0,81.04,96.551894
release106--release107,0,0,74.29,97.88141652
release107--release108,0,0,77.4,98.31363505
release108--release109,0,0,71.94,94.85708352
release109--release110,0,0,85.38,99.00942598
release110--release111,0,0,83.28,99.86642678
release111--release112,0,0,83.21,99.87220621
release112--release113,0,0,83.32,99.94575536
release113--release114,0,0,83.2,99.96207812
release114--release115,0,0,83.28,99.96478969
release115--release116,0,0,79.57,89.61390902
release116--release117,0,0,87.97,93.27469136
release117--release118,0,0,83.61,93.1714472
release118--release119,0,0,88.98,93.77085922
release119--release120,0,0,82.51,92.74170064
release120--release121,0,0,73.49,92.88415528
release121--release122,0,0,73.65,92.70213792
release122--release123,0,0,78.37,91.77605946
release123--release124,0,0,94.67,95.02749771
release124--release125,0,0,92.86,96.87173049
release125--release126,0,0,92.44,93.13176895
release126--release127,0,0,81.07,93.63352816
release127--release128,0,0,78.14,93.3035147
release128--release129,0,0,79.66,96.76888846
release129--release130,0,0,78.56,93.57167581
release130--release131,0,0,78.95,93.27936201
release131--release132,0,0,82.83,94.91356537
release132--release133,0,0,94.08,99.45481579
release133--release134,0,0,93.49,99.91253575
release134--release135,0,0,74.98,90.03160358
release135--release136,0,0,77.59,93.08142629
release136--release137,0,0,87.28,94.80504972
release137--release138,0,0,89.48,91.75967214
release138--release139,0,0,84.61,98.43486015
release139--release140,0,0,82.91,91.38768613
release140--release141,0,0,93.54,99.66773602
release141--release142,0,0,93.45,94.53353714
release142--release143,0,0,90.76,95.28318043
release143--release144,0,0,90.83,99.69401947
release144--release145,0,0,91.31,99.91403722
release145--release146,0,0,91.54,95.21538967
release146--release147,0,0,94.58,99.77899892
release147--release148,0,0,94.63,99.78542052
release148--release149,0,0,94.39,94.72501895
release149--release150,0,0,78.7,91.1493498
release150--release151,0,0,89.98,99.96929004
release151--release152,0,0,86.42,91.141754
release152--release153,0,0,89.41,94.42423895
release153--release154,0,0,95.66,94.55379374
release154--release155,0,0,96.21,96.87051193
release155--release156,0,0,94.46,96.69911504
release156--release157,0,0,91.25,97.31702173
release157--release158,0,0,76.53,93.18345648
release158--release159,0,0,88.55,95.17736803
release159--release160,0,0,85.81,99.85114013
release160--release161,0,0,86.76,97.91349946
release161--release162,0,0,89.21,94.42613252
release162--release163,0,0,91.05,99.94408201
release163--release164,0,0,85.31,90.09427486
release164--release165,0,0,90.32,95.12826487
release165--release166,0,0,93.08,93.91528145
release166--release167,0,0,96.41,99.84331738
release167--release168,0,0,96.05,99.77268828
release168--release169,0,0,75.05,94.20834596
release169--release170,0,0,90.57,97.21257107
release170--release171,0,0,92.74,99.94696151
release171--release172,0,0,92.77,99.98573466
release172--release173,0,0,84.47,97.39756592
release173--release174,0,0,86.75,99.98586858
release174--release175,0,0,81.77,94.68891295
release175--release176,0,0,86.66,99.9597045
release176--release177,0,0,86.24,98.19462116
release177--release178,0,0,85.73,99.98924985
release178--release179,0,0,84.08,95.70732128
release179--release180,0,0,87.25,99.98485144
release180--release181,0,0,79.41,93.11879186
,,,,95.12004202
